Date,Min Temp,Max Temp,Humidity,Precipitation
10-01-2000,12.2,27.6,75,0
07-01-2000,8,22.6,69,0
25-01-2000,17.3,26,70,0
29-01-2000,15.2,23.4,73,0
03-02-2000,20.3,24.6,87,0
04-02-2000,20,27.4,81,1
16-02-2000,13.6,25,65,0
22-02-2000,16.6,27.4,68,0
09-01-2000,10,25,72,0
15-01-2000,16.4,27.4,67,0
18-01-2000,10.6,23.4,63,0
21-01-2000,15,27.4,70,0
23-01-2000,18,27.4,81,1
31-01-2000,11.6,25,67,0
13-02-2000,18,25.6,72,0
21-02-2000,16.6,23,81,0
28-02-2000,16.2,29,57,0
05-03-2000,24.2,33,73,0
13-01-2000,14.4,30,72,0
28-01-2000,14.8,28.8,68,0
01-02-2000,13,27,69,0
05-02-2000,19.1,29.4,78,1
09-02-2000,17,24,76,0
17-02-2000,15.2,27,77,1.5
04-01-2000,11,24,68,0
01-01-2000,12,24,67,0
02-01-2000,13,25,65,0
03-01-2000,12,24.2,68,0
05-01-2000,11,24,68,0
27-01-2000,14.4,28.4,66,0
15-02-2000,15.8,25,62,0
06-03-2000,24,31.2,76,0
08-01-2000,9,24,72,0
11-01-2000,14.4,29,78,0
16-01-2000,18.4,27,71,0
17-01-2000,13.7,24,64,0
20-01-2000,12,28.6,64,0
22-01-2000,18,26.4,79,0
12-02-2000,19.4,29,78,30
25-02-2000,19.9,27,47,0
26-02-2000,17.6,25.4,51,0
27-02-2000,15,28.4,56,0
08-02-2000,16.6,25.6,78,0
11-02-2000,18,27,75,0
23-02-2000,17,28.4,62,0
24-02-2000,18,27.6,53,0
02-03-2000,21.4,31,64,0
03-03-2000,20.4,31.6,72,0
04-03-2000,23.4,32.8,75,0
12-01-2000,14,29.6,81,0
02-02-2000,16,27.8,74,0
06-02-2000,18.6,23.6,83,10
07-02-2000,17.6,29.4,80,18.5
10-02-2000,18.9,25.8,73,0
19-02-2000,15.8,26,65,0
20-02-2000,14.4,27.2,65,0
06-01-2000,11,23,64,0
14-01-2000,17.2,29,72,0
19-01-2000,10.4,24.8,61,0
24-01-2000,18,25.2,76,0
26-01-2000,15.3,26.6,69,0
14-02-2000,19,26.2,70,0
18-02-2000,16.3,26.6,65,1
01-03-2000,16.3,31.8,68,0
07-03-2000,22.8,33,82,0
21-03-2000,18,33,48,0
08-03-2000,21.2,34,67,0
12-03-2000,24,33.4,74,0
13-03-2000,25.6,33,75,0.5
29-03-2000,22.6,35.2,56,0
31-03-2000,24.4,34.4,69,0
09-04-2000,26.6,35.6,76,0
18-04-2000,25.4,37,73,0
23-04-2000,23,36,68,0.5
25-04-2000,21.8,34,74,5.5
17-05-2000,22.6,35,78,7
18-05-2000,24.4,37.4,67,0
19-05-2000,24.6,36.4,74,2
18-06-2000,27,33,77,11
03-07-2000,27,34.5,73,0
20-07-2000,26,30,85,15.5
11-08-2000,26,31,90,6.5
27-03-2000,21.2,33,57,0
13-04-2000,25,36,73,0
28-04-2000,27.6,37,67,0
08-05-2000,26.6,34,69,0
20-05-2000,23,30.8,84,1
22-05-2000,25,32,78,17
26-05-2000,26,35.2,77,0
27-05-2000,27,36,73,0
28-05-2000,28,35,68,0
06-06-2000,26,30,86,15.5
16-06-2000,27,34,79,8
30-06-2000,26,33.6,74,3.5
08-07-2000,27,32,80,12
14-07-2000,27,34,76,17.5
19-07-2000,24,30,85,5.5
24-07-2000,25.4,30,84,28
26-07-2000,25.8,31,84,0.5
05-08-2000,26.4,36,77,0.5
08-08-2000,27,33,82,3.5
13-08-2000,27,32.4,84,13.5
20-08-2000,27,32,83,1.5
30-08-2000,26.6,32,85,19.5
31-08-2000,26,29,91,25.5
02-09-2000,26.8,34,77,4.5
04-09-2000,28.4,35,76,1
06-09-2000,25.9,34,79,14.5
15-09-2000,26.4,31.4,85,0.5
17-09-2000,27,33,81,12
18-09-2000,24.4,28,92,39
11-03-2000,19,32.4,69,0
24-03-2000,21,33.3,63,0
28-03-2000,23.6,34.6,52,0
04-04-2000,26.6,35.8,73,0
17-04-2000,26,36,74,0.5
21-04-2000,24,33,78,0
30-04-2000,25,35,68,0
01-05-2000,29.3,36,67,0
04-05-2000,17,33,62,1.5
23-05-2000,25.6,32,85,23
30-05-2000,26,36.2,71,7.5
02-06-2000,28.2,36,64,3.5
04-06-2000,26.8,35.6,79,8.5
05-06-2000,25,31,85,13
26-06-2000,24,31,88,2
09-07-2000,27,34,81,10.5
25-07-2000,24,29.4,87,14
27-07-2000,25,32.6,80,6
17-08-2000,26,32.6,88,20.5
26-08-2000,28,33.4,82,1.5
08-09-2000,27,33,83,5.5
12-09-2000,26.8,34,76,0.5
20-09-2000,25,30,87,20
16-03-2000,20.4,31.6,47,0
19-03-2000,24,33,75,0
03-04-2000,26,36,71,0
10-04-2000,27.4,37,69,0
19-04-2000,27.4,37,72,0
20-04-2000,26.4,36,77,0
03-05-2000,18,34,76,5
10-05-2000,24,37,71,4
15-05-2000,26,36,70,1.5
07-06-2000,27,31,84,10
08-06-2000,27,33,84,10.5
10-06-2000,27.4,34.2,82,4.5
12-06-2000,26,34.2,81,0
19-06-2000,27,33,78,2
22-06-2000,26.6,30,85,3
02-07-2000,27.4,35.2,70,0.5
04-07-2000,27,35.2,70,0
10-07-2000,27,32.8,79,24
11-07-2000,26,33.4,75,6
18-07-2000,25.6,28,91,4.5
21-07-2000,24,27.4,90,12.5
02-08-2000,25.8,34,84,3.5
03-08-2000,27,34,80,6
09-08-2000,27,31.8,86,5
16-08-2000,26,33,81,3
24-08-2000,26.8,34,81,1
11-09-2000,26,34,77,2.5
10-03-2000,18.2,30.2,49,0
26-03-2000,22,32.2,51,0
07-04-2000,26.4,34,77,0
08-04-2000,26.4,37,74,0
11-04-2000,26,35,77,0
16-04-2000,21,34,75,2.5
22-04-2000,27,36,77,0
27-04-2000,26,33,77,0.5
11-05-2000,24,35,68,1.5
13-05-2000,28,37.2,60,0
09-06-2000,27,35,78,5
11-06-2000,26,31.8,87,9
13-06-2000,25,34,81,9.5
23-06-2000,25.3,32,83,7
29-06-2000,26,33.8,76,1
17-07-2000,27.4,33.2,82,6
22-07-2000,24.8,29,78,7
23-07-2000,24,28,90,21
29-07-2000,27,33.6,79,8
30-07-2000,27.8,34,79,5
12-08-2000,27,29,92,3
14-08-2000,27,32.6,79,17.5
14-09-2000,26.4,31.6,83,2.5
19-09-2000,24,29,90,71
09-03-2000,21,30.2,59,0
14-03-2000,25,33.6,69,0
15-03-2000,22.9,31.4,60,0
20-03-2000,20.6,32.4,56,0
22-03-2000,19.2,33.7,58,0
23-03-2000,22.6,35.6,62,0
05-04-2000,26.4,35,75,0
06-04-2000,26.2,35.2,76,0
12-04-2000,20,33,71,1
24-04-2000,22.8,36,70,30
02-05-2000,20.4,37,68,0
25-05-2000,27,35,75,0
01-06-2000,27,36,66,1.5
03-06-2000,27.4,35,69,0
12-07-2000,27,31.6,76,1.5
15-07-2000,28,33.4,78,10
31-07-2000,26,33,81,4
01-08-2000,27,33,82,22
04-08-2000,27,36,80,2.5
06-08-2000,25.2,34,85,9
19-08-2000,27,31,83,2.5
22-08-2000,26,32.6,77,0.5
23-08-2000,26,33,79,0.5
03-09-2000,26.4,34,73,0
10-09-2000,26.4,33.4,80,8.5
16-09-2000,26.6,33.8,83,4.5
25-03-2000,22.7,32,50,0
17-03-2000,19,33.4,50,0
02-04-2000,25.6,37.2,65,0
14-04-2000,24,36,75,0.5
26-04-2000,25,34.4,73,0
12-05-2000,26,37,58,1.5
14-05-2000,24.4,32,80,2.5
16-05-2000,26,34.6,76,3
21-05-2000,24,32,82,17
15-06-2000,27,33.8,79,6
16-07-2000,26.8,33.2,80,7
21-08-2000,24,32.2,84,2.5
09-09-2000,26.6,32,81,10
13-09-2000,26.6,32,86,36
18-03-2000,21.4,32,75,0
01-04-2000,24.2,35.4,72,0
15-04-2000,20.6,36,82,13.5
05-05-2000,24.6,35,62,0
06-05-2000,24.8,35,62,0
07-05-2000,25.6,35,62,0
09-05-2000,26.4,35,72,4.5
24-05-2000,26,34,75,2
31-05-2000,26.4,36,67,2
14-06-2000,26.6,35.2,78,26.5
17-06-2000,26,34.2,77,9
20-06-2000,27.6,32,79,5.5
21-06-2000,27.4,33,76,2.5
24-06-2000,25,35.4,78,0
25-06-2000,24,35,80,3
27-06-2000,25.4,34,73,7
01-07-2000,27,34.4,69,2.5
05-07-2000,27,34.6,67,0
06-07-2000,28,35.4,70,2
07-07-2000,28,33,75,1
13-07-2000,26,32,77,3
07-08-2000,26.8,33,83,8.5
10-08-2000,26.4,30,88,5
15-08-2000,27,32,82,15
18-08-2000,27,33,81,5
25-08-2000,26,34,76,0
28-08-2000,27.4,34,78,1.5
29-08-2000,27.4,33.4,83,6
01-09-2000,26,33,84,11.5
05-09-2000,27.4,32,84,8
07-09-2000,24.8,31,88,14.5
04-10-2000,25,34,85,2.5
28-09-2000,27,36,73,0
09-10-2000,25.8,34,83,3.5
22-09-2000,24,31.2,88,5
10-10-2000,26.2,34,79,0
15-10-2000,25,33.6,74,0
16-10-2000,26,34,80,5
18-10-2000,26,32,84,2
15-11-2000,19.6,31,69,0
23-11-2000,19,31,71,0
03-12-2000,12,25.4,61,0
14-12-2000,12.4,24.8,71,0
18-12-2000,11,26.4,71,0
19-12-2000,14,27.6,70,0
28-12-2000,15,27,64,0
29-12-2000,14.8,26,63,0
16-01-2001,10,25,69,0
17-01-2001,10.8,25.4,67,0
03-02-2001,0,27,64,0
07-02-2001,13.6,26.4,62,0
09-02-2001,12.6,28,56,0
14-02-2001,11.4,29.4,62,0
04-03-2001,16,30.6,53,0
05-03-2001,16,26,74,0.5
09-03-2001,18,30.6,67,0
20-03-2001,22,35.4,63,0
26-03-2001,21,35,59,0
01-04-2001,23,33.4,70,8
08-05-2001,23,34.4,79,1.5
14-05-2001,26,35.2,64,0
16-06-2001,25.8,28.4,80,0
22-06-2001,26,32,80,9.5
26-06-2001,27.4,32,78,14
27-06-2001,27.6,32.4,76,14.5
28-06-2001,27.4,33,74,17
09-07-2001,27,30.8,69,3.5
14-07-2001,26.2,32,70,1
01-08-2001,26.6,31,84,4
09-08-2001,26.6,32,76,2.5
12-09-2001,24.4,31.4,86,38
06-10-2001,26,33.8,81,6.5
09-10-2001,23.2,35,77,3.5
14-10-2001,25.6,32,83,1.5
26-10-2001,23,32.8,73,0
30-10-2001,24.4,29,76,7
31-10-2001,24,30,80,0
04-11-2001,23,32.8,82,0
14-11-2001,21.8,31,80,0
03-12-2001,14,27,78,0
16-12-2001,13,26,78,0
17-12-2001,13,25.6,80,0
14-01-2002,12.8,28,67,0
23-01-2002,18,23,78,6.5
02-02-2002,12,25,74,0
08-02-2002,19,28.4,64,0
13-02-2002,18,27.2,66,0
15-02-2002,14.4,26,67,0
04-03-2002,18.9,30,58,0.5
19-03-2002,20,37,47,0
23-05-2002,22,37.2,71,0
28-05-2002,23,33,76,19.5
03-06-2002,26.6,38,71,12
08-06-2002,26,36,75,8.5
28-06-2002,26.4,34.8,80,25.5
04-07-2002,26.2,33,79,10
20-07-2002,26,34.4,85,11
21-07-2002,25.6,31,89,10.5
01-08-2002,27,33.4,77,5.5
29-09-2000,26,36,71,0
30-09-2000,26.2,35,74,0
03-10-2000,25,31,86,0.5
12-10-2000,26,34,82,0
27-10-2000,23.4,28,90,83.5
29-10-2000,12,23,84,0
19-11-2000,19,30,76,0
30-11-2000,17,28.8,71,0
01-12-2000,17.2,27,70,0
17-12-2000,14,27.2,66,0
05-01-2001,11,22,65,0
10-01-2001,11.8,22.2,68,0
23-01-2001,15,29.4,68,0
02-02-2001,4.7,29.2,65,0
13-02-2001,13.6,29,64,0
20-02-2001,17.6,30.2,65,0
25-02-2001,21,33.4,73,0
16-03-2001,22,35,64,0
02-04-2001,23,33,73,7
03-04-2001,21,34,71,0
06-04-2001,22,37,66,0
22-04-2001,23.9,38,48,0
23-04-2001,23,38.4,51,0
05-05-2001,20,35,64,15
23-05-2001,25,36.6,69,0
03-06-2001,26,33.4,73,46
09-06-2001,26,33.6,79,11
02-07-2001,25.4,29,83,116.5
04-07-2001,26,32.6,75,2.5
11-07-2001,25.8,27.4,80,34
16-07-2001,26.4,31,74,3.5
27-07-2001,27,32.4,83,4
07-08-2001,26.4,34,73,1
08-08-2001,27.8,33,75,1.5
10-08-2001,26.6,31.6,78,4
30-08-2001,26.2,32,82,10.5
09-09-2001,27.4,33,81,12
14-09-2001,26.4,33.6,76,0.5
15-09-2001,27,34,80,0.5
30-09-2001,24,29,87,20.5
02-10-2001,25.4,32,87,11.5
03-10-2001,25,29,90,10.5
04-10-2001,25,30.4,85,9.5
07-10-2001,26.4,33,80,1.5
23-10-2001,24.4,33,71,0
28-10-2001,24,30,73,11
08-11-2001,23.3,29.4,82,0
18-11-2001,23.4,31,68,0
29-11-2001,20,29,79,0
30-11-2001,17,27,84,0
07-12-2001,14,29,77,0
14-12-2001,14,25,85,0
22-12-2001,11,24,79,0
23-12-2001,13,25.6,76,0
26-12-2001,11,25.6,81,0
10-01-2002,13,25,68,0
22-01-2002,17.2,28,69,0
19-02-2002,17,31,58,0
28-03-2002,22.4,31.6,61,4.5
30-03-2002,23,33,58,0.5
05-04-2002,23.6,32,79,0
18-04-2002,26,35,73,0
24-04-2002,23,36,70,0
01-05-2002,27.2,36,71,0
20-10-2000,24,32,82,0.5
21-10-2000,26.8,35,72,0
18-11-2000,19,31,72,0
21-11-2000,20,30.6,81,0
24-11-2000,18.4,29.6,74,0
28-11-2000,17.6,29,71,0
08-12-2000,12.4,26,77,0
20-12-2000,13,27,69,0
31-12-2000,13,26,68,0
01-01-2001,13.7,27,68,0
11-01-2001,9.8,22.6,68,0
21-01-2001,9,27,68,0
25-01-2001,9.2,24,61,0
08-02-2001,12,28,61,0
10-03-2001,18,32.4,58,0
13-03-2001,18,34,57,0
27-03-2001,25,36,66,0.5
07-04-2001,22,37,68,0
12-04-2001,26,34.8,78,0
17-04-2001,22,35.6,76,2
26-04-2001,25,36.2,68,0
27-04-2001,28,35.4,68,0
20-05-2001,26,37,66,8
22-05-2001,24,36,68,0
30-05-2001,26.6,37,65,2.5
04-06-2001,25,30,82,15
10-06-2001,26,33.4,79,6
03-07-2001,26.4,31,80,44.5
08-07-2001,27.3,32.2,72,2.5
12-07-2001,26,28.2,78,10.5
21-07-2001,27,30.4,80,22
26-07-2001,26,32,84,6.5
11-08-2001,26,33,76,2.5
17-08-2001,26.6,34,81,12.5
19-08-2001,28,34,74,2
23-08-2001,27,32,78,3
26-08-2001,27.6,34,78,6.5
08-09-2001,25.4,33.8,79,16
10-09-2001,26.4,32,81,17
23-09-2001,27,33,76,0
24-09-2001,26.8,33,77,9
26-09-2001,26.4,34.4,74,0
01-10-2001,24.8,31,85,11.5
10-10-2001,23.6,32.4,83,20
15-10-2001,24.6,32,86,2
20-10-2001,24,31.4,78,0
22-10-2001,22.6,32.4,75,0
02-11-2001,22,31.2,76,0
06-11-2001,21.8,30.8,80,1
09-11-2001,22.4,29.2,82,0
02-12-2001,14,27.6,82,0
04-12-2001,14,27.2,79,0
06-12-2001,14,28.4,78,0
09-12-2001,14.6,29,76,0
11-12-2001,15,28,80,0
13-12-2001,15,25.4,84,0
27-12-2001,11,25,79,0
07-01-2002,15.8,26,67,0
11-01-2002,12,26,72,0
15-01-2002,15,28.4,73,0
24-01-2002,14.6,24,73,0
28-01-2002,14,21,83,24.5
10-02-2002,19,29,63,0
16-02-2002,14.6,26.6,69,0
05-10-2000,25.6,33.6,78,13.5
07-10-2000,26,35,81,1
06-11-2000,22,32,69,0
09-11-2000,19.2,33,66,0
20-11-2000,20,31,77,0
26-11-2000,17,33,62,0
07-12-2000,12.6,26.6,73,0
09-12-2000,13,27,75,0
23-12-2000,14,25.6,70,0
27-12-2000,16.6,27,66,0
04-01-2001,12,23,71,0
08-01-2001,10,24.6,76,0
15-01-2001,11,23,69,0
19-01-2001,8,25.2,67,0
17-02-2001,15,30.6,75,0
21-02-2001,20,30.4,77,0.5
26-02-2001,24,33,73,0.5
28-02-2001,20.6,32,69,0
28-03-2001,26,36.4,70,0
29-03-2001,21.5,35.4,72,0.5
11-04-2001,27,37.2,71,0
07-05-2001,22,33.2,76,28.5
15-05-2001,25,35.4,67,0
27-05-2001,24,35,79,3.5
28-05-2001,24,35.4,71,9.5
02-06-2001,27.8,32.6,74,42
08-06-2001,26,32.4,82,1.5
11-06-2001,27,33,72,4.5
12-06-2001,27,32.2,72,4
18-06-2001,25,27,82,7.5
20-06-2001,26.4,34,75,12
21-06-2001,26.4,34,73,11.5
24-06-2001,26.4,31,78,5.5
06-07-2001,27,32.6,72,0
17-07-2001,26.6,32.8,70,4.5
22-07-2001,27.4,33.8,83,12
02-08-2001,20.4,32,80,23.5
16-08-2001,26.6,34,76,16.5
07-09-2001,25.4,32,81,11.5
16-09-2001,26.6,33,80,7
19-09-2001,24.2,34,80,0.5
22-09-2001,26.6,34,76,0
05-10-2001,26,31.4,83,7
01-11-2001,23,30.8,75,0
24-11-2001,19.6,29.4,82,0
10-12-2001,14,28,76,0
12-12-2001,14,27,76,0
18-12-2001,11,25.6,82,0
19-12-2001,11,25.2,81,0
25-12-2001,12,25,79,0
03-01-2002,11,24.4,73,0
04-01-2002,12,25.2,73,0
17-01-2002,17,30,64,0
18-01-2002,19,29.2,67,0
25-01-2002,12,25,72,0
07-02-2002,15,30,68,0
17-02-2002,14,29,66,0
20-02-2002,17,31,57,0
27-02-2002,19,29.4,57,0
02-03-2002,19,33,58,0
13-03-2002,20.4,32.2,50,0
26-03-2002,24,33.4,57,0
06-04-2002,24,35.6,75,0
09-04-2002,22,35,74,0.5
02-08-2002,27,32.6,82,5.5
05-08-2002,26,30,86,7.5
25-08-2002,26.4,34,74,0.5
27-08-2002,25,29.4,83,16.5
28-08-2002,25.6,32,82,17
09-09-2002,26,30,88,18
15-09-2002,26.7,33,83,8
19-09-2002,26.6,33.2,72,0
30-09-2002,27,34,74,0
09-10-2002,24,33,81,3.5
30-10-2002,18.2,30,74,0
31-10-2002,19,31,71,0
05-11-2002,22.2,30,73,0
07-11-2002,22.2,31,75,0
17-11-2002,16.8,28,76,0
03-12-2002,15.8,28,73,0
18-12-2002,15.6,28.2,79,0
19-12-2002,15.8,29.8,78,0
26-12-2002,15.4,26,81,0
09-01-2003,10.2,18.6,78,0
14-01-2003,11.4,21.6,73,0
03-02-2003,17.2,29,69,0
09-02-2003,19,30,69,4.5
11-02-2003,18.6,30,66,0
14-02-2003,16.2,27,75,0
15-02-2003,15.4,29,67,0
16-02-2003,17.4,31,68,0
20-02-2003,17.8,32,67,0
28-02-2003,23,35,69,0
01-03-2003,22,33.4,65,0
15-03-2003,21.4,31,82,0.5
17-03-2003,23,27.2,81,5.5
03-04-2003,26,35,78,0.5
05-04-2003,24.2,34,71,12
22-04-2003,26,36,71,0
23-04-2003,27,36,70,0
26-04-2003,24,37,72,0
27-04-2003,24,37.4,71,0
06-05-2003,29,36,72,0
09-05-2003,22,31,82,2.5
11-05-2003,25.8,34.8,77,0
12-05-2003,25,36.8,70,0
20-05-2003,28,38.4,67,0.5
21-05-2003,23.6,36,73,0
25-05-2003,25.4,35,66,1
26-05-2003,29,38,63,0
29-05-2003,29,40,64,0
14-06-2003,29,36.4,72,3
21-06-2003,25,28.6,92,39.5
25-06-2003,26,31,86,5.5
05-07-2003,26,31,88,15
06-07-2003,25,31.8,84,2
07-07-2003,26,33,82,0.5
15-07-2003,26.6,32.6,81,5
17-07-2003,27,33.4,82,11.5
20-07-2003,26,34,80,4
21-07-2003,26,33.6,82,2.5
12-08-2003,27.6,33.6,81,6
17-08-2003,28,35,72,3
18-08-2003,28.6,35,71,14.5
07-09-2003,25,29.6,89,1
14-09-2003,27,32,85,8
22-09-2003,28,35,82,5
26-09-2003,26,31.6,90,22
26-02-2002,19.2,29.6,61,0
09-03-2002,22,32.2,61,0
18-03-2002,22,35,45,0
22-03-2002,23.2,37,51,0.5
27-03-2002,24,34.2,59,1
01-04-2002,25,34.2,62,0
11-04-2002,20.8,30.6,79,0
12-04-2002,20.8,31.4,73,10.5
15-04-2002,25.6,34,76,2
25-04-2002,23,37,69,0.5
10-05-2002,26,35,72,1.5
17-05-2002,26,36,71,0
26-05-2002,25.7,35,72,13
27-05-2002,22.4,36,72,5.5
09-06-2002,25.4,33,83,56
11-06-2002,25,32,85,13
21-06-2002,27,33,77,4.5
01-07-2002,25.8,35,82,22.5
11-07-2002,26.8,38.4,70,0.5
27-07-2002,27.3,37,68,6
15-08-2002,26.4,30.6,83,14.5
21-08-2002,27,33,79,3.5
31-08-2002,26.6,31,83,15
04-09-2002,23,29.4,92,2.5
24-09-2002,26,30,85,18
02-10-2002,25,34.2,80,0
10-10-2002,24.6,33,76,1
24-10-2002,21.8,32,73,0
27-10-2002,20.9,31,70,0
10-11-2002,23,31,69,0
15-11-2002,18,29,75,0
01-12-2002,16.4,29,72,0
08-12-2002,13.6,26.8,76,0
12-12-2002,14.8,27,74,0
16-01-2003,9.6,22.4,77,0
17-01-2003,11.4,23.2,78,0
19-01-2003,11.6,25.2,70,0
31-01-2003,17.2,26.6,77,0
01-02-2003,18,29.6,71,0
04-02-2003,17.8,27,72,0
22-02-2003,16.4,29,62,0
05-03-2003,15.4,25.4,48,0
06-03-2003,14.6,27.2,57,0
18-03-2003,22.8,31,77,2.5
20-03-2003,19.6,33,66,0
25-03-2003,24.3,34,64,0
11-04-2003,24,36.6,72,0.5
01-05-2003,23,36,72,3.5
07-05-2003,28,37.6,71,0.5
08-05-2003,24,37,77,0
19-05-2003,28.6,37,66,0
03-06-2003,27,36,72,0
04-06-2003,26.8,36,72,0
29-07-2003,27,32,81,16.5
14-08-2003,26.6,29.4,90,19.5
23-08-2003,26.4,31,86,8.5
28-08-2003,26,31.2,84,9
01-09-2003,26,31.6,85,8.5
03-09-2003,26,32.6,77,0.5
15-09-2003,27,32,84,6
16-09-2003,27,34.2,82,8.5
24-09-2003,26,31.8,84,8
29-09-2003,27.4,35,73,2
23-10-2003,25,34,81,2.5
04-05-2002,24,36,70,1
12-05-2002,23,38,69,0
13-05-2002,28.6,37,69,0
22-05-2002,30,39,65,0
25-05-2002,24.4,35,75,9
02-07-2002,25,29,92,19
10-07-2002,30.4,39,63,15.5
25-07-2002,30,37,66,0.5
12-08-2002,26,30,87,11
19-08-2002,27.4,34,73,9.5
30-08-2002,26.8,31.4,81,5.5
01-09-2002,26,31,82,12.5
03-09-2002,27,31.6,87,11.5
05-09-2002,24,32,83,11
07-09-2002,26,32.4,80,3.5
12-09-2002,26,31.4,86,9
25-09-2002,25.4,32.8,82,8
04-10-2002,25.2,34,77,0
08-10-2002,24.8,34,82,5
18-10-2002,25,29,89,22.5
21-10-2002,22.3,34,75,0
01-11-2002,20.4,31,70,0
12-11-2002,21.2,23,94,75.5
19-11-2002,18,29,72,0
20-11-2002,17,29,72,0
22-11-2002,17.6,27.8,79,0
23-11-2002,18,28.2,77,0
25-11-2002,17.8,29.2,76,0
28-11-2002,18.6,28.8,76,0
04-12-2002,14,27.6,70,0
23-12-2002,14.6,23,85,0
27-12-2002,14.2,25,74,0
28-12-2002,12.8,24.6,74,0
31-12-2002,10.4,23.4,73,0
08-01-2003,9.8,19.4,80,0
15-01-2003,9.6,21.4,81,0
18-01-2003,11.2,24.4,74,0
21-01-2003,11.4,22.6,71,0
05-02-2003,15.2,23.2,77,0
19-02-2003,19.1,31,68,0.5
24-03-2003,23.8,33,65,0
26-03-2003,21.2,34,58,1.5
27-03-2003,21,33,74,1
29-03-2003,23,33.4,69,0.5
01-04-2003,26,35,62,0
09-04-2003,26,36.4,64,0.5
17-04-2003,25,35.4,78,21
24-04-2003,27,36.4,68,0
28-04-2003,27,36,63,0
10-05-2003,24.1,31,78,2
31-05-2003,28,37.6,70,0
02-06-2003,28,37,68,0
10-06-2003,27.4,37.2,74,0
13-06-2003,29,36.6,73,1.5
19-06-2003,26.4,31,88,12.5
20-06-2003,26,30,91,56
