Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,15.0,25.0,70.0,1010.0,2.0
2,Germination,15.2,25.5,68.0,1009.5,1.8
3,Germination,14.8,24.8,72.0,1010.5,2.1
4,Germination,15.3,25.2,69.0,1010.1,1.9
5,Germination,15.1,25.1,71.0,1009.8,2.3
6,Germination,15.4,25.4,67.0,1009.6,1.5
7,Germination,14.9,24.9,70.5,1010.2,1.7
8,Germination,15.5,25.3,68.0,1009.7,1.6
9,Germination,15.0,25.0,70.0,1010.0,1.8
10,Germination,15.3,25.4,68.5,1009.5,1.7
11,Germination,14.8,24.7,72.0,1010.3,1.9
12,Germination,15.4,25.1,69.0,1009.9,2.0
13,Germination,15.1,25.2,71.5,1009.4,1.8
14,Germination,15.2,25.3,68.0,1009.6,1.6
15,Seedling,16.0,26.0,65.0,1008.0,0.5
16,Seedling,16.5,26.5,64.0,1007.5,0.3
17,Seedling,15.8,25.5,66.0,1008.7,0.4
18,Seedling,16.1,26.1,63.5,1008.1,0.2
19,Seedling,16.3,26.3,62.0,1007.9,0.6
20,Seedling,16.0,26.0,65.5,1008.3,0.3
21,Seedling,16.4,26.4,63.0,1007.7,0.5
22,Seedling,15.9,25.9,64.5,1008.9,0.4
23,Seedling,16.2,26.2,63.0,1008.2,0.2
24,Seedling,15.7,25.7,65.0,1008.8,0.1
25,Seedling,16.0,26.0,64.0,1008.5,0.4
26,Seedling,16.5,26.5,62.5,1007.8,0.3
27,Vegetative,17.0,27.0,60.0,1006.5,0.1
28,Vegetative,17.5,27.5,58.5,1006.0,0.2
29,Vegetative,16.8,26.8,61.0,1007.1,0.3
30,Vegetative,17.2,27.2,59.5,1006.8,0.1
31,Vegetative,17.4,27.4,58.0,1006.3,0.4
32,Vegetative,16.9,26.9,60.5,1007.0,0.2
33,Vegetative,17.1,27.1,59.0,1006.6,0.3
34,Vegetative,17.6,27.6,57.5,1006.1,0.1
35,Vegetative,17.3,27.3,58.0,1006.4,0.2
36,Vegetative,17.5,27.5,56.0,1005.9,0.0
37,Vegetative,17.0,27.0,59.0,1006.7,0.3
38,Vegetative,17.2,27.2,58.0,1006.8,0.1
39,Vegetative,17.4,27.4,56.5,1006.2,0.0
40,Vegetative,17.1,27.1,57.5,1006.5,0.2
41,Flowering,18.0,28.0,55.0,1005.1,0.0
42,Flowering,18.5,28.5,54.0,1004.7,0.0
43,Flowering,17.8,27.8,56.0,1005.6,0.1
44,Flowering,18.3,28.3,54.5,1005.2,0.0
45,Flowering,18.0,28.0,55.5,1005.3,0.2
46,Flowering,18.2,28.2,54.0,1005.5,0.1
47,Flowering,17.9,27.9,56.0,1005.0,0.0
48,Flowering,18.1,28.1,55.0,1005.4,0.0
49,Flowering,18.4,28.4,53.5,1004.9,0.0
50,Flowering,18.0,28.0,55.5,1005.3,0.1
51,Flowering,18.2,28.2,54.5,1005.1,0.0
52,Flowering,17.8,27.8,56.5,1005.6,0.2
53,Flowering,18.5,28.5,53.0,1004.5,0.1
54,Flowering,18.3,28.3,54.0,1005.0,0.0
55,Flowering,18.0,28.0,55.5,1005.7,0.0
56,Flowering,18.2,28.2,54.5,1005.1,0.1
57,Flowering,18.4,28.4,53.5,1005.6,0.0
58,Flowering,17.9,27.9,56.5,1005.2,0.0
59,Grain Filling,19.0,29.0,50.0,1004.1,0.0
60,Grain Filling,19.5,29.5,48.5,1003.7,0.0
61,Grain Filling,18.8,28.8,51.5,1004.0,0.1
62,Grain Filling,19.2,29.2,49.5,1004.5,0.0
63,Grain Filling,19.0,29.0,50.0,1004.3,0.1
64,Grain Filling,19.4,29.4,48.0,1004.2,0.0
65,Grain Filling,18.7,28.7,51.0,1004.9,0.2
66,Grain Filling,19.1,29.1,49.0,1004.6,0.1
67,Grain Filling,19.5,29.5,48.0,1004.0,0.0
68,Grain Filling,19.2,29.2,49.5,1004.5,0.1
69,Grain Filling,19.0,29.0,50.0,1004.8,0.0
70,Grain Filling,19.4,29.4,48.0,1004.1,0.2
71,Grain Filling,19.1,29.1,49.0,1004.7,0.0
72,Grain Filling,19.3,29.3,48.5,1004.3,0.0
73,Grain Filling,19.5,29.5,47.0,1004.0,0.0
74,Grain Filling,19.0,29.0,50.5,1004.5,0.1
75,Grain Filling,19.2,29.2,49.5,1004.4,0.0
76,Grain Maturity,18.5,28.5,52.0,1003.5,0.0
77,Grain Maturity,18.8,28.8,51.0,1003.0,0.1
78,Grain Maturity,18.3,28.3,52.5,1003.6,0.0
79,Grain Maturity,18.7,28.7,51.5,1003.2,0.0
80,Grain Maturity,18.5,28.5,52.0,1003.1,0.0
81,Grain Maturity,18.2,28.2,53.0,1003.5,0.0
82,Grain Maturity,18.1,28.1,54.0,1003.8,0.0
83,Harvesting,17.5,27.5,55.5,1004.0,0.0
84,Harvesting,17.8,27.8,54.5,1003.6,0.0
85,Harvesting,17.6,27.6,55.0,1003.8,0.0
86,Harvesting,17.9,27.9,54.0,1003.2,0.0
87,Harvesting,17.5,27.5,55.5,1004.0,0.0
88,Harvesting,17.8,27.8,54.5,1003.4,0.0
89,Harvesting,17.9,27.9,54.0,1003.1,0.0
90,Harvesting,18.0,28.0,53.5,1003.5,0.0
