Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,30.0,80.0,1010.0,3.0
2,Germination,20.2,30.5,78.0,1009.5,2.5
3,Germination,19.8,29.8,82.0,1010.5,3.2
4,Germination,20.1,30.2,79.0,1009.8,2.8
5,Germination,20.3,30.4,77.0,1009.0,2.6
6,Germination,19.9,30.0,81.0,1010.1,3.1
7,Germination,20.0,30.1,80.0,1009.6,3.0
8,Germination,20.2,30.3,78.0,1009.2,2.9
9,Germination,20.1,30.2,79.0,1010.0,2.7
10,Germination,19.7,29.7,83.0,1010.4,3.3
11,Seedling,20.5,31.0,75.0,1008.5,0.8
12,Seedling,20.6,31.5,74.0,1008.0,0.7
13,Seedling,20.2,30.5,76.0,1008.2,0.6
14,Seedling,20.7,31.2,73.5,1008.8,0.5
15,Seedling,20.3,30.4,75.0,1008.9,0.9
16,Seedling,20.8,31.3,72.0,1007.8,0.4
17,Seedling,20.4,30.6,74.0,1008.1,0.6
18,Seedling,20.7,31.0,73.0,1007.5,0.3
19,Vegetative,21.0,31.5,70.0,1007.2,0.2
20,Vegetative,21.5,32.0,68.5,1007.0,0.1
21,Vegetative,21.0,31.0,71.0,1007.6,0.3
22,Vegetative,21.2,31.2,70.0,1007.8,0.2
23,Vegetative,21.4,31.4,69.0,1006.9,0.1
24,Vegetative,21.1,31.1,71.5,1007.1,0.3
25,Vegetative,21.3,31.3,70.0,1006.8,0.2
26,Vegetative,21.5,31.5,68.0,1006.4,0.1
27,Vegetative,21.2,31.2,70.5,1007.0,0.2
28,Vegetative,21.4,31.4,69.0,1007.6,0.3
29,Flowering,22.0,32.5,65.0,1006.5,0.0
30,Flowering,22.5,32.0,64.0,1006.2,0.0
31,Flowering,22.2,32.2,66.5,1006.8,0.0
32,Flowering,22.4,32.4,65.5,1006.0,0.0
33,Flowering,22.0,32.0,67.0,1006.3,0.0
34,Flowering,22.3,32.3,64.0,1006.6,0.0
35,Flowering,22.1,32.1,65.5,1006.1,0.0
36,Flowering,22.2,32.2,66.0,1006.5,0.0
37,Flowering,22.5,32.5,63.5,1005.9,0.0
38,Flowering,22.0,32.0,67.5,1006.2,0.0
39,Fruiting,23.0,33.0,60.0,1005.0,0.0
40,Fruiting,23.5,33.5,58.5,1004.8,0.0
41,Fruiting,23.2,33.2,61.0,1005.5,0.0
42,Fruiting,23.4,33.4,59.0,1005.3,0.0
43,Fruiting,23.0,33.0,60.0,1005.1,0.0
44,Fruiting,23.1,33.1,60.5,1005.0,0.0
45,Fruiting,23.3,33.3,59.5,1004.7,0.0
46,Fruiting,23.5,33.5,58.0,1004.9,0.0
47,Fruiting,23.0,33.0,60.0,1005.4,0.0
48,Fruiting,23.2,33.2,59.0,1005.2,0.0
49,Fruiting,23.4,33.4,58.5,1004.5,0.0
50,Fruiting,23.0,33.0,60.5,1005.1,0.0
51,Fruiting,23.1,33.1,59.0,1005.0,0.0
52,Fruiting,23.5,33.5,57.5,1004.8,0.0
53,Fruiting,23.2,33.2,58.0,1004.9,0.0
54,Maturation,24.0,34.0,55.0,1003.7,0.0
55,Maturation,24.5,34.5,54.0,1003.5,0.0
56,Maturation,24.1,34.1,55.5,1003.8,0.0
57,Maturation,24.4,34.4,53.5,1003.2,0.0
58,Maturation,24.2,34.2,54.0,1003.4,0.0
59,Maturation,24.5,34.5,52.0,1003.0,0.0
60,Maturation,24.1,34.1,54.5,1003.1,0.0
61,Maturation,24.3,34.3,53.0,1002.9,0.0
62,Maturation,24.0,34.0,55.0,1003.6,0.0
63,Maturation,24.4,34.4,52.5,1003.5,0.0
64,Harvesting,25.0,35.0,50.0,1002.0,0.0
65,Harvesting,25.5,35.5,48.5,1002.2,0.0
66,Harvesting,25.2,35.2,49.0,1002.4,0.0
67,Harvesting,25.4,35.4,48.0,1002.6,0.0
68,Harvesting,25.0,35.0,50.0,1002.1,0.0
69,Harvesting,25.1,35.1,49.5,1002.3,0.0
70,Harvesting,25.4,35.4,48.0,1002.5,0.0
71,Harvesting,25.3,35.3,49.0,1002.7,0.0
72,Harvesting,25.2,35.2,50.0,1002.4,0.0
73,Harvesting,25.0,35.0,51.0,1002.2,0.0
74,Harvesting,25.5,35.5,48.5,1002.1,0.0
75,Harvesting,25.1,35.1,49.5,1002.3,0.0
76,Harvesting,25.2,35.2,50.0,1002.4,0.0
77,Harvesting,25.3,35.3,49.0,1002.6,0.0
78,Harvesting,25.0,35.0,51.0,1002.2,0.0
79,Harvesting,25.1,35.1,50.5,1002.3,0.0
80,Harvesting,25.4,35.4,48.0,1002.5,0.0
81,Harvesting,25.3,35.3,49.0,1002.7,0.0
82,Harvesting,25.2,35.2,50.0,1002.4,0.0
83,Harvesting,25.0,35.0,51.0,1002.1,0.0
84,Harvesting,25.5,35.5,48.5,1002.3,0.0
85,Harvesting,25.1,35.1,49.5,1002.2,0.0
