Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,21.0,30.0,80.0,1012.0,5.0
2,Germination,21.5,30.5,79.0,1011.5,4.5
3,Germination,21.2,30.2,78.0,1011.0,4.8
4,Germination,21.4,30.4,80.0,1011.8,4.9
5,Germination,21.1,30.1,77.0,1012.1,5.2
6,Germination,21.3,30.3,78.0,1012.3,4.7
7,Germination,21.0,30.0,79.0,1012.5,5.0
8,Germination,21.5,30.5,76.0,1011.6,4.3
9,Germination,21.2,30.2,78.5,1012.0,4.6
10,Germination,21.4,30.4,79.0,1011.9,4.5
11,Seedling,21.8,31.0,75.0,1010.5,2.0
12,Seedling,22.0,31.5,74.0,1010.0,1.8
13,Seedling,21.6,31.1,76.0,1010.8,2.1
14,Seedling,21.9,31.3,73.0,1010.1,1.7
15,Seedling,22.1,31.2,75.5,1010.3,1.9
16,Seedling,21.7,31.0,74.0,1010.6,2.0
17,Seedling,22.0,31.4,72.5,1010.9,1.6
18,Seedling,21.8,31.2,74.5,1010.2,1.8
19,Vegetative,22.5,32.0,70.0,1009.5,0.5
20,Vegetative,22.3,31.8,71.0,1009.8,0.6
21,Vegetative,22.7,32.2,69.5,1009.2,0.7
22,Vegetative,22.0,31.5,73.0,1009.0,0.4
23,Vegetative,22.4,31.9,71.5,1009.7,0.5
24,Vegetative,22.2,31.7,72.0,1009.1,0.3
25,Vegetative,22.5,32.0,70.5,1009.5,0.2
26,Vegetative,22.3,31.8,71.0,1009.8,0.6
27,Vegetative,22.6,32.1,69.5,1009.3,0.4
28,Vegetative,22.8,32.4,68.0,1009.6,0.2
29,Flowering,23.0,32.5,65.0,1008.5,0.0
30,Flowering,23.5,32.9,64.5,1008.0,0.0
31,Flowering,23.2,32.3,66.0,1008.1,0.0
32,Flowering,23.4,32.4,65.0,1008.3,0.0
33,Flowering,23.1,32.0,67.0,1008.4,0.0
34,Flowering,23.3,32.2,65.5,1008.6,0.0
35,Flowering,23.0,32.1,66.5,1008.2,0.0
36,Flowering,23.5,32.5,64.0,1008.7,0.0
37,Flowering,23.2,32.4,66.0,1008.1,0.0
38,Flowering,23.4,32.5,65.5,1008.8,0.0
39,Fruiting,24.0,33.0,62.0,1007.5,0.0
40,Fruiting,24.5,33.5,60.5,1007.2,0.0
41,Fruiting,24.1,33.1,61.0,1007.6,0.0
42,Fruiting,24.3,33.2,60.0,1007.4,0.0
43,Fruiting,24.0,33.0,61.5,1007.8,0.0
44,Fruiting,24.2,33.2,60.0,1007.5,0.0
45,Fruiting,24.4,33.4,59.5,1007.3,0.0
46,Fruiting,24.5,33.5,59.0,1007.1,0.0
47,Fruiting,24.1,33.1,61.0,1007.4,0.0
48,Fruiting,24.3,33.3,60.5,1007.6,0.0
49,Fruiting,24.4,33.4,59.5,1007.2,0.0
50,Fruiting,24.2,33.2,60.0,1007.3,0.0
51,Fruiting,24.0,33.0,61.5,1007.8,0.0
52,Fruiting,24.5,33.5,59.0,1007.1,0.0
53,Maturation,25.0,34.0,57.0,1006.0,0.0
54,Maturation,25.5,34.5,55.5,1005.7,0.0
55,Maturation,25.2,34.2,56.5,1005.8,0.0
56,Maturation,25.4,34.4,54.5,1005.5,0.0
57,Maturation,25.0,34.0,56.0,1005.6,0.0
58,Maturation,25.3,34.3,55.0,1005.3,0.0
59,Maturation,25.4,34.4,54.0,1005.4,0.0
60,Maturation,25.1,34.1,55.5,1005.2,0.0
61,Maturation,25.5,34.5,53.5,1005.1,0.0
62,Maturation,25.2,34.2,56.0,1005.8,0.0
63,Maturation,25.4,34.4,54.5,1005.6,0.0
64,Harvesting,26.0,35.0,52.0,1004.5,0.0
65,Harvesting,26.5,35.5,50.5,1004.1,0.0
66,Harvesting,26.2,35.2,51.0,1004.2,0.0
67,Harvesting,26.4,35.4,50.0,1004.0,0.0
68,Harvesting,26.0,35.0,52.0,1004.3,0.0
69,Harvesting,26.1,35.1,51.5,1004.2,0.0
70,Harvesting,26.4,35.4,50.0,1004.1,0.0
71,Harvesting,26.3,35.3,51.0,1004.5,0.0
72,Harvesting,26.2,35.2,51.5,1004.4,0.0
73,Harvesting,26.0,35.0,52.0,1004.3,0.0
74,Harvesting,26.5,35.5,50.5,1004.2,0.0
75,Harvesting,26.1,35.1,51.0,1004.5,0.0
76,Harvesting,26.2,35.2,51.5,1004.3,0.0
77,Harvesting,26.4,35.4,50.0,1004.1,0.0
78,Harvesting,26.3,35.3,51.0,1004.5,0.0
79,Harvesting,26.5,35.5,50.0,1004.2,0.0
80,Harvesting,26.1,35.1,51.5,1004.0,0.0
81,Harvesting,26.2,35.2,51.0,1004.4,0.0
82,Harvesting,26.3,35.3,50.5,1004.1,0.0
83,Harvesting,26.5,35.5,50.0,1004.5,0.0
84,Harvesting,26.1,35.1,51.5,1004.2,0.0
85,Harvesting,26.2,35.2,51.0,1004.0,0.0
86,Harvesting,26.4,35.4,50.0,1004.3,0.0
87,Harvesting,26.3,35.3,51.0,1004.5,0.0
88,Harvesting,26.1,35.1,51.5,1004.1,0.0
89,Harvesting,26.2,35.2,51.0,1004.0,0.0
90,Harvesting,26.4,35.4,50.5,1004.3,0.0
