Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,24.0,30.0,85.0,1008.0,10.0
2,Germination,24.5,30.5,84.0,1007.5,9.0
3,Germination,24.2,30.3,83.0,1008.2,10.5
4,Germination,24.1,30.1,86.0,1008.5,8.0
5,Germination,24.3,30.2,85.0,1008.0,9.5
6,Germination,24.0,30.0,84.5,1008.3,8.5
7,Germination,24.2,30.3,83.5,1007.9,10.0
8,Germination,24.5,30.6,82.0,1008.1,9.0
9,Germination,24.4,30.4,84.0,1007.6,7.5
10,Germination,24.6,30.7,81.5,1008.2,9.0
11,Seedling,24.7,31.0,80.0,1007.1,5.0
12,Seedling,25.0,31.2,79.0,1007.3,4.5
13,Seedling,24.9,31.1,78.0,1007.5,5.5
14,Seedling,24.8,30.9,80.0,1007.4,4.0
15,Seedling,25.1,31.3,78.5,1007.6,3.5
16,Seedling,25.0,31.0,79.5,1007.8,4.5
17,Seedling,25.2,31.5,77.0,1007.0,3.0
18,Seedling,24.9,31.1,78.0,1007.2,4.0
19,Vegetative,25.5,32.0,76.0,1006.5,2.0
20,Vegetative,25.2,31.8,75.0,1006.7,2.5
21,Vegetative,25.4,32.1,75.5,1006.3,1.5
22,Vegetative,25.1,31.7,76.0,1006.9,2.0
23,Vegetative,25.3,31.9,74.0,1006.6,1.0
24,Vegetative,25.0,31.6,75.5,1006.4,2.0
25,Vegetative,25.2,31.8,76.5,1006.7,1.5
26,Vegetative,25.4,32.0,75.0,1006.2,1.0
27,Vegetative,25.5,32.1,74.5,1006.8,1.5
28,Vegetative,25.1,31.7,76.0,1006.9,1.0
29,Flowering,25.0,32.0,73.0,1005.5,0.5
30,Flowering,25.3,32.3,72.5,1005.7,0.3
31,Flowering,25.5,32.5,71.0,1005.0,0.2
32,Flowering,25.1,32.1,72.0,1005.2,0.4
33,Flowering,25.4,32.4,71.5,1005.6,0.3
34,Flowering,25.0,32.0,73.5,1005.3,0.2
35,Flowering,25.2,32.2,72.0,1005.4,0.3
36,Flowering,25.3,32.4,71.5,1005.0,0.1
37,Flowering,25.5,32.5,70.5,1005.8,0.2
38,Flowering,25.2,32.2,72.0,1005.1,0.4
39,Fruiting,25.8,33.0,68.0,1004.5,0.0
40,Fruiting,25.6,32.9,67.5,1004.1,0.0
41,Fruiting,25.5,32.8,68.5,1004.6,0.0
42,Fruiting,25.7,33.1,66.0,1004.3,0.0
43,Fruiting,25.9,33.2,65.5,1004.5,0.0
44,Fruiting,25.8,33.0,66.5,1004.2,0.0
45,Fruiting,26.0,33.3,65.0,1004.4,0.0
46,Fruiting,25.7,33.1,66.0,1004.1,0.0
47,Fruiting,25.9,33.2,65.0,1004.5,0.0
48,Fruiting,25.5,32.9,67.0,1004.3,0.0
49,Fruiting,26.1,33.4,64.0,1004.2,0.0
50,Fruiting,26.0,33.3,65.5,1004.0,0.0
51,Fruiting,25.8,33.0,66.0,1004.4,0.0
52,Maturation,26.5,34.0,62.0,1003.5,0.0
53,Maturation,26.0,33.8,63.0,1003.0,0.0
54,Maturation,26.2,34.1,61.0,1003.6,0.0
55,Maturation,26.4,34.2,60.5,1003.7,0.0
56,Maturation,26.3,34.0,61.5,1003.2,0.0
57,Maturation,26.5,34.3,60.0,1003.4,0.0
58,Maturation,26.1,34.0,62.5,1003.1,0.0
59,Maturation,26.4,34.2,61.0,1003.8,0.0
60,Maturation,26.0,33.8,63.5,1003.0,0.0
61,Maturation,26.5,34.0,60.0,1003.6,0.0
62,Maturation,26.2,34.1,61.5,1003.3,0.0
63,Maturation,26.1,34.0,62.0,1003.2,0.0
64,Harvesting,27.0,35.0,58.0,1002.0,0.0
65,Harvesting,27.5,35.5,57.0,1002.5,0.0
66,Harvesting,27.2,35.2,58.5,1002.3,0.0
67,Harvesting,27.4,35.4,56.5,1002.1,0.0
68,Harvesting,27.1,35.0,58.0,1002.0,0.0
69,Harvesting,27.5,35.5,56.0,1002.4,0.0
70,Harvesting,27.3,35.3,57.0,1002.2,0.0
71,Harvesting,27.6,35.6,55.5,1002.6,0.0
72,Harvesting,27.0,35.0,57.0,1002.3,0.0
73,Harvesting,27.4,35.4,56.5,1002.5,0.0
74,Harvesting,27.1,35.1,58.0,1002.1,0.0
75,Harvesting,27.3,35.3,57.5,1002.4,0.0
76,Harvesting,27.5,35.5,56.0,1002.6,0.0
77,Harvesting,27.2,35.2,57.0,1002.2,0.0
78,Harvesting,27.4,35.4,56.5,1002.5,0.0
79,Harvesting,27.1,35.1,58.0,1002.1,0.0
80,Harvesting,27.3,35.3,57.0,1002.4,0.0
81,Harvesting,27.5,35.5,56.0,1002.6,0.0
82,Harvesting,27.2,35.2,57.5,1002.3,0.0
83,Harvesting,27.4,35.4,56.0,1002.5,0.0
84,Harvesting,27.1,35.1,58.0,1002.1,0.0
85,Harvesting,27.3,35.3,57.0,1002.4,0.0
86,Harvesting,27.5,35.5,56.5,1002.6,0.0
87,Harvesting,27.2,35.2,57.0,1002.2,0.0
88,Harvesting,27.4,35.4,56.0,1002.5,0.0
89,Harvesting,27.1,35.1,58.0,1002.1,0.0
90,Harvesting,27.3,35.3,57.0,1002.4,0.0
