Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,28.0,80.0,1010.0,5.0
2,Germination,20.5,28.5,78.0,1009.5,4.0
3,Germination,20.2,28.2,82.0,1010.2,6.0
4,Germination,20.1,28.1,79.0,1009.8,5.5
5,Germination,20.3,28.3,81.0,1009.6,4.5
6,Germination,20.0,28.0,80.0,1010.0,5.0
7,Germination,20.5,28.5,78.5,1009.7,6.0
8,Germination,20.4,28.4,81.0,1010.1,4.0
9,Germination,20.2,28.2,79.5,1009.9,5.0
10,Germination,20.6,28.6,77.0,1009.3,5.5
11,Seedling,20.7,29.0,76.5,1009.1,3.0
12,Seedling,21.0,29.2,75.0,1008.8,2.5
13,Seedling,20.9,29.1,77.0,1008.6,3.5
14,Seedling,20.8,29.0,78.0,1008.7,2.0
15,Seedling,21.0,29.2,76.0,1008.9,1.5
16,Seedling,20.7,29.0,77.5,1009.0,2.0
17,Seedling,21.1,29.3,75.0,1008.5,1.0
18,Seedling,20.9,29.1,78.0,1009.2,2.0
19,Vegetative,21.5,30.0,74.0,1008.3,0.5
20,Vegetative,21.2,29.8,73.5,1008.1,1.0
21,Vegetative,21.4,29.9,75.0,1008.4,0.8
22,Vegetative,21.1,29.6,74.0,1008.7,0.6
23,Vegetative,21.3,30.1,72.5,1008.5,0.4
24,Vegetative,21.2,29.7,75.5,1008.0,0.7
25,Vegetative,21.4,30.0,73.0,1008.2,0.5
26,Vegetative,21.5,30.3,72.0,1008.1,0.3
27,Vegetative,21.3,29.9,74.0,1008.0,0.4
28,Vegetative,21.1,29.6,75.0,1008.2,0.5
29,Flowering,21.7,30.5,70.0,1007.5,0.2
30,Flowering,21.5,30.3,71.0,1007.8,0.1
31,Flowering,21.6,30.6,69.5,1007.3,0.3
32,Flowering,21.4,30.2,72.0,1007.6,0.2
33,Flowering,21.5,30.4,70.5,1007.2,0.1
34,Flowering,21.8,30.8,68.0,1007.4,0.2
35,Flowering,21.3,30.1,71.0,1007.1,0.3
36,Flowering,21.6,30.5,69.0,1007.0,0.1
37,Flowering,21.9,31.0,67.5,1007.7,0.0
38,Flowering,21.4,30.2,70.0,1007.3,0.2
39,Fruiting,22.0,31.5,65.0,1006.5,0.0
40,Fruiting,22.5,32.0,64.0,1006.0,0.0
41,Fruiting,22.3,31.8,65.5,1006.3,0.0
42,Fruiting,22.4,32.1,63.5,1006.2,0.0
43,Fruiting,22.1,31.6,66.0,1006.4,0.0
44,Fruiting,22.6,32.2,62.0,1006.1,0.0
45,Fruiting,22.5,32.0,63.0,1006.0,0.0
46,Fruiting,22.4,31.9,64.5,1006.3,0.0
47,Fruiting,22.3,31.7,65.0,1006.4,0.0
48,Fruiting,22.5,32.1,62.5,1006.5,0.0
49,Fruiting,22.6,32.3,61.0,1006.2,0.0
50,Fruiting,22.1,31.8,63.0,1006.3,0.0
51,Fruiting,22.4,32.0,62.5,1006.1,0.0
52,Maturation,23.0,32.5,58.0,1005.5,0.0
53,Maturation,22.8,32.3,59.0,1005.7,0.0
54,Maturation,22.9,32.6,57.5,1005.6,0.0
55,Maturation,22.7,32.4,58.5,1005.4,0.0
56,Maturation,23.1,32.7,56.0,1005.2,0.0
57,Maturation,22.9,32.5,57.0,1005.3,0.0
58,Maturation,23.0,32.6,56.5,1005.5,0.0
59,Maturation,22.8,32.4,58.0,1005.4,0.0
60,Maturation,22.6,32.3,59.0,1005.3,0.0
61,Maturation,23.1,32.7,56.5,1005.1,0.0
62,Maturation,22.7,32.5,57.0,1005.2,0.0
63,Maturation,23.2,32.8,55.0,1005.0,0.0
64,Harvesting,23.5,33.0,53.0,1004.5,0.0
65,Harvesting,23.6,33.1,52.5,1004.3,0.0
66,Harvesting,23.4,32.9,54.0,1004.7,0.0
67,Harvesting,23.7,33.2,51.0,1004.4,0.0
68,Harvesting,23.8,33.3,50.0,1004.6,0.0
69,Harvesting,23.5,33.0,53.0,1004.2,0.0
70,Harvesting,23.6,33.1,52.0,1004.3,0.0
71,Harvesting,23.4,32.9,54.0,1004.5,0.0
72,Harvesting,23.7,33.2,51.5,1004.4,0.0
73,Harvesting,23.5,33.0,53.0,1004.3,0.0
74,Harvesting,23.8,33.3,50.5,1004.6,0.0
75,Harvesting,23.9,33.4,50.0,1004.7,0.0
76,Harvesting,23.6,33.1,52.5,1004.2,0.0
77,Harvesting,23.4,32.9,54.0,1004.4,0.0
78,Harvesting,23.8,33.3,50.0,1004.5,0.0
79,Harvesting,23.7,33.2,51.0,1004.3,0.0
80,Harvesting,23.9,33.4,49.5,1004.1,0.0
81,Harvesting,24.0,33.5,48.5,1004.2,0.0
82,Harvesting,23.8,33.3,50.0,1004.4,0.0
83,Harvesting,23.9,33.4,49.0,1004.5,0.0
84,Harvesting,24.0,33.5,48.0,1004.3,0.0
85,Harvesting,23.7,33.2,51.0,1004.1,0.0
86,Harvesting,23.8,33.3,50.5,1004.2,0.0
87,Harvesting,23.6,33.1,52.0,1004.0,0.0
88,Harvesting,24.1,33.6,47.5,1004.4,0.0
89,Harvesting,23.9,33.4,49.5,1004.5,0.0
90,Harvesting,24.0,33.5,48.0,1004.3,0.0
