Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,15.0,20.0,85.0,1012.0,5.0
2,Germination,15.2,20.5,84.0,1011.5,4.5
3,Germination,15.1,20.2,86.0,1011.8,5.5
4,Germination,15.0,20.0,83.0,1012.2,4.0
5,Germination,15.3,20.3,85.0,1011.6,5.0
6,Germination,15.0,20.0,84.0,1011.9,4.5
7,Germination,15.2,20.5,82.0,1011.4,4.0
8,Germination,15.1,20.2,83.0,1011.7,5.0
9,Germination,15.3,20.6,81.0,1011.3,5.5
10,Germination,15.0,20.1,84.0,1011.8,4.0
11,Seedling,15.5,21.0,80.0,1011.0,3.5
12,Seedling,15.7,21.2,79.0,1010.8,3.0
13,Seedling,15.6,21.1,81.0,1011.1,4.0
14,Seedling,15.5,21.0,78.0,1011.4,3.5
15,Seedling,15.8,21.3,77.0,1010.9,2.5
16,Seedling,15.6,21.1,79.0,1011.0,3.0
17,Seedling,15.9,21.5,76.0,1010.6,3.5
18,Seedling,15.7,21.2,78.0,1011.1,4.0
19,Vegetative,16.0,22.0,75.0,1010.0,2.0
20,Vegetative,16.2,22.5,74.0,1009.8,1.5
21,Vegetative,16.1,22.3,76.0,1010.2,2.0
22,Vegetative,16.0,22.1,75.0,1010.5,1.5
23,Vegetative,16.2,22.4,73.0,1009.9,1.0
24,Vegetative,16.1,22.3,76.0,1010.0,2.5
25,Vegetative,16.3,22.6,72.0,1009.7,1.0
26,Vegetative,16.2,22.4,74.0,1009.8,1.5
27,Vegetative,16.0,22.0,75.5,1010.1,1.0
28,Vegetative,16.1,22.2,73.5,1009.9,1.5
29,Flowering,16.5,23.0,70.0,1009.0,0.5
30,Flowering,16.7,23.2,69.0,1008.8,0.0
31,Flowering,16.6,23.1,71.0,1009.1,0.2
32,Flowering,16.5,23.0,68.5,1008.9,0.1
33,Flowering,16.7,23.3,67.0,1009.0,0.0
34,Flowering,16.4,22.8,70.0,1008.7,0.0
35,Flowering,16.5,23.1,69.5,1009.1,0.0
36,Flowering,16.8,23.4,66.0,1008.6,0.1
37,Flowering,16.6,23.2,68.0,1008.5,0.0
38,Flowering,16.7,23.3,67.5,1009.2,0.0
39,Fruiting,17.0,24.0,64.0,1007.9,0.0
40,Fruiting,17.1,24.2,63.0,1007.7,0.0
41,Fruiting,17.0,24.1,65.0,1007.8,0.0
42,Fruiting,17.2,24.4,62.0,1007.5,0.0
43,Fruiting,17.1,24.3,63.0,1007.6,0.0
44,Fruiting,17.3,24.5,61.0,1007.4,0.0
45,Fruiting,17.0,24.2,64.0,1007.3,0.0
46,Fruiting,17.1,24.3,62.5,1007.5,0.0
47,Fruiting,17.4,24.6,60.0,1007.2,0.0
48,Fruiting,17.2,24.4,61.5,1007.3,0.0
49,Fruiting,17.5,24.7,59.0,1007.0,0.0
50,Fruiting,17.3,24.5,60.5,1007.1,0.0
51,Fruiting,17.4,24.6,59.5,1007.2,0.0
52,Maturation,17.8,25.0,55.0,1006.5,0.0
53,Maturation,17.6,24.8,56.0,1006.7,0.0
54,Maturation,17.7,24.9,54.5,1006.4,0.0
55,Maturation,17.5,24.7,56.5,1006.3,0.0
56,Maturation,17.9,25.1,53.0,1006.2,0.0
57,Maturation,17.6,24.8,55.5,1006.6,0.0
58,Maturation,17.7,24.9,54.0,1006.5,0.0
59,Maturation,17.8,25.0,53.5,1006.7,0.0
60,Maturation,17.5,24.7,56.0,1006.8,0.0
61,Maturation,17.9,25.1,54.0,1006.4,0.0
62,Maturation,17.6,24.8,55.0,1006.3,0.0
63,Maturation,17.8,25.0,52.0,1006.1,0.0
64,Harvesting,18.0,25.5,50.0,1005.8,0.0
65,Harvesting,18.1,25.7,49.5,1005.6,0.0
66,Harvesting,18.2,25.8,48.0,1005.5,0.0
67,Harvesting,18.0,25.5,50.5,1005.7,0.0
68,Harvesting,18.3,25.9,47.5,1005.4,0.0
69,Harvesting,18.1,25.7,49.0,1005.5,0.0
70,Harvesting,18.4,26.0,46.5,1005.2,0.0
71,Harvesting,18.3,25.9,48.5,1005.6,0.0
72,Harvesting,18.2,25.8,49.5,1005.3,0.0
73,Harvesting,18.4,26.0,46.0,1005.1,0.0
74,Harvesting,18.1,25.6,50.0,1005.5,0.0
75,Harvesting,18.3,25.9,48.0,1005.4,0.0
76,Harvesting,18.5,26.1,45.5,1005.2,0.0
77,Harvesting,18.2,25.8,49.0,1005.3,0.0
78,Harvesting,18.4,26.0,46.0,1005.1,0.0
79,Harvesting,18.3,25.9,47.5,1005.4,0.0
80,Harvesting,18.5,26.1,45.0,1005.2,0.0
81,Harvesting,18.6,26.2,44.5,1005.0,0.0
82,Harvesting,18.4,26.0,46.0,1005.3,0.0
83,Harvesting,18.5,26.1,45.0,1005.1,0.0
84,Harvesting,18.7,26.3,43.5,1004.9,0.0
85,Harvesting,18.4,26.0,46.5,1005.3,0.0
86,Harvesting,18.6,26.2,44.0,1005.0,0.0
87,Harvesting,18.5,26.1,45.5,1005.2,0.0
88,Harvesting,18.8,26.4,43.0,1004.8,0.0
89,Harvesting,18.6,26.2,44.5,1005.0,0.0
90,Harvesting,18.7,26.3,43.5,1004.9,0.0
