Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,25.0,90.0,1010.0,10.0
2,Germination,20.5,25.5,88.0,1009.8,12.0
3,Germination,20.3,25.2,89.0,1010.1,9.5
4,Germination,20.0,25.0,91.0,1009.5,11.0
5,Germination,20.4,25.4,87.0,1009.9,10.5
6,Germination,20.1,25.1,90.0,1010.2,12.5
7,Germination,20.3,25.3,88.0,1009.7,11.0
8,Germination,20.5,25.5,89.0,1010.1,10.0
9,Germination,20.2,25.2,90.0,1009.6,12.0
10,Germination,20.0,25.0,88.0,1009.8,9.0
11,Seedling,20.5,26.0,85.0,1009.0,8.5
12,Seedling,20.7,26.2,84.0,1008.9,7.5
13,Seedling,20.6,26.1,86.0,1009.1,8.0
14,Seedling,20.5,26.0,83.0,1009.3,6.5
15,Seedling,20.8,26.4,82.0,1008.7,7.0
16,Seedling,20.6,26.1,84.0,1009.0,8.0
17,Seedling,20.9,26.5,81.0,1008.8,6.0
18,Seedling,20.7,26.3,83.0,1009.1,7.5
19,Vegetative,21.0,27.0,80.0,1008.0,5.0
20,Vegetative,21.2,27.3,79.0,1007.8,5.5
21,Vegetative,21.1,27.2,81.0,1008.0,4.0
22,Vegetative,21.0,27.0,78.0,1008.5,3.5
23,Vegetative,21.3,27.4,77.0,1007.9,3.0
24,Vegetative,21.1,27.2,79.0,1008.0,4.5
25,Vegetative,21.2,27.3,76.0,1007.7,3.5
26,Vegetative,21.0,27.0,80.0,1008.1,5.0
27,Vegetative,21.3,27.4,75.0,1007.5,3.0
28,Vegetative,21.1,27.2,78.0,1007.8,4.0
29,Flowering,21.5,28.0,73.0,1007.0,2.5
30,Flowering,21.7,28.2,72.0,1006.9,2.0
31,Flowering,21.6,28.1,74.0,1007.1,3.0
32,Flowering,21.5,28.0,71.0,1006.7,2.5
33,Flowering,21.8,28.3,70.0,1006.5,2.0
34,Flowering,21.6,28.1,72.5,1007.0,2.0
35,Flowering,21.7,28.2,69.0,1006.8,1.5
36,Flowering,21.5,28.0,73.0,1007.2,3.0
37,Flowering,21.9,28.4,68.0,1006.4,1.0
38,Flowering,21.7,28.2,70.5,1006.6,1.5
39,Fruiting,22.0,29.0,66.0,1005.8,0.5
40,Fruiting,22.2,29.2,65.0,1005.6,0.0
41,Fruiting,22.1,29.1,67.0,1005.5,0.0
42,Fruiting,22.0,29.0,64.0,1005.7,0.0
43,Fruiting,22.3,29.3,63.0,1005.4,0.0
44,Fruiting,22.1,29.1,65.0,1005.6,0.0
45,Fruiting,22.2,29.2,62.0,1005.5,0.0
46,Fruiting,22.4,29.4,61.0,1005.3,0.0
47,Fruiting,22.3,29.3,63.0,1005.6,0.0
48,Fruiting,22.1,29.1,60.0,1005.4,0.0
49,Fruiting,22.5,29.5,59.0,1005.2,0.0
50,Fruiting,22.3,29.3,61.5,1005.3,0.0
51,Fruiting,22.4,29.4,58.0,1005.1,0.0
52,Maturation,22.8,30.0,56.0,1004.8,0.0
53,Maturation,22.6,29.8,57.5,1004.7,0.0
54,Maturation,22.7,29.9,55.0,1004.6,0.0
55,Maturation,22.5,29.6,58.0,1004.9,0.0
56,Maturation,22.9,30.1,54.5,1004.4,0.0
57,Maturation,22.7,29.9,55.5,1004.6,0.0
58,Maturation,22.8,30.0,53.0,1004.3,0.0
59,Maturation,22.5,29.6,56.5,1004.5,0.0
60,Maturation,22.9,30.1,52.0,1004.2,0.0
61,Maturation,22.6,29.8,54.0,1004.3,0.0
62,Maturation,22.8,30.0,51.5,1004.0,0.0
63,Harvesting,23.0,30.5,50.0,1003.8,0.0
64,Harvesting,23.2,30.7,48.5,1003.7,0.0
65,Harvesting,23.1,30.6,49.5,1003.6,0.0
66,Harvesting,23.0,30.5,47.5,1003.5,0.0
67,Harvesting,23.3,30.8,46.0,1003.4,0.0
68,Harvesting,23.1,30.6,48.0,1003.5,0.0
69,Harvesting,23.2,30.7,45.5,1003.3,0.0
70,Harvesting,23.0,30.5,47.0,1003.6,0.0
71,Harvesting,23.4,30.9,44.0,1003.2,0.0
72,Harvesting,23.2,30.7,45.5,1003.4,0.0
73,Harvesting,23.3,30.8,43.5,1003.1,0.0
74,Harvesting,23.5,31.0,42.0,1003.0,0.0
75,Harvesting,23.3,30.8,44.5,1003.4,0.0
76,Harvesting,23.4,30.9,43.0,1003.2,0.0
77,Harvesting,23.6,31.1,41.5,1002.9,0.0
78,Harvesting,23.3,30.8,42.5,1003.1,0.0
79,Harvesting,23.5,31.0,40.0,1002.8,0.0
80,Harvesting,23.4,30.9,41.5,1003.0,0.0
81,Harvesting,23.6,31.1,39.0,1002.7,0.0
82,Harvesting,23.5,31.0,40.5,1002.9,0.0
83,Harvesting,23.7,31.2,38.5,1002.6,0.0
84,Harvesting,23.6,31.1,39.0,1002.8,0.0
85,Harvesting,23.8,31.3,37.0,1002.5,0.0
86,Harvesting,23.6,31.1,38.0,1002.7,0.0
87,Harvesting,23.7,31.2,36.5,1002.4,0.0
88,Harvesting,23.5,31.0,37.5,1002.6,0.0
89,Harvesting,23.9,31.4,35.0,1002.3,0.0
90,Harvesting,23.8,31.3,36.0,1002.5,0.0
