Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,10.0,15.0,85.0,1015.0,5.0
2,Germination,10.5,15.5,84.0,1014.8,4.0
3,Germination,10.2,15.2,86.0,1015.1,6.0
4,Germination,10.0,15.0,83.0,1014.6,5.5
5,Germination,10.4,15.4,82.0,1014.9,4.5
6,Germination,10.1,15.1,87.0,1015.2,6.0
7,Germination,10.3,15.3,85.0,1014.7,5.0
8,Germination,10.6,15.6,84.0,1014.8,4.0
9,Germination,10.4,15.4,86.0,1015.1,5.5
10,Germination,10.2,15.2,83.0,1014.5,4.5
11,Seedling,11.0,16.0,80.0,1015.0,3.5
12,Seedling,11.2,16.2,79.0,1014.8,3.0
13,Seedling,11.1,16.1,81.0,1015.1,4.0
14,Seedling,11.0,16.0,78.0,1014.6,3.5
15,Seedling,11.3,16.3,77.0,1014.4,2.5
16,Seedling,11.1,16.1,79.0,1015.0,3.0
17,Seedling,11.2,16.2,76.0,1014.5,2.5
18,Seedling,11.0,16.0,80.0,1015.0,3.5
19,Vegetative,12.0,17.0,75.0,1014.0,2.0
20,Vegetative,12.2,17.2,74.0,1013.9,2.5
21,Vegetative,12.1,17.1,76.0,1014.2,1.5
22,Vegetative,12.0,17.0,73.0,1014.1,2.0
23,Vegetative,12.3,17.3,72.0,1013.8,1.0
24,Vegetative,12.1,17.1,75.0,1014.0,1.5
25,Vegetative,12.2,17.2,71.0,1013.7,1.0
26,Vegetative,12.0,17.0,74.0,1014.1,2.0
27,Vegetative,12.3,17.3,70.0,1013.6,1.0
28,Vegetative,12.1,17.1,73.0,1014.0,1.5
29,Flowering,13.0,18.0,68.0,1013.0,0.5
30,Flowering,13.2,18.2,67.0,1012.9,0.0
31,Flowering,13.1,18.1,69.0,1013.1,0.0
32,Flowering,13.0,18.0,66.0,1012.8,0.0
33,Flowering,13.3,18.3,65.0,1012.7,0.0
34,Flowering,13.1,18.1,67.5,1013.0,0.0
35,Flowering,13.2,18.2,64.0,1012.6,0.0
36,Flowering,13.0,18.0,68.0,1012.9,0.5
37,Flowering,13.4,18.4,63.0,1012.5,0.0
38,Flowering,13.2,18.2,65.5,1012.7,0.0
39,Fruiting,14.0,19.0,60.0,1012.0,0.0
40,Fruiting,14.2,19.2,59.0,1011.9,0.0
41,Fruiting,14.1,19.1,61.0,1012.0,0.0
42,Fruiting,14.0,19.0,58.0,1011.8,0.0
43,Fruiting,14.3,19.3,57.0,1011.7,0.0
44,Fruiting,14.1,19.1,59.5,1011.9,0.0
45,Fruiting,14.2,19.2,56.0,1011.6,0.0
46,Fruiting,14.4,19.4,55.0,1011.5,0.0
47,Fruiting,14.3,19.3,57.0,1011.8,0.0
48,Fruiting,14.1,19.1,54.0,1011.4,0.0
49,Fruiting,14.5,19.5,53.0,1011.3,0.0
50,Fruiting,14.3,19.3,55.5,1011.5,0.0
51,Fruiting,14.4,19.4,52.0,1011.2,0.0
52,Maturation,14.8,20.0,50.0,1010.5,0.0
53,Maturation,14.6,19.8,51.5,1010.4,0.0
54,Maturation,14.7,19.9,49.0,1010.3,0.0
55,Maturation,14.5,19.7,52.5,1010.6,0.0
56,Maturation,14.9,20.1,48.0,1010.2,0.0
57,Maturation,14.7,19.9,49.5,1010.4,0.0
58,Maturation,14.8,20.0,47.0,1010.1,0.0
59,Maturation,14.5,19.7,50.0,1010.5,0.0
60,Maturation,14.9,20.1,46.5,1009.9,0.0
61,Maturation,14.6,19.8,48.0,1010.0,0.0
62,Maturation,14.8,20.0,45.0,1009.7,0.0
63,Harvesting,15.0,20.5,44.0,1009.0,0.0
64,Harvesting,15.2,20.7,42.5,1008.8,0.0
65,Harvesting,15.1,20.6,43.5,1008.7,0.0
66,Harvesting,15.0,20.5,41.0,1008.5,0.0
67,Harvesting,15.3,20.8,40.0,1008.3,0.0
68,Harvesting,15.1,20.6,42.0,1008.6,0.0
69,Harvesting,15.2,20.7,39.5,1008.4,0.0
70,Harvesting,15.0,20.5,41.0,1008.5,0.0
71,Harvesting,15.4,20.9,38.0,1008.2,0.0
72,Harvesting,15.2,20.7,40.5,1008.4,0.0
73,Harvesting,15.3,20.8,37.5,1008.1,0.0
74,Harvesting,15.5,21.0,36.0,1008.0,0.0
75,Harvesting,15.3,20.8,38.5,1008.3,0.0
76,Harvesting,15.4,20.9,37.0,1008.2,0.0
77,Harvesting,15.6,21.1,35.0,1007.9,0.0
78,Harvesting,15.5,21.0,36.5,1008.0,0.0
79,Harvesting,15.4,20.9,34.5,1007.8,0.0
80,Harvesting,15.6,21.1,35.0,1008.1,0.0
81,Harvesting,15.5,21.0,33.5,1007.7,0.0
82,Harvesting,15.7,21.2,34.0,1007.8,0.0
83,Harvesting,15.5,21.0,32.0,1007.5,0.0
84,Harvesting,15.8,21.3,33.5,1007.6,0.0
85,Harvesting,15.6,21.1,31.5,1007.4,0.0
86,Harvesting,15.9,21.4,32.0,1007.5,0.0
87,Harvesting,15.7,21.2,30.0,1007.2,0.0
88,Harvesting,15.8,21.3,31.0,1007.3,0.0
89,Harvesting,15.6,21.1,29.0,1007.0,0.0
90,Harvesting,15.9,21.4,30.5,1007.1,0.0
