Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,15.0,22.0,80.0,1010.0,5.0
2,Germination,15.2,22.5,78.0,1009.8,4.0
3,Germination,15.1,22.2,79.0,1010.1,3.5
4,Germination,15.0,22.0,77.0,1009.5,6.0
5,Germination,15.3,22.4,76.0,1009.7,2.5
6,Germination,15.1,22.2,78.0,1010.0,4.5
7,Germination,15.2,22.5,75.0,1009.8,3.0
8,Germination,15.0,22.0,80.0,1010.2,5.0
9,Germination,15.4,22.6,74.0,1009.6,2.0
10,Germination,15.1,22.2,79.0,1010.1,4.0
11,Seedling,16.0,23.0,75.0,1009.2,3.5
12,Seedling,16.2,23.3,73.0,1009.0,2.5
13,Seedling,16.1,23.1,74.0,1009.5,4.0
14,Seedling,16.0,23.0,72.0,1008.9,3.0
15,Seedling,16.3,23.4,71.0,1008.7,2.0
16,Seedling,16.1,23.1,73.0,1009.2,4.0
17,Seedling,16.2,23.3,70.0,1009.0,3.5
18,Vegetative,17.0,24.0,68.0,1008.0,2.0
19,Vegetative,17.2,24.2,67.0,1007.8,1.5
20,Vegetative,17.1,24.1,69.0,1008.2,1.0
21,Vegetative,17.0,24.0,66.0,1007.5,0.5
22,Vegetative,17.3,24.3,65.0,1007.2,1.0
23,Vegetative,17.1,24.1,67.5,1008.0,0.5
24,Vegetative,17.2,24.2,64.0,1007.7,0.0
25,Vegetative,17.0,24.0,66.5,1007.8,0.0
26,Vegetative,17.4,24.4,63.0,1007.1,0.0
27,Vegetative,17.2,24.2,65.0,1007.5,0.0
28,Flowering,18.0,25.0,62.0,1006.5,0.0
29,Flowering,18.2,25.2,61.0,1006.2,0.0
30,Flowering,18.1,25.1,63.0,1006.8,0.0
31,Flowering,18.0,25.0,60.0,1006.0,0.0
32,Flowering,18.3,25.3,59.0,1005.9,0.0
33,Flowering,18.1,25.1,61.5,1006.6,0.0
34,Flowering,18.2,25.2,58.0,1005.7,0.0
35,Flowering,18.0,25.0,60.5,1006.1,0.0
36,Fruiting,19.0,26.0,57.0,1005.5,0.0
37,Fruiting,19.2,26.2,56.0,1005.3,0.0
38,Fruiting,19.1,26.1,58.0,1005.9,0.0
39,Fruiting,19.0,26.0,55.0,1005.2,0.0
40,Fruiting,19.3,26.3,54.0,1005.1,0.0
41,Fruiting,19.1,26.1,56.5,1005.4,0.0
42,Fruiting,19.2,26.2,53.0,1004.9,0.0
43,Fruiting,19.0,26.0,55.5,1005.0,0.0
44,Fruiting,19.4,26.4,52.0,1004.7,0.0
45,Fruiting,19.1,26.1,54.5,1004.5,0.0
46,Fruiting,19.3,26.3,51.0,1004.2,0.0
47,Fruiting,19.5,26.5,50.0,1004.1,0.0
48,Fruiting,19.2,26.2,52.5,1004.6,0.0
49,Maturation,19.8,27.0,49.0,1003.8,0.0
50,Maturation,20.0,27.2,48.0,1003.5,0.0
51,Maturation,19.9,27.1,50.0,1003.6,0.0
52,Maturation,19.8,27.0,47.5,1003.3,0.0
53,Maturation,20.1,27.3,46.0,1003.1,0.0
54,Maturation,19.9,27.1,48.5,1003.4,0.0
55,Maturation,20.0,27.2,45.0,1003.0,0.0
56,Maturation,19.8,27.0,47.0,1003.2,0.0
57,Maturation,20.2,27.4,44.5,1002.9,0.0
58,Maturation,19.9,27.1,46.5,1003.1,0.0
59,Maturation,20.1,27.3,43.0,1002.8,0.0
60,Maturation,20.0,27.2,45.0,1003.0,0.0
61,Maturation,20.3,27.5,42.0,1002.7,0.0
62,Maturation,20.1,27.3,44.0,1002.6,0.0
63,Harvesting,20.5,27.8,41.0,1002.5,0.0
64,Harvesting,20.7,28.0,40.0,1002.3,0.0
65,Harvesting,20.6,27.9,39.0,1002.1,0.0
66,Harvesting,20.5,27.8,38.0,1002.0,0.0
67,Harvesting,20.8,28.1,37.0,1001.9,0.0
68,Harvesting,20.6,27.9,36.5,1001.8,0.0
69,Harvesting,20.7,28.0,35.0,1001.7,0.0
70,Harvesting,20.5,27.8,34.0,1001.5,0.0
71,Harvesting,20.9,28.2,33.0,1001.3,0.0
72,Harvesting,20.7,28.0,32.0,1001.2,0.0
73,Harvesting,20.8,28.1,31.5,1001.1,0.0
74,Harvesting,20.6,27.9,30.0,1001.0,0.0
75,Harvesting,20.9,28.2,29.0,1000.9,0.0
76,Harvesting,20.7,28.0,28.0,1000.8,0.0
77,Harvesting,20.8,28.1,27.5,1000.7,0.0
78,Harvesting,20.6,27.9,26.0,1000.6,0.0
79,Harvesting,20.9,28.2,25.0,1000.5,0.0
80,Harvesting,20.7,28.0,24.5,1000.4,0.0
81,Harvesting,20.8,28.1,24.0,1000.3,0.0
82,Harvesting,20.6,27.9,23.5,1000.2,0.0
83,Harvesting,20.9,28.2,23.0,1000.1,0.0
84,Harvesting,20.7,28.0,22.5,1000.0,0.0
85,Harvesting,20.8,28.1,22.0,999.9,0.0
86,Harvesting,20.6,27.9,21.5,999.8,0.0
87,Harvesting,20.9,28.2,21.0,999.7,0.0
88,Harvesting,20.7,28.0,20.5,999.6,0.0
89,Harvesting,20.8,28.1,20.0,999.5,0.0
90,Harvesting,20.6,27.9,19.5,999.4,0.0
