Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,10.0,20.0,70.0,1012.0,5.0
2,Germination,10.2,20.5,68.0,1011.8,4.0
3,Germination,10.1,20.3,69.0,1011.5,3.5
4,Germination,10.0,20.0,67.0,1011.2,6.0
5,Germination,10.3,20.4,66.0,1011.0,2.5
6,Germination,10.1,20.2,68.0,1011.5,4.5
7,Germination,10.2,20.5,65.0,1011.3,3.0
8,Germination,10.0,20.0,70.0,1012.0,5.0
9,Germination,10.4,20.6,64.0,1011.1,2.0
10,Germination,10.1,20.3,69.0,1011.5,4.0
11,Seedling,11.0,21.0,65.0,1010.5,3.5
12,Seedling,11.2,21.3,63.0,1010.3,2.5
13,Seedling,11.1,21.1,64.0,1010.8,4.0
14,Seedling,11.0,21.0,62.0,1010.0,3.0
15,Seedling,11.3,21.4,61.0,1009.8,2.0
16,Seedling,11.1,21.1,63.0,1010.5,4.0
17,Seedling,11.2,21.3,60.0,1010.2,3.5
18,Vegetative,12.0,22.0,58.0,1009.5,2.0
19,Vegetative,12.2,22.3,57.0,1009.2,1.5
20,Vegetative,12.1,22.1,59.0,1009.8,1.0
21,Vegetative,12.0,22.0,56.0,1008.5,0.5
22,Vegetative,12.3,22.4,55.0,1008.2,1.0
23,Vegetative,12.1,22.1,57.5,1009.0,0.5
24,Vegetative,12.2,22.3,54.0,1008.3,0.0
25,Vegetative,12.0,22.0,56.5,1008.7,0.0
26,Vegetative,12.4,22.5,53.0,1008.1,0.0
27,Vegetative,12.2,22.3,55.0,1008.5,0.0
28,Flowering,13.0,23.0,52.0,1007.5,0.0
29,Flowering,13.2,23.3,51.0,1007.2,0.0
30,Flowering,13.1,23.1,53.0,1007.6,0.0
31,Flowering,13.0,23.0,50.0,1007.0,0.0
32,Flowering,13.3,23.4,49.0,1006.8,0.0
33,Flowering,13.1,23.1,51.5,1007.4,0.0
34,Flowering,13.2,23.3,48.0,1006.7,0.0
35,Flowering,13.0,23.0,50.5,1007.1,0.0
36,Fruiting,14.0,24.0,47.0,1006.0,0.0
37,Fruiting,14.2,24.2,46.0,1005.8,0.0
38,Fruiting,14.1,24.1,48.0,1006.4,0.0
39,Fruiting,14.0,24.0,45.0,1005.5,0.0
40,Fruiting,14.3,24.3,44.0,1005.2,0.0
41,Fruiting,14.1,24.1,46.5,1005.6,0.0
42,Fruiting,14.2,24.2,43.0,1005.0,0.0
43,Fruiting,14.0,24.0,45.5,1005.3,0.0
44,Fruiting,14.4,24.4,42.0,1004.8,0.0
45,Fruiting,14.1,24.1,44.5,1004.5,0.0
46,Fruiting,14.3,24.3,41.0,1004.1,0.0
47,Fruiting,14.5,24.5,40.0,1003.9,0.0
48,Fruiting,14.2,24.2,42.5,1004.4,0.0
49,Maturation,14.8,25.0,39.0,1003.5,0.0
50,Maturation,15.0,25.2,38.0,1003.2,0.0
51,Maturation,14.9,25.1,40.0,1003.4,0.0
52,Maturation,14.8,25.0,37.5,1003.0,0.0
53,Maturation,15.1,25.3,36.0,1002.8,0.0
54,Maturation,14.9,25.1,38.5,1003.3,0.0
55,Maturation,15.0,25.2,35.0,1002.6,0.0
56,Maturation,14.8,25.0,37.0,1002.9,0.0
57,Maturation,15.2,25.4,34.5,1002.5,0.0
58,Maturation,14.9,25.1,36.5,1002.4,0.0
59,Maturation,15.1,25.3,33.0,1002.1,0.0
60,Maturation,15.0,25.2,35.0,1002.7,0.0
61,Maturation,15.3,25.5,32.0,1001.8,0.0
62,Maturation,15.1,25.3,34.0,1001.5,0.0
63,Harvesting,15.5,25.8,31.0,1001.0,0.0
64,Harvesting,15.7,26.0,30.0,1000.8,0.0
65,Harvesting,15.6,25.9,29.0,1000.6,0.0
66,Harvesting,15.5,25.8,28.0,1000.5,0.0
67,Harvesting,15.8,26.1,27.0,1000.3,0.0
68,Harvesting,15.6,25.9,26.5,1000.2,0.0
69,Harvesting,15.7,26.0,25.0,1000.0,0.0
70,Harvesting,15.5,25.8,24.0,999.9,0.0
71,Harvesting,15.9,26.2,23.0,999.8,0.0
72,Harvesting,15.7,26.0,22.0,999.7,0.0
73,Harvesting,15.8,26.1,21.5,999.6,0.0
74,Harvesting,15.6,25.9,20.0,999.5,0.0
75,Harvesting,15.9,26.2,19.0,999.4,0.0
76,Harvesting,15.7,26.0,18.0,999.3,0.0
77,Harvesting,15.8,26.1,17.5,999.2,0.0
78,Harvesting,15.6,25.9,17.0,999.1,0.0
79,Harvesting,15.9,26.2,16.0,999.0,0.0
80,Harvesting,15.7,26.0,15.5,998.9,0.0
81,Harvesting,15.8,26.1,15.0,998.8,0.0
82,Harvesting,15.6,25.9,14.5,998.7,0.0
83,Harvesting,15.9,26.2,14.0,998.6,0.0
84,Harvesting,15.7,26.0,13.5,998.5,0.0
85,Harvesting,15.8,26.1,13.0,998.4,0.0
86,Harvesting,15.6,25.9,12.5,998.3,0.0
87,Harvesting,15.9,26.2,12.0,998.2,0.0
88,Harvesting,15.7,26.0,11.5,998.1,0.0
89,Harvesting,15.8,26.1,11.0,998.0,0.0
90,Harvesting,15.6,25.9,10.5,997.9,0.0
