Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,18.0,24.0,80.0,1010.0,10.0
2,Germination,18.2,24.5,78.0,1009.8,8.0
3,Germination,18.1,24.3,79.0,1009.5,9.0
4,Germination,18.0,24.0,77.0,1009.2,7.5
5,Germination,18.3,24.6,76.0,1009.0,6.0
6,Germination,18.1,24.4,78.0,1009.5,8.0
7,Germination,18.2,24.5,75.0,1008.8,5.5
8,Germination,18.0,24.0,79.0,1010.0,7.0
9,Germination,18.4,24.7,74.0,1008.5,4.0
10,Germination,18.1,24.3,78.0,1009.0,8.0
11,Seedling,18.5,25.0,73.0,1008.0,3.5
12,Seedling,18.7,25.2,72.0,1007.5,4.0
13,Seedling,18.6,25.1,74.0,1008.2,5.0
14,Seedling,18.5,25.0,71.0,1007.0,3.0
15,Seedling,18.8,25.3,70.0,1006.8,4.5
16,Seedling,18.6,25.1,69.0,1007.5,3.0
17,Seedling,18.7,25.2,68.0,1006.5,2.0
18,Vegetative,19.0,26.0,66.0,1005.5,1.5
19,Vegetative,19.2,26.5,65.0,1005.0,1.0
20,Vegetative,19.1,26.2,67.0,1005.7,2.0
21,Vegetative,19.0,26.0,64.0,1004.8,0.5
22,Vegetative,19.3,26.7,63.0,1004.5,0.0
23,Vegetative,19.1,26.2,65.5,1005.1,0.0
24,Vegetative,19.2,26.5,62.0,1004.2,0.0
25,Vegetative,19.0,26.0,64.0,1004.7,0.0
26,Vegetative,19.4,26.8,61.0,1003.8,0.0
27,Vegetative,19.2,26.5,63.5,1004.1,0.0
28,Flowering,20.0,27.0,60.0,1003.0,0.0
29,Flowering,20.2,27.5,59.0,1002.7,0.0
30,Flowering,20.1,27.2,61.0,1003.5,0.0
31,Flowering,20.0,27.0,58.0,1002.0,0.0
32,Flowering,20.3,27.6,57.0,1001.5,0.0
33,Flowering,20.1,27.2,59.5,1003.0,0.0
34,Flowering,20.2,27.5,56.0,1002.2,0.0
35,Flowering,20.0,27.0,58.0,1002.4,0.0
36,Fruiting,21.0,28.0,55.0,1001.0,0.0
37,Fruiting,21.2,28.5,54.0,1000.5,0.0
38,Fruiting,21.1,28.2,56.0,1001.2,0.0
39,Fruiting,21.0,28.0,53.0,1000.0,0.0
40,Fruiting,21.3,28.6,52.0,999.5,0.0
41,Fruiting,21.1,28.2,54.5,1000.1,0.0
42,Fruiting,21.2,28.5,51.0,999.8,0.0
43,Fruiting,21.0,28.0,53.5,1000.3,0.0
44,Fruiting,21.4,28.7,50.0,999.6,0.0
45,Fruiting,21.1,28.2,52.5,999.2,0.0
46,Fruiting,21.3,28.5,49.0,998.8,0.0
47,Fruiting,21.5,28.8,48.0,998.5,0.0
48,Fruiting,21.2,28.3,50.5,999.1,0.0
49,Maturation,21.8,29.0,47.0,998.0,0.0
50,Maturation,22.0,29.5,46.0,997.8,0.0
51,Maturation,21.9,29.2,48.0,998.3,0.0
52,Maturation,21.8,29.0,45.5,997.5,0.0
53,Maturation,22.1,29.6,44.0,997.0,0.0
54,Maturation,21.9,29.2,46.5,997.6,0.0
55,Maturation,22.0,29.5,43.0,996.8,0.0
56,Maturation,21.8,29.0,45.0,997.3,0.0
57,Maturation,22.2,29.8,42.0,996.5,0.0
58,Maturation,21.9,29.2,44.0,996.0,0.0
59,Maturation,22.1,29.6,41.0,995.5,0.0
60,Maturation,22.0,29.5,43.0,996.7,0.0
61,Maturation,22.3,30.0,40.0,995.0,0.0
62,Maturation,22.1,29.6,42.0,994.8,0.0
63,Harvesting,22.5,30.2,39.0,994.0,0.0
64,Harvesting,22.7,30.5,38.0,993.5,0.0
65,Harvesting,22.6,30.3,37.0,993.2,0.0
66,Harvesting,22.5,30.2,36.0,993.0,0.0
67,Harvesting,22.8,30.6,35.0,992.8,0.0
68,Harvesting,22.6,30.3,34.5,992.5,0.0
69,Harvesting,22.7,30.5,33.0,992.0,0.0
70,Harvesting,22.5,30.2,32.0,991.9,0.0
71,Harvesting,22.9,30.7,31.0,991.6,0.0
72,Harvesting,22.7,30.5,30.0,991.4,0.0
73,Harvesting,22.8,30.6,29.0,991.3,0.0
74,Harvesting,22.6,30.3,28.5,991.1,0.0
75,Harvesting,22.9,30.7,28.0,990.9,0.0
76,Harvesting,22.7,30.5,27.0,990.8,0.0
77,Harvesting,22.8,30.6,26.5,990.6,0.0
78,Harvesting,22.6,30.3,26.0,990.4,0.0
79,Harvesting,22.9,30.7,25.0,990.2,0.0
80,Harvesting,22.7,30.5,24.0,990.0,0.0
81,Harvesting,22.8,30.6,23.5,989.9,0.0
82,Harvesting,22.6,30.3,23.0,989.7,0.0
83,Harvesting,22.9,30.7,22.5,989.5,0.0
84,Harvesting,22.7,30.5,22.0,989.3,0.0
85,Harvesting,22.8,30.6,21.0,989.1,0.0
86,Harvesting,22.6,30.3,20.5,988.9,0.0
87,Harvesting,22.9,30.7,20.0,988.7,0.0
88,Harvesting,22.7,30.5,19.5,988.5,0.0
89,Harvesting,22.8,30.6,19.0,988.3,0.0
90,Harvesting,22.6,30.3,18.5,988.1,0.0
