Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,26.0,85.0,1015.0,10.0
2,Germination,20.5,26.5,84.0,1014.5,12.0
3,Germination,20.3,26.3,83.0,1014.0,8.0
4,Germination,20.0,26.0,82.0,1013.5,6.0
5,Germination,20.1,26.1,81.0,1013.0,5.0
6,Germination,20.4,26.4,80.0,1012.5,4.0
7,Germination,20.5,26.5,79.0,1012.0,3.0
8,Germination,20.3,26.3,78.0,1011.5,2.0
9,Germination,20.4,26.4,77.0,1011.0,1.5
10,Germination,20.5,26.5,76.0,1010.5,1.0
11,Seedling,20.6,26.6,75.0,1012.0,1.0
12,Seedling,20.7,26.7,74.0,1011.5,0.5
13,Seedling,20.6,26.6,73.0,1011.0,0.0
14,Seedling,20.5,26.5,72.0,1010.5,0.0
15,Seedling,20.8,26.8,71.0,1010.0,0.0
16,Seedling,20.7,26.7,70.0,1009.5,0.0
17,Seedling,20.6,26.6,69.0,1009.0,0.0
18,Vegetative,20.9,27.0,68.0,1009.0,0.0
19,Vegetative,21.0,27.2,67.0,1008.5,0.0
20,Vegetative,20.8,27.0,66.0,1008.0,0.0
21,Vegetative,20.7,26.9,65.0,1007.5,0.0
22,Vegetative,21.1,27.3,64.0,1007.0,0.0
23,Vegetative,21.0,27.2,63.0,1006.5,0.0
24,Vegetative,20.9,27.1,62.0,1006.0,0.0
25,Vegetative,21.2,27.4,61.0,1005.5,0.0
26,Vegetative,21.0,27.2,60.0,1005.0,0.0
27,Vegetative,21.1,27.3,59.0,1004.5,0.0
28,Flowering,21.3,27.5,58.0,1004.0,0.0
29,Flowering,21.4,27.6,57.0,1003.5,0.0
30,Flowering,21.2,27.4,56.0,1003.0,0.0
31,Flowering,21.1,27.3,55.0,1002.8,0.0
32,Flowering,21.5,27.7,54.0,1002.5,0.0
33,Flowering,21.4,27.6,53.0,1002.0,0.0
34,Flowering,21.3,27.5,52.0,1001.5,0.0
35,Fruiting,21.2,27.4,51.0,1001.0,0.0
36,Fruiting,21.6,27.8,50.0,1000.8,0.0
37,Fruiting,21.5,27.7,49.0,1000.5,0.0
38,Fruiting,21.4,27.6,48.0,1000.2,0.0
39,Fruiting,21.3,27.5,47.0,1000.0,0.0
40,Fruiting,21.7,28.0,46.0,999.8,0.0
41,Fruiting,21.5,27.7,45.0,999.5,0.0
42,Fruiting,21.4,27.6,44.0,999.0,0.0
43,Fruiting,21.8,28.1,43.0,998.8,0.0
44,Fruiting,21.6,27.9,42.0,998.5,0.0
45,Fruiting,21.5,27.7,41.0,998.0,0.0
46,Fruiting,21.4,27.6,40.0,997.5,0.0
47,Maturation,21.9,28.2,39.0,997.0,0.0
48,Maturation,21.8,28.1,38.0,996.5,0.0
49,Maturation,21.6,27.9,37.0,996.2,0.0
50,Maturation,21.5,27.8,36.0,995.8,0.0
51,Maturation,21.7,28.0,35.0,995.5,0.0
52,Maturation,21.9,28.2,34.0,995.0,0.0
53,Maturation,21.8,28.1,33.0,994.8,0.0
54,Maturation,21.7,28.0,32.0,994.5,0.0
55,Maturation,22.0,28.5,31.0,994.0,0.0
56,Maturation,21.9,28.3,30.0,993.8,0.0
57,Maturation,21.8,28.1,29.0,993.5,0.0
58,Maturation,22.1,28.6,28.0,993.2,0.0
59,Maturation,21.9,28.4,27.0,992.9,0.0
60,Maturation,22.0,28.5,26.0,992.5,0.0
61,Maturation,22.2,28.8,25.0,992.0,0.0
62,Maturation,22.1,28.6,24.0,991.8,0.0
63,Harvesting,22.4,29.0,23.0,991.5,0.0
64,Harvesting,22.2,28.8,22.0,991.2,0.0
65,Harvesting,22.0,28.6,21.0,990.8,0.0
66,Harvesting,22.3,29.1,20.0,990.5,0.0
67,Harvesting,22.1,28.9,19.0,990.2,0.0
68,Harvesting,22.4,29.0,18.0,990.0,0.0
69,Harvesting,22.2,28.8,17.0,989.5,0.0
70,Harvesting,22.3,29.1,16.0,989.2,0.0
71,Harvesting,22.1,28.9,15.0,988.8,0.0
72,Harvesting,22.4,29.0,14.0,988.5,0.0
73,Harvesting,22.2,28.8,13.0,988.2,0.0
74,Harvesting,22.1,28.6,12.0,988.0,0.0
75,Harvesting,22.4,29.1,11.0,987.5,0.0
76,Harvesting,22.2,28.8,10.0,987.0,0.0
77,Harvesting,22.3,29.0,9.0,986.8,0.0
78,Harvesting,22.1,28.6,8.0,986.5,0.0
79,Harvesting,22.4,29.1,7.0,986.2,0.0
80,Harvesting,22.2,28.8,6.0,985.8,0.0
81,Harvesting,22.3,29.0,5.0,985.5,0.0
82,Harvesting,22.1,28.6,4.0,985.2,0.0
83,Harvesting,22.4,29.1,3.0,985.0,0.0
84,Harvesting,22.2,28.8,2.0,984.5,0.0
85,Harvesting,22.3,29.0,1.0,984.2,0.0
86,Harvesting,22.1,28.6,0.0,983.8,0.0
87,Harvesting,22.4,29.1,0.0,983.5,0.0
88,Harvesting,22.2,28.8,0.0,983.2,0.0
89,Harvesting,22.3,29.0,0.0,982.8,0.0
90,Harvesting,22.1,28.6,0.0,982.5,0.0
