Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,18.0,24.0,85.0,1015.0,15.0
2,Germination,18.5,24.5,84.0,1014.5,14.0
3,Germination,18.0,24.0,83.0,1014.0,12.0
4,Germination,18.2,24.2,82.0,1013.5,10.0
5,Germination,18.4,24.4,81.0,1013.0,8.0
6,Germination,18.5,24.5,80.0,1012.5,6.0
7,Germination,18.3,24.3,79.0,1012.0,5.0
8,Germination,18.0,24.0,78.0,1011.5,4.0
9,Germination,18.2,24.2,77.0,1011.0,3.0
10,Germination,18.1,24.1,76.0,1010.5,2.0
11,Seedling,18.5,24.5,75.0,1012.0,1.5
12,Seedling,18.4,24.4,74.0,1011.5,1.0
13,Seedling,18.3,24.3,73.0,1011.0,0.5
14,Seedling,18.5,24.5,72.0,1010.5,0.0
15,Seedling,18.6,24.6,71.0,1010.0,0.0
16,Seedling,18.4,24.4,70.0,1009.5,0.0
17,Seedling,18.5,24.5,69.0,1009.0,0.0
18,Vegetative,18.6,24.6,68.0,1009.0,0.0
19,Vegetative,19.0,25.0,67.0,1008.5,0.0
20,Vegetative,19.1,25.1,66.0,1008.0,0.0
21,Vegetative,19.2,25.2,65.0,1007.5,0.0
22,Vegetative,19.0,25.0,64.0,1007.0,0.0
23,Vegetative,19.3,25.3,63.0,1006.5,0.0
24,Vegetative,19.1,25.1,62.0,1006.0,0.0
25,Vegetative,19.0,25.0,61.0,1005.5,0.0
26,Vegetative,19.4,25.4,60.0,1005.0,0.0
27,Vegetative,19.2,25.2,59.0,1004.5,0.0
28,Vegetative,19.3,25.3,58.0,1004.0,0.0
29,Flowering,19.5,25.5,57.0,1004.0,0.0
30,Flowering,19.6,25.6,56.0,1003.5,0.0
31,Flowering,19.4,25.4,55.0,1003.0,0.0
32,Flowering,19.5,25.5,54.0,1002.8,0.0
33,Flowering,19.7,25.7,53.0,1002.5,0.0
34,Flowering,19.6,25.6,52.0,1002.0,0.0
35,Flowering,19.5,25.5,51.0,1001.5,0.0
36,Fruiting,19.8,25.8,50.0,1001.0,0.0
37,Fruiting,19.9,25.9,49.0,1000.8,0.0
38,Fruiting,19.6,25.6,48.0,1000.5,0.0
39,Fruiting,19.5,25.5,47.0,1000.2,0.0
40,Fruiting,19.9,25.9,46.0,1000.0,0.0
41,Fruiting,19.8,25.8,45.0,999.8,0.0
42,Fruiting,19.7,25.7,44.0,999.5,0.0
43,Fruiting,19.5,25.5,43.0,999.0,0.0
44,Fruiting,19.9,25.9,42.0,998.8,0.0
45,Fruiting,19.6,25.6,41.0,998.5,0.0
46,Fruiting,19.7,25.7,40.0,998.0,0.0
47,Maturation,20.0,26.0,39.0,997.5,0.0
48,Maturation,20.1,26.1,38.0,997.0,0.0
49,Maturation,20.3,26.3,37.0,996.5,0.0
50,Maturation,20.4,26.4,36.0,996.2,0.0
51,Maturation,20.5,26.5,35.0,995.8,0.0
52,Maturation,20.6,26.6,34.0,995.5,0.0
53,Maturation,20.7,26.7,33.0,995.0,0.0
54,Maturation,20.8,26.8,32.0,994.8,0.0
55,Maturation,21.0,27.0,31.0,994.5,0.0
56,Maturation,21.2,27.2,30.0,994.0,0.0
57,Maturation,21.1,27.1,29.0,993.8,0.0
58,Maturation,21.3,27.3,28.0,993.5,0.0
59,Maturation,21.5,27.5,27.0,993.2,0.0
60,Maturation,21.7,27.7,26.0,993.0,0.0
61,Maturation,21.6,27.6,25.0,992.8,0.0
62,Maturation,21.8,27.8,24.0,992.5,0.0
63,Harvesting,22.0,28.0,23.0,992.0,0.0
64,Harvesting,22.1,28.1,22.0,991.5,0.0
65,Harvesting,22.2,28.2,21.0,991.0,0.0
66,Harvesting,22.3,28.3,20.0,990.8,0.0
67,Harvesting,22.1,28.1,19.0,990.5,0.0
68,Harvesting,22.2,28.2,18.0,990.2,0.0
69,Harvesting,22.4,28.4,17.0,990.0,0.0
70,Harvesting,22.3,28.3,16.0,989.8,0.0
71,Harvesting,22.5,28.5,15.0,989.5,0.0
72,Harvesting,22.4,28.4,14.0,989.2,0.0
73,Harvesting,22.3,28.3,13.0,989.0,0.0
74,Harvesting,22.5,28.5,12.0,988.8,0.0
75,Harvesting,22.4,28.4,11.0,988.5,0.0
76,Harvesting,22.2,28.2,10.0,988.2,0.0
77,Harvesting,22.1,28.1,9.0,987.8,0.0
78,Harvesting,22.3,28.3,8.0,987.5,0.0
79,Harvesting,22.4,28.4,7.0,987.0,0.0
80,Harvesting,22.5,28.5,6.0,986.8,0.0
81,Harvesting,22.3,28.3,5.0,986.5,0.0
82,Harvesting,22.2,28.2,4.0,986.0,0.0
83,Harvesting,22.4,28.4,3.0,985.8,0.0
84,Harvesting,22.2,28.2,2.0,985.5,0.0
85,Harvesting,22.3,28.3,1.0,985.2,0.0
86,Harvesting,22.1,28.1,0.0,985.0,0.0
87,Harvesting,22.4,28.4,0.0,984.5,0.0
88,Harvesting,22.3,28.3,0.0,984.2,0.0
89,Harvesting,22.1,28.1,0.0,983.8,0.0
90,Harvesting,22.4,28.4,0.0,983.5,0.0
