Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,18.0,24.0,85.0,1012.0,12.0
2,Germination,18.2,24.2,84.0,1011.5,11.0
3,Germination,18.5,24.5,83.0,1011.0,10.0
4,Germination,18.4,24.4,82.0,1010.5,9.0
5,Germination,18.6,24.6,81.0,1010.0,8.0
6,Germination,18.3,24.3,80.0,1009.5,7.0
7,Germination,18.5,24.5,79.0,1009.0,6.0
8,Germination,18.7,24.7,78.0,1008.5,5.0
9,Germination,18.8,24.8,77.0,1008.0,4.0
10,Germination,18.6,24.6,76.0,1007.5,3.0
11,Seedling,19.0,25.0,75.0,1009.0,2.5
12,Seedling,19.1,25.1,74.0,1008.5,2.0
13,Seedling,19.2,25.2,73.0,1008.0,1.5
14,Seedling,19.4,25.4,72.0,1007.5,1.0
15,Seedling,19.5,25.5,71.0,1007.0,1.0
16,Seedling,19.3,25.3,70.0,1006.5,0.5
17,Seedling,19.4,25.4,69.0,1006.0,0.0
18,Vegetative,19.6,25.6,68.0,1005.5,0.0
19,Vegetative,19.7,25.7,67.0,1005.0,0.0
20,Vegetative,19.8,25.8,66.0,1004.5,0.0
21,Vegetative,20.0,26.0,65.0,1004.0,0.0
22,Vegetative,20.2,26.2,64.0,1003.5,0.0
23,Vegetative,20.1,26.1,63.0,1003.0,0.0
24,Vegetative,20.3,26.3,62.0,1002.5,0.0
25,Vegetative,20.5,26.5,61.0,1002.0,0.0
26,Vegetative,20.4,26.4,60.0,1001.5,0.0
27,Vegetative,20.6,26.6,59.0,1001.0,0.0
28,Vegetative,20.7,26.7,58.0,1000.8,0.0
29,Flowering,21.0,27.0,57.0,1000.5,0.0
30,Flowering,21.1,27.1,56.0,1000.0,0.0
31,Flowering,21.2,27.2,55.0,999.8,0.0
32,Flowering,21.4,27.4,54.0,999.5,0.0
33,Flowering,21.5,27.5,53.0,999.0,0.0
34,Flowering,21.7,27.7,52.0,998.8,0.0
35,Flowering,21.6,27.6,51.0,998.5,0.0
36,Fruiting,21.9,27.9,50.0,998.0,0.0
37,Fruiting,22.0,28.0,49.0,997.5,0.0
38,Fruiting,22.1,28.1,48.0,997.0,0.0
39,Fruiting,22.3,28.3,47.0,996.8,0.0
40,Fruiting,22.2,28.2,46.0,996.5,0.0
41,Fruiting,22.4,28.4,45.0,996.2,0.0
42,Fruiting,22.5,28.5,44.0,996.0,0.0
43,Fruiting,22.6,28.6,43.0,995.8,0.0
44,Fruiting,22.8,28.8,42.0,995.5,0.0
45,Fruiting,22.9,28.9,41.0,995.0,0.0
46,Fruiting,22.7,28.7,40.0,994.8,0.0
47,Maturation,23.0,29.0,39.0,994.5,0.0
48,Maturation,23.1,29.1,38.0,994.0,0.0
49,Maturation,23.2,29.2,37.0,993.8,0.0
50,Maturation,23.4,29.4,36.0,993.5,0.0
51,Maturation,23.5,29.5,35.0,993.2,0.0
52,Maturation,23.7,29.7,34.0,993.0,0.0
53,Maturation,23.8,29.8,33.0,992.5,0.0
54,Maturation,24.0,30.0,32.0,992.0,0.0
55,Maturation,24.1,30.1,31.0,991.8,0.0
56,Maturation,24.3,30.3,30.0,991.5,0.0
57,Maturation,24.5,30.5,29.0,991.0,0.0
58,Maturation,24.6,30.6,28.0,990.8,0.0
59,Maturation,24.8,30.8,27.0,990.5,0.0
60,Maturation,25.0,31.0,26.0,990.2,0.0
61,Maturation,25.1,31.1,25.0,990.0,0.0
62,Maturation,25.3,31.3,24.0,989.5,0.0
63,Harvesting,25.5,31.5,23.0,989.0,0.0
64,Harvesting,25.6,31.6,22.0,988.8,0.0
65,Harvesting,25.7,31.7,21.0,988.5,0.0
66,Harvesting,25.5,31.5,20.0,988.2,0.0
67,Harvesting,25.4,31.4,19.0,988.0,0.0
68,Harvesting,25.6,31.6,18.0,987.5,0.0
69,Harvesting,25.7,31.7,17.0,987.0,0.0
70,Harvesting,25.8,31.8,16.0,986.8,0.0
71,Harvesting,25.5,31.5,15.0,986.5,0.0
72,Harvesting,25.4,31.4,14.0,986.2,0.0
73,Harvesting,25.3,31.3,13.0,986.0,0.0
74,Harvesting,25.5,31.5,12.0,985.5,0.0
75,Harvesting,25.4,31.4,11.0,985.0,0.0
76,Harvesting,25.6,31.6,10.0,984.5,0.0
77,Harvesting,25.5,31.5,9.0,984.0,0.0
78,Harvesting,25.4,31.4,8.0,983.8,0.0
79,Harvesting,25.3,31.3,7.0,983.5,0.0
80,Harvesting,25.2,31.2,6.0,983.0,0.0
81,Harvesting,25.4,31.4,5.0,982.5,0.0
82,Harvesting,25.5,31.5,4.0,982.0,0.0
83,Harvesting,25.6,31.6,3.0,981.5,0.0
84,Harvesting,25.4,31.4,2.0,981.0,0.0
85,Harvesting,25.5,31.5,1.0,980.5,0.0
86,Harvesting,25.6,31.6,0.0,980.0,0.0
87,Harvesting,25.4,31.4,0.0,979.8,0.0
88,Harvesting,25.3,31.3,0.0,979.5,0.0
89,Harvesting,25.2,31.2,0.0,979.0,0.0
90,Harvesting,25.4,31.4,0.0,978.5,0.0
