Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,15.0,25.0,80.0,1012.0,10.0
2,Germination,15.2,25.2,78.0,1011.5,12.0
3,Germination,15.3,25.3,76.0,1011.0,9.5
4,Germination,15.5,25.5,75.0,1010.5,8.0
5,Germination,15.6,25.6,74.0,1010.0,7.0
6,Germination,15.7,25.7,73.0,1009.5,6.0
7,Germination,15.8,25.8,72.0,1009.0,5.0
8,Germination,16.0,26.0,71.0,1008.5,4.0
9,Germination,16.1,26.1,70.0,1008.0,3.0
10,Germination,16.2,26.2,69.0,1007.5,2.0
11,Seedling,16.5,26.5,68.0,1008.0,1.5
12,Seedling,16.6,26.6,67.0,1007.5,1.0
13,Seedling,16.7,26.7,66.0,1007.0,1.0
14,Seedling,16.8,26.8,65.0,1006.5,1.5
15,Seedling,17.0,27.0,64.0,1006.0,2.0
16,Vegetative,17.1,27.1,63.0,1005.5,2.5
17,Vegetative,17.2,27.2,62.0,1005.0,3.0
18,Vegetative,17.4,27.4,61.0,1004.5,3.5
19,Vegetative,17.5,27.5,60.0,1004.0,4.0
20,Vegetative,17.6,27.6,59.0,1003.5,4.5
21,Vegetative,17.8,27.8,58.0,1003.0,5.0
22,Vegetative,18.0,28.0,57.0,1002.5,5.5
23,Vegetative,18.1,28.1,56.0,1002.0,6.0
24,Vegetative,18.2,28.2,55.0,1001.5,6.5
25,Vegetative,18.4,28.4,54.0,1001.0,7.0
26,Flowering,18.5,28.5,53.0,1001.5,8.0
27,Flowering,18.6,28.6,52.0,1001.0,9.0
28,Flowering,18.7,28.7,51.0,1000.5,10.0
29,Flowering,18.9,28.9,50.0,1000.0,11.0
30,Flowering,19.0,29.0,49.0,999.5,12.0
31,Flowering,19.2,29.2,48.0,999.0,13.0
32,Flowering,19.3,29.3,47.0,998.5,14.0
33,Flowering,19.5,29.5,46.0,998.0,15.0
34,Flowering,19.6,29.6,45.0,997.5,16.0
35,Fruiting,19.7,29.7,44.0,997.0,17.0
36,Fruiting,19.8,29.8,43.0,996.5,18.0
37,Fruiting,20.0,30.0,42.0,996.0,19.0
38,Fruiting,20.1,30.1,41.0,995.5,20.0
39,Fruiting,20.2,30.2,40.0,995.0,21.0
40,Fruiting,20.4,30.4,39.0,994.5,22.0
41,Fruiting,20.5,30.5,38.0,994.0,23.0
42,Fruiting,20.6,30.6,37.0,993.5,24.0
43,Fruiting,20.8,30.8,36.0,993.0,25.0
44,Fruiting,20.9,30.9,35.0,992.5,26.0
45,Maturation,21.0,31.0,34.0,992.0,27.0
46,Maturation,21.2,31.2,33.0,991.5,28.0
47,Maturation,21.3,31.3,32.0,991.0,29.0
48,Maturation,21.4,31.4,31.0,990.5,30.0
49,Maturation,21.5,31.5,30.0,990.0,31.0
50,Maturation,21.7,31.7,29.0,989.5,32.0
51,Maturation,21.8,31.8,28.0,989.0,33.0
52,Maturation,22.0,32.0,27.0,988.5,34.0
53,Maturation,22.1,32.1,26.0,988.0,35.0
54,Maturation,22.3,32.3,25.0,987.5,36.0
55,Maturation,22.4,32.4,24.0,987.0,37.0
56,Maturation,22.5,32.5,23.0,986.5,38.0
57,Maturation,22.7,32.7,22.0,986.0,39.0
58,Maturation,22.8,32.8,21.0,985.5,40.0
59,Maturation,23.0,33.0,20.0,985.0,41.0
60,Maturation,23.1,33.1,19.0,984.5,42.0
61,Maturation,23.2,33.2,18.0,984.0,43.0
62,Maturation,23.4,33.4,17.0,983.5,44.0
63,Maturation,23.5,33.5,16.0,983.0,45.0
64,Harvesting,23.6,33.6,15.0,982.5,46.0
65,Harvesting,23.8,33.8,14.0,982.0,47.0
66,Harvesting,23.9,33.9,13.0,981.5,48.0
67,Harvesting,24.0,34.0,12.0,981.0,49.0
68,Harvesting,24.1,34.1,11.0,980.5,50.0
69,Harvesting,24.3,34.3,10.0,980.0,51.0
70,Harvesting,24.4,34.4,9.0,979.5,52.0
71,Harvesting,24.5,34.5,8.0,979.0,53.0
72,Harvesting,24.7,34.7,7.0,978.5,54.0
73,Harvesting,24.8,34.8,6.0,978.0,55.0
74,Harvesting,24.9,34.9,5.0,977.5,56.0
75,Harvesting,25.0,35.0,4.0,977.0,57.0
76,Harvesting,25.2,35.2,3.0,976.5,58.0
77,Harvesting,25.3,35.3,2.0,976.0,59.0
78,Harvesting,25.4,35.4,1.0,975.5,60.0
79,Harvesting,25.6,35.6,0.0,975.0,61.0
80,Harvesting,25.7,35.7,0.0,974.5,62.0
81,Harvesting,25.8,35.8,0.0,974.0,63.0
82,Harvesting,26.0,36.0,0.0,973.5,64.0
83,Harvesting,26.1,36.1,0.0,973.0,65.0
84,Harvesting,26.2,36.2,0.0,972.5,66.0
85,Harvesting,26.3,36.3,0.0,972.0,67.0
86,Harvesting,26.5,36.5,0.0,971.5,68.0
87,Harvesting,26.6,36.6,0.0,971.0,69.0
88,Harvesting,26.7,36.7,0.0,970.5,70.0
89,Harvesting,26.8,36.8,0.0,970.0,71.0
90,Harvesting,27.0,37.0,0.0,969.5,72.0
