Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,18.0,28.0,80.0,1012.0,15.0
2,Germination,18.1,28.1,79.0,1011.5,14.0
3,Germination,18.2,28.2,78.0,1011.0,13.0
4,Germination,18.4,28.4,77.0,1010.5,12.0
5,Germination,18.5,28.5,76.0,1010.0,11.0
6,Germination,18.6,28.6,75.0,1009.5,10.0
7,Germination,18.7,28.7,74.0,1009.0,9.0
8,Germination,18.8,28.8,73.0,1008.5,8.0
9,Germination,19.0,29.0,72.0,1008.0,7.0
10,Germination,19.1,29.1,71.0,1007.5,6.0
11,Seedling,19.2,29.2,70.0,1008.0,5.0
12,Seedling,19.3,29.3,69.0,1007.5,4.0
13,Seedling,19.5,29.5,68.0,1007.0,3.5
14,Seedling,19.6,29.6,67.0,1006.5,3.0
15,Seedling,19.7,29.7,66.0,1006.0,2.5
16,Vegetative,19.8,29.8,65.0,1005.5,2.0
17,Vegetative,20.0,30.0,64.0,1005.0,2.5
18,Vegetative,20.1,30.1,63.0,1004.5,3.0
19,Vegetative,20.2,30.2,62.0,1004.0,3.5
20,Vegetative,20.4,30.4,61.0,1003.5,4.0
21,Vegetative,20.5,30.5,60.0,1003.0,4.5
22,Vegetative,20.6,30.6,59.0,1002.5,5.0
23,Vegetative,20.8,30.8,58.0,1002.0,5.5
24,Vegetative,20.9,30.9,57.0,1001.5,6.0
25,Vegetative,21.0,31.0,56.0,1001.0,6.5
26,Flowering,21.1,31.1,55.0,1001.5,7.0
27,Flowering,21.3,31.3,54.0,1001.0,8.0
28,Flowering,21.4,31.4,53.0,1000.5,9.0
29,Flowering,21.5,31.5,52.0,1000.0,10.0
30,Flowering,21.6,31.6,51.0,999.5,11.0
31,Flowering,21.8,31.8,50.0,999.0,12.0
32,Flowering,21.9,31.9,49.0,998.5,13.0
33,Flowering,22.0,32.0,48.0,998.0,14.0
34,Flowering,22.1,32.1,47.0,997.5,15.0
35,Fruiting,22.3,32.3,46.0,997.0,16.0
36,Fruiting,22.4,32.4,45.0,996.5,17.0
37,Fruiting,22.5,32.5,44.0,996.0,18.0
38,Fruiting,22.6,32.6,43.0,995.5,19.0
39,Fruiting,22.8,32.8,42.0,995.0,20.0
40,Fruiting,22.9,32.9,41.0,994.5,21.0
41,Fruiting,23.0,33.0,40.0,994.0,22.0
42,Fruiting,23.2,33.2,39.0,993.5,23.0
43,Fruiting,23.3,33.3,38.0,993.0,24.0
44,Fruiting,23.4,33.4,37.0,992.5,25.0
45,Maturation,23.5,33.5,36.0,992.0,26.0
46,Maturation,23.6,33.6,35.0,991.5,27.0
47,Maturation,23.8,33.8,34.0,991.0,28.0
48,Maturation,23.9,33.9,33.0,990.5,29.0
49,Maturation,24.0,34.0,32.0,990.0,30.0
50,Maturation,24.1,34.1,31.0,989.5,31.0
51,Maturation,24.3,34.3,30.0,989.0,32.0
52,Maturation,24.4,34.4,29.0,988.5,33.0
53,Maturation,24.5,34.5,28.0,988.0,34.0
54,Maturation,24.7,34.7,27.0,987.5,35.0
55,Maturation,24.8,34.8,26.0,987.0,36.0
56,Maturation,25.0,35.0,25.0,986.5,37.0
57,Maturation,25.1,35.1,24.0,986.0,38.0
58,Maturation,25.3,35.3,23.0,985.5,39.0
59,Maturation,25.4,35.4,22.0,985.0,40.0
60,Maturation,25.5,35.5,21.0,984.5,41.0
61,Maturation,25.7,35.7,20.0,984.0,42.0
62,Maturation,25.8,35.8,19.0,983.5,43.0
63,Maturation,26.0,36.0,18.0,983.0,44.0
64,Harvesting,26.1,36.1,17.0,982.5,45.0
65,Harvesting,26.3,36.3,16.0,982.0,46.0
66,Harvesting,26.4,36.4,15.0,981.5,47.0
67,Harvesting,26.5,36.5,14.0,981.0,48.0
68,Harvesting,26.7,36.7,13.0,980.5,49.0
69,Harvesting,26.8,36.8,12.0,980.0,50.0
70,Harvesting,26.9,36.9,11.0,979.5,51.0
71,Harvesting,27.0,37.0,10.0,979.0,52.0
72,Harvesting,27.1,37.1,9.0,978.5,53.0
73,Harvesting,27.3,37.3,8.0,978.0,54.0
74,Harvesting,27.4,37.4,7.0,977.5,55.0
75,Harvesting,27.5,37.5,6.0,977.0,56.0
76,Harvesting,27.6,37.6,5.0,976.5,57.0
77,Harvesting,27.8,37.8,4.0,976.0,58.0
78,Harvesting,27.9,37.9,3.0,975.5,59.0
79,Harvesting,28.0,38.0,2.0,975.0,60.0
80,Harvesting,28.1,38.1,1.0,974.5,61.0
81,Harvesting,28.2,38.2,0.0,974.0,62.0
82,Harvesting,28.3,38.3,0.0,973.5,63.0
83,Harvesting,28.4,38.4,0.0,973.0,64.0
84,Harvesting,28.5,38.5,0.0,972.5,65.0
85,Harvesting,28.6,38.6,0.0,972.0,66.0
86,Harvesting,28.7,38.7,0.0,971.5,67.0
87,Harvesting,28.8,38.8,0.0,971.0,68.0
88,Harvesting,29.0,39.0,0.0,970.5,69.0
89,Harvesting,29.1,39.1,0.0,970.0,70.0
90,Harvesting,29.2,39.2,0.0,969.5,71.0
