Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,10.0,20.0,80.0,1012.0,5.0
2,Germination,10.1,20.1,79.0,1011.5,6.0
3,Germination,10.2,20.2,78.0,1011.0,7.0
4,Germination,10.3,20.3,77.0,1010.5,8.0
5,Germination,10.4,20.4,76.0,1010.0,9.0
6,Germination,10.5,20.5,75.0,1009.5,10.0
7,Germination,10.6,20.6,74.0,1009.0,11.0
8,Germination,10.7,20.7,73.0,1008.5,12.0
9,Germination,10.8,20.8,72.0,1008.0,13.0
10,Germination,11.0,20.9,71.0,1007.5,14.0
11,Seedling,11.1,21.0,70.0,1007.0,15.0
12,Seedling,11.2,21.1,69.0,1006.5,16.0
13,Seedling,11.3,21.2,68.0,1006.0,17.0
14,Seedling,11.4,21.3,67.0,1005.5,18.0
15,Seedling,11.5,21.4,66.0,1005.0,19.0
16,Vegetative,11.6,21.5,65.0,1004.5,20.0
17,Vegetative,11.7,21.6,64.0,1004.0,21.0
18,Vegetative,11.8,21.7,63.0,1003.5,22.0
19,Vegetative,12.0,21.9,62.0,1003.0,23.0
20,Vegetative,12.1,22.0,61.0,1002.5,24.0
21,Vegetative,12.2,22.1,60.0,1002.0,25.0
22,Vegetative,12.4,22.3,59.0,1001.5,26.0
23,Vegetative,12.5,22.4,58.0,1001.0,27.0
24,Vegetative,12.6,22.5,57.0,1000.5,28.0
25,Vegetative,12.7,22.6,56.0,1000.0,29.0
26,Flowering,12.8,22.7,55.0,999.5,30.0
27,Flowering,13.0,22.9,54.0,999.0,31.0
28,Flowering,13.1,23.0,53.0,998.5,32.0
29,Flowering,13.2,23.1,52.0,998.0,33.0
30,Flowering,13.3,23.2,51.0,997.5,34.0
31,Flowering,13.5,23.4,50.0,997.0,35.0
32,Flowering,13.6,23.5,49.0,996.5,36.0
33,Flowering,13.7,23.6,48.0,996.0,37.0
34,Flowering,13.8,23.7,47.0,995.5,38.0
35,Fruiting,14.0,23.9,46.0,995.0,39.0
36,Fruiting,14.1,24.0,45.0,994.5,40.0
37,Fruiting,14.2,24.1,44.0,994.0,41.0
38,Fruiting,14.3,24.2,43.0,993.5,42.0
39,Fruiting,14.5,24.4,42.0,993.0,43.0
40,Fruiting,14.6,24.5,41.0,992.5,44.0
41,Fruiting,14.7,24.6,40.0,992.0,45.0
42,Fruiting,14.8,24.7,39.0,991.5,46.0
43,Fruiting,15.0,24.9,38.0,991.0,47.0
44,Fruiting,15.1,25.0,37.0,990.5,48.0
45,Maturation,15.3,25.2,36.0,990.0,49.0
46,Maturation,15.4,25.3,35.0,989.5,50.0
47,Maturation,15.5,25.4,34.0,989.0,51.0
48,Maturation,15.6,25.5,33.0,988.5,52.0
49,Maturation,15.7,25.6,32.0,988.0,53.0
50,Maturation,15.9,25.8,31.0,987.5,54.0
51,Maturation,16.0,25.9,30.0,987.0,55.0
52,Maturation,16.1,26.0,29.0,986.5,56.0
53,Maturation,16.3,26.2,28.0,986.0,57.0
54,Maturation,16.4,26.3,27.0,985.5,58.0
55,Maturation,16.5,26.4,26.0,985.0,59.0
56,Maturation,16.6,26.5,25.0,984.5,60.0
57,Maturation,16.8,26.7,24.0,984.0,61.0
58,Maturation,16.9,26.8,23.0,983.5,62.0
59,Maturation,17.0,26.9,22.0,983.0,63.0
60,Maturation,17.2,27.1,21.0,982.5,64.0
61,Maturation,17.3,27.2,20.0,982.0,65.0
62,Maturation,17.5,27.4,19.0,981.5,66.0
63,Maturation,17.6,27.5,18.0,981.0,67.0
64,Harvesting,17.7,27.6,17.0,980.5,68.0
65,Harvesting,17.9,27.8,16.0,980.0,69.0
66,Harvesting,18.0,27.9,15.0,979.5,70.0
67,Harvesting,18.1,28.0,14.0,979.0,71.0
68,Harvesting,18.2,28.1,13.0,978.5,72.0
69,Harvesting,18.4,28.3,12.0,978.0,73.0
70,Harvesting,18.5,28.4,11.0,977.5,74.0
71,Harvesting,18.6,28.5,10.0,977.0,75.0
72,Harvesting,18.7,28.6,9.0,976.5,76.0
73,Harvesting,18.9,28.8,8.0,976.0,77.0
74,Harvesting,19.0,28.9,7.0,975.5,78.0
75,Harvesting,19.1,29.0,6.0,975.0,79.0
76,Harvesting,19.2,29.1,5.0,974.5,80.0
77,Harvesting,19.4,29.3,4.0,974.0,81.0
78,Harvesting,19.5,29.4,3.0,973.5,82.0
79,Harvesting,19.6,29.5,2.0,973.0,83.0
80,Harvesting,19.7,29.6,1.0,972.5,84.0
81,Harvesting,19.8,29.7,0.0,972.0,85.0
82,Harvesting,20.0,29.9,0.0,971.5,86.0
83,Harvesting,20.1,30.0,0.0,971.0,87.0
84,Harvesting,20.2,30.1,0.0,970.5,88.0
85,Harvesting,20.3,30.2,0.0,970.0,89.0
86,Harvesting,20.5,30.4,0.0,969.5,90.0
87,Harvesting,20.6,30.5,0.0,969.0,91.0
88,Harvesting,20.7,30.6,0.0,968.5,92.0
89,Harvesting,20.9,30.8,0.0,968.0,93.0
90,Harvesting,21.0,30.9,0.0,967.5,94.0
