Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,22.0,28.0,80.0,1012.0,5.0
2,Germination,22.1,28.1,79.5,1011.5,6.0
3,Germination,22.2,28.2,79.0,1011.0,7.0
4,Germination,22.3,28.3,78.5,1010.5,8.0
5,Germination,22.4,28.4,78.0,1010.0,9.0
6,Germination,22.5,28.5,77.5,1009.5,10.0
7,Germination,22.6,28.6,77.0,1009.0,11.0
8,Germination,22.7,28.7,76.5,1008.5,12.0
9,Germination,22.8,28.8,76.0,1008.0,13.0
10,Germination,22.9,28.9,75.5,1007.5,14.0
11,Seedling,23.0,29.0,75.0,1007.0,15.0
12,Seedling,23.1,29.1,74.5,1006.5,16.0
13,Seedling,23.2,29.2,74.0,1006.0,17.0
14,Seedling,23.3,29.3,73.5,1005.5,18.0
15,Seedling,23.4,29.4,73.0,1005.0,19.0
16,Vegetative,23.5,29.5,72.5,1004.5,20.0
17,Vegetative,23.6,29.6,72.0,1004.0,21.0
18,Vegetative,23.7,29.7,71.5,1003.5,22.0
19,Vegetative,23.8,29.8,71.0,1003.0,23.0
20,Vegetative,23.9,29.9,70.5,1002.5,24.0
21,Vegetative,24.0,30.0,70.0,1002.0,25.0
22,Vegetative,24.1,30.1,69.5,1001.5,26.0
23,Vegetative,24.2,30.2,69.0,1001.0,27.0
24,Vegetative,24.3,30.3,68.5,1000.5,28.0
25,Flowering,24.4,30.4,68.0,1000.0,29.0
26,Flowering,24.5,30.5,67.5,999.5,30.0
27,Flowering,24.6,30.6,67.0,999.0,31.0
28,Flowering,24.7,30.7,66.5,998.5,32.0
29,Flowering,24.8,30.8,66.0,998.0,33.0
30,Flowering,24.9,30.9,65.5,997.5,34.0
31,Flowering,25.0,31.0,65.0,997.0,35.0
32,Flowering,25.1,31.1,64.5,996.5,36.0
33,Flowering,25.2,31.2,64.0,996.0,37.0
34,Flowering,25.3,31.3,63.5,995.5,38.0
35,Fruiting,25.4,31.4,63.0,995.0,39.0
36,Fruiting,25.5,31.5,62.5,994.5,40.0
37,Fruiting,25.6,31.6,62.0,994.0,41.0
38,Fruiting,25.7,31.7,61.5,993.5,42.0
39,Fruiting,25.8,31.8,61.0,993.0,43.0
40,Fruiting,25.9,31.9,60.5,992.5,44.0
41,Fruiting,26.0,32.0,60.0,992.0,45.0
42,Fruiting,26.1,32.1,59.5,991.5,46.0
43,Fruiting,26.2,32.2,59.0,991.0,47.0
