Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,25.0,30.0,80.0,1013.0,10.0
2,Germination,25.1,30.1,80.5,1012.5,15.0
3,Germination,25.2,30.2,81.0,1012.0,12.0
4,Germination,25.3,30.3,81.5,1011.5,8.0
5,Germination,25.4,30.4,82.0,1011.0,5.0
6,Germination,25.5,30.5,82.5,1010.5,7.0
7,Seedling,26.0,31.0,83.0,1010.0,9.0
8,Seedling,26.1,31.1,83.5,1009.5,11.0
9,Seedling,26.2,31.2,84.0,1009.0,14.0
10,Seedling,26.3,31.3,84.5,1008.5,10.0
11,Seedling,26.4,31.4,85.0,1008.0,5.0
12,Young Plant,26.5,31.5,85.5,1007.5,12.0
13,Young Plant,27.0,32.0,86.0,1007.0,9.0
14,Young Plant,27.1,32.1,86.5,1006.5,8.0
15,Young Plant,27.2,32.2,87.0,1006.0,7.0
16,Young Plant,27.3,32.3,87.5,1005.5,10.0
17,Young Plant,27.4,32.4,88.0,1005.0,6.0
18,Young Plant,27.5,32.5,88.5,1004.5,11.0
19,Young Plant,28.0,33.0,89.0,1004.0,9.0
20,Young Plant,28.1,33.1,89.5,1003.5,8.0
21,Young Plant,28.2,33.2,90.0,1003.0,10.0
22,Young Plant,28.3,33.3,90.5,1002.5,7.0
23,Young Plant,28.4,33.4,91.0,1002.0,8.0
24,Young Plant,28.5,33.5,91.5,1001.5,9.0
25,Young Plant,29.0,34.0,92.0,1001.0,10.0
26,Young Plant,29.1,34.1,92.5,1000.5,12.0
27,Young Plant,29.2,34.2,93.0,1000.0,11.0
28,Young Plant,29.3,34.3,93.5,999.5,10.0
29,Young Plant,29.4,34.4,94.0,999.0,9.0
30,Young Plant,29.5,34.5,94.5,998.5,8.0
31,Young Plant,30.0,35.0,95.0,998.0,10.0
32,Young Plant,30.1,35.1,95.5,997.5,12.0
33,Young Plant,30.2,35.2,96.0,997.0,14.0
34,Young Plant,30.3,35.3,96.5,996.5,11.0
35,Young Plant,30.4,35.4,97.0,996.0,10.0
36,Young Plant,30.5,35.5,97.5,995.5,9.0
37,Young Plant,31.0,36.0,98.0,995.0,8.0
38,Young Plant,31.1,36.1,98.5,994.5,10.0
39,Young Plant,31.2,36.2,99.0,994.0,9.0
40,Young Plant,31.3,36.3,99.5,993.5,11.0
41,Young Plant,31.4,36.4,100.0,993.0,12.0
42,Young Plant,31.5,36.5,100.5,992.5,10.0
43,Young Plant,32.0,37.0,101.0,992.0,9.0
44,Young Plant,32.1,37.1,101.5,991.5,8.0
45,Young Plant,32.2,37.2,102.0,991.0,7.0
46,Young Plant,32.3,37.3,102.5,990.5,11.0
47,Young Plant,32.4,37.4,103.0,990.0,12.0
48,Young Plant,32.5,37.5,103.5,989.5,10.0
49,Young Plant,33.0,38.0,104.0,989.0,9.0
50,Young Plant,33.1,38.1,104.5,988.5,8.0
51,Young Plant,33.2,38.2,105.0,988.0,7.0
52,Young Plant,33.3,38.3,105.5,987.5,10.0
53,Young Plant,33.4,38.4,106.0,987.0,11.0
54,Young Plant,33.5,38.5,106.5,986.5,9.0
55,Young Plant,34.0,39.0,107.0,986.0,8.0
56,Young Plant,34.1,39.1,107.5,985.5,10.0
57,Young Plant,34.2,39.2,108.0,985.0,9.0
58,Young Plant,34.3,39.3,108.5,984.5,8.0
59,Young Plant,34.4,39.4,109.0,984.0,10.0
60,Young Plant,34.5,39.5,109.5,983.5,12.0
61,Young Plant,35.0,40.0,110.0,983.0,11.0
62,Young Plant,35.1,40.1,110.5,982.5,9.0
63,Young Plant,35.2,40.2,111.0,982.0,10.0
64,Young Plant,35.3,40.3,111.5,981.5,12.0
65,Young Plant,35.4,40.4,112.0,981.0,11.0
66,Young Plant,35.5,40.5,112.5,980.5,10.0
67,Young Plant,36.0,41.0,113.0,980.0,9.0
68,Young Plant,36.1,41.1,113.5,979.5,8.0
69,Young Plant,36.2,41.2,114.0,979.0,7.0
70,Young Plant,36.3,41.3,114.5,978.5,11.0
71,Young Plant,36.4,41.4,115.0,978.0,12.0
72,Young Plant,36.5,41.5,115.5,977.5,10.0
73,Young Plant,37.0,42.0,116.0,977.0,9.0
74,Young Plant,37.1,42.1,116.5,976.5,8.0
75,Young Plant,37.2,42.2,117.0,976.0,7.0
76,Young Plant,37.3,42.3,117.5,975.5,10.0
77,Young Plant,37.4,42.4,118.0,975.0,11.0
78,Young Plant,37.5,42.5,118.5,974.5,9.0
79,Young Plant,38.0,43.0,119.0,974.0,8.0
80,Young Plant,38.1,43.1,119.5,973.5,10.0
81,Young Plant,38.2,43.2,120.0,973.0,11.0
82,Young Plant,38.3,43.3,120.5,972.5,12.0
83,Young Plant,38.4,43.4,121.0,972.0,10.0
84,Young Plant,38.5,43.5,121.5,971.5,9.0
85,Young Plant,39.0,44.0,122.0,971.0,7.0
86,Young Plant,39.1,44.1,122.5,970.5,8.0
87,Young Plant,39.2,44.2,123.0,970.0,10.0
88,Young Plant,39.3,44.3,123.5,969.5,12.0
89,Young Plant,39.4,44.4,124.0,969.0,11.0
90,Young Plant,39.5,44.5,124.5,968.5,9.0
91,Young Plant,40.0,45.0,125.0,968.0,8.0
92,Young Plant,40.1,45.1,125.5,967.5,7.0
93,Young Plant,40.2,45.2,126.0,967.0,10.0
94,Young Plant,40.3,45.3,126.5,966.5,11.0
95,Young Plant,40.4,45.4,127.0,966.0,9.0
96,Young Plant,40.5,45.5,127.5,965.5,8.0
97,Young Plant,41.0,46.0,128.0,965.0,7.0
98,Young Plant,41.1,46.1,128.5,964.5,10.0
99,Young Plant,41.2,46.2,129.0,964.0,12.0
100,Young Plant,41.3,46.3,129.5,963.5,11.0
101,Young Plant,41.4,46.4,130.0,963.0,9.0
102,Young Plant,41.5,46.5,130.5,962.5,8.0
103,Young Plant,42.0,47.0,131.0,962.0,7.0
104,Young Plant,42.1,47.1,131.5,961.5,10.0
105,Young Plant,42.2,47.2,132.0,961.0,11.0
106,Young Plant,42.3,47.3,132.5,960.5,9.0
107,Young Plant,42.4,47.4,133.0,960.0,8.0
108,Young Plant,42.5,47.5,133.5,959.5,7.0
109,Young Plant,43.0,48.0,134.0,959.0,10.0
110,Young Plant,43.1,48.1,134.5,958.5,11.0
111,Young Plant,43.2,48.2,135.0,958.0,12.0
112,Young Plant,43.3,48.3,135.5,957.5,10.0
113,Young Plant,43.4,48.4,136.0,957.0,9.0
114,Young Plant,43.5,48.5,136.5,956.5,8.0
115,Young Plant,44.0,49.0,137.0,956.0,7.0
116,Young Plant,44.1,49.1,137.5,955.5,10.0
117,Young Plant,44.2,49.2,138.0,955.0,11.0
118,Young Plant,44.3,49.3,138.5,954.5,9.0
119,Young Plant,44.4,49.4,139.0,954.0,8.0
120,Young Plant,44.5,49.5,139.5,953.5,10.0
121,Young Plant,45.0,50.0,140.0,953.0,11.0
122,Young Plant,45.1,50.1,140.5,952.5,12.0
123,Young Plant,45.2,50.2,141.0,952.0,10.0
124,Young Plant,45.3,50.3,141.5,951.5,9.0
125,Young Plant,45.4,50.4,142.0,951.0,8.0
126,Young Plant,45.5,50.5,142.5,950.5,10.0
127,Young Plant,46.0,51.0,143.0,950.0,11.0
128,Young Plant,46.1,51.1,143.5,949.5,12.0
129,Young Plant,46.2,51.2,144.0,949.0,10.0
130,Young Plant,46.3,51.3,144.5,948.5,9.0
131,Young Plant,46.4,51.4,145.0,948.0,8.0
132,Young Plant,46.5,51.5,145.5,947.5,7.0
133,Young Plant,47.0,52.0,146.0,947.0,10.0
134,Young Plant,47.1,52.1,146.5,946.5,11.0
135,Young Plant,47.2,52.2,147.0,946.0,9.0
136,Young Plant,47.3,52.3,147.5,945.5,8.0
137,Young Plant,47.4,52.4,148.0,945.0,10.0
138,Young Plant,47.5,52.5,148.5,944.5,12.0
139,Young Plant,48.0,53.0,149.0,944.0,11.0
140,Young Plant,48.1,53.1,149.5,943.5,10.0
141,Young Plant,48.2,53.2,150.0,943.0,9.0
