Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,20.0,30.0,70.0,1013.0,5.0
2,Seedling,20.1,30.1,71.0,1012.5,6.0
3,Seedling,20.2,30.2,72.0,1012.0,4.0
4,Seedling,20.3,30.3,73.0,1011.5,5.0
5,Seedling,20.4,30.4,74.0,1011.0,3.0
6,Seedling,20.5,30.5,75.0,1010.5,7.0
7,Seedling,20.6,30.6,76.0,1010.0,4.0
8,Seedling,20.7,30.7,77.0,1009.5,5.0
9,Seedling,20.8,30.8,78.0,1009.0,6.0
10,Seedling,20.9,30.9,79.0,1008.5,2.0
11,Vegetative,21.0,31.0,70.0,1008.0,3.0
12,Vegetative,21.1,31.1,71.0,1007.5,4.0
13,Vegetative,21.2,31.2,72.0,1007.0,5.0
14,Vegetative,21.3,31.3,73.0,1006.5,6.0
15,Vegetative,21.4,31.4,74.0,1006.0,2.0
16,Vegetative,21.5,31.5,75.0,1005.5,4.0
17,Vegetative,21.6,31.6,76.0,1005.0,5.0
18,Vegetative,21.7,31.7,77.0,1004.5,3.0
19,Vegetative,21.8,31.8,78.0,1004.0,4.0
20,Vegetative,21.9,31.9,79.0,1003.5,2.0
21,Flowering,22.0,32.0,70.0,1003.0,1.0
22,Flowering,22.1,32.1,71.0,1002.5,5.0
23,Flowering,22.2,32.2,72.0,1002.0,4.0
24,Flowering,22.3,32.3,73.0,1001.5,3.0
25,Flowering,22.4,32.4,74.0,1001.0,2.0
26,Flowering,22.5,32.5,75.0,1000.5,6.0
27,Flowering,22.6,32.6,76.0,1000.0,5.0
28,Flowering,22.7,32.7,77.0,999.5,4.0
29,Flowering,22.8,32.8,78.0,999.0,3.0
30,Flowering,22.9,32.9,79.0,998.5,2.0
31,Fruiting,23.0,33.0,70.0,998.0,4.0
32,Fruiting,23.1,33.1,71.0,997.5,5.0
33,Fruiting,23.2,33.2,72.0,997.0,6.0
34,Fruiting,23.3,33.3,73.0,996.5,4.0
35,Fruiting,23.4,33.4,74.0,996.0,3.0
36,Fruiting,23.5,33.5,75.0,995.5,7.0
37,Fruiting,23.6,33.6,76.0,995.0,5.0
38,Fruiting,23.7,33.7,77.0,994.5,4.0
39,Fruiting,23.8,33.8,78.0,994.0,6.0
40,Fruiting,23.9,33.9,79.0,993.5,3.0
41,Mature,24.0,34.0,70.0,993.0,2.0
42,Mature,24.1,34.1,71.0,992.5,4.0
43,Mature,24.2,34.2,72.0,992.0,5.0
44,Mature,24.3,34.3,73.0,991.5,4.0
45,Mature,24.4,34.4,74.0,991.0,3.0
46,Mature,24.5,34.5,75.0,990.5,6.0
47,Mature,24.6,34.6,76.0,990.0,5.0
48,Mature,24.7,34.7,77.0,989.5,4.0
49,Mature,24.8,34.8,78.0,989.0,3.0
50,Mature,24.9,34.9,79.0,988.5,2.0
51,Harvest,25.0,35.0,70.0,988.0,4.0
52,Harvest,25.1,35.1,71.0,987.5,5.0
53,Harvest,25.2,35.2,72.0,987.0,6.0
54,Harvest,25.3,35.3,73.0,986.5,4.0
55,Harvest,25.4,35.4,74.0,986.0,3.0
56,Harvest,25.5,35.5,75.0,985.5,5.0
57,Harvest,25.6,35.6,76.0,985.0,6.0
58,Harvest,25.7,35.7,77.0,984.5,4.0
59,Harvest,25.8,35.8,78.0,984.0,3.0
60,Harvest,25.9,35.9,79.0,983.5,2.0
