Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,10.0,20.0,65.0,1013.0,4.0
2,Seedling,10.1,20.1,66.0,1012.5,5.0
3,Seedling,10.2,20.2,67.0,1012.0,3.0
4,Seedling,10.3,20.3,68.0,1011.5,4.0
5,Seedling,10.4,20.4,69.0,1011.0,2.0
6,Seedling,10.5,20.5,70.0,1010.5,3.0
7,Seedling,10.6,20.6,71.0,1010.0,4.0
8,Seedling,10.7,20.7,72.0,1009.5,5.0
9,Seedling,10.8,20.8,73.0,1009.0,3.0
10,Seedling,10.9,20.9,74.0,1008.5,2.0
11,Vegetative,11.0,21.0,65.0,1008.0,1.0
12,Vegetative,11.1,21.1,66.0,1007.5,4.0
13,Vegetative,11.2,21.2,67.0,1007.0,5.0
14,Vegetative,11.3,21.3,68.0,1006.5,3.0
15,Vegetative,11.4,21.4,69.0,1006.0,4.0
16,Vegetative,11.5,21.5,70.0,1005.5,2.0
17,Vegetative,11.6,21.6,71.0,1005.0,3.0
18,Vegetative,11.7,21.7,72.0,1004.5,4.0
19,Vegetative,11.8,21.8,73.0,1004.0,5.0
20,Vegetative,11.9,21.9,74.0,1003.5,2.0
21,Vegetative,12.0,22.0,65.0,1003.0,3.0
22,Vegetative,12.1,22.1,66.0,1002.5,4.0
23,Vegetative,12.2,22.2,67.0,1002.0,5.0
24,Vegetative,12.3,22.3,68.0,1001.5,3.0
25,Vegetative,12.4,22.4,69.0,1001.0,2.0
26,Vegetative,12.5,22.5,70.0,1000.5,4.0
27,Vegetative,12.6,22.6,71.0,1000.0,5.0
28,Vegetative,12.7,22.7,72.0,999.5,4.0
29,Vegetative,12.8,22.8,73.0,999.0,3.0
30,Vegetative,12.9,22.9,74.0,998.5,2.0
31,Flowering,13.0,23.0,65.0,998.0,1.0
32,Flowering,13.1,23.1,66.0,997.5,4.0
33,Flowering,13.2,23.2,67.0,997.0,5.0
34,Flowering,13.3,23.3,68.0,996.5,3.0
35,Flowering,13.4,23.4,69.0,996.0,4.0
36,Flowering,13.5,23.5,70.0,995.5,2.0
37,Flowering,13.6,23.6,71.0,995.0,3.0
38,Flowering,13.7,23.7,72.0,994.5,4.0
39,Flowering,13.8,23.8,73.0,994.0,5.0
40,Flowering,13.9,23.9,74.0,993.5,2.0
41,Fruiting,14.0,24.0,65.0,993.0,1.0
42,Fruiting,14.1,24.1,66.0,992.5,4.0
43,Fruiting,14.2,24.2,67.0,992.0,5.0
44,Fruiting,14.3,24.3,68.0,991.5,3.0
45,Fruiting,14.4,24.4,69.0,991.0,2.0
46,Fruiting,14.5,24.5,70.0,990.5,4.0
47,Fruiting,14.6,24.6,71.0,990.0,5.0
48,Fruiting,14.7,24.7,72.0,989.5,4.0
49,Fruiting,14.8,24.8,73.0,989.0,3.0
50,Fruiting,14.9,24.9,74.0,988.5,2.0
51,Mature,15.0,25.0,65.0,988.0,4.0
52,Mature,15.1,25.1,66.0,987.5,5.0
53,Mature,15.2,25.2,67.0,987.0,6.0
54,Mature,15.3,25.3,68.0,986.5,4.0
55,Mature,15.4,25.4,69.0,986.0,3.0
56,Mature,15.5,25.5,70.0,985.5,7.0
57,Mature,15.6,25.6,71.0,985.0,5.0
58,Mature,15.7,25.7,72.0,984.5,4.0
59,Mature,15.8,25.8,73.0,984.0,3.0
60,Mature,15.9,25.9,74.0,983.5,2.0
61,Mature,16.0,26.0,75.0,983.0,1.0
62,Mature,16.1,26.1,76.0,982.5,4.0
63,Mature,16.2,26.2,77.0,982.0,5.0
64,Mature,16.3,26.3,78.0,981.5,4.0
65,Mature,16.4,26.4,79.0,981.0,3.0
66,Mature,16.5,26.5,80.0,980.5,6.0
67,Mature,16.6,26.6,81.0,980.0,5.0
68,Mature,16.7,26.7,82.0,979.5,4.0
69,Mature,16.8,26.8,83.0,979.0,3.0
70,Mature,16.9,26.9,84.0,978.5,2.0
71,Mature,17.0,27.0,85.0,978.0,1.0
72,Mature,17.1,27.1,86.0,977.5,4.0
73,Mature,17.2,27.2,87.0,977.0,5.0
74,Mature,17.3,27.3,88.0,976.5,3.0
75,Mature,17.4,27.4,89.0,976.0,2.0
76,Mature,17.5,27.5,90.0,975.5,4.0
77,Mature,17.6,27.6,91.0,975.0,5.0
78,Mature,17.7,27.7,92.0,974.5,4.0
79,Mature,17.8,27.8,93.0,974.0,3.0
80,Mature,17.9,27.9,94.0,973.5,2.0
81,Harvest,18.0,28.0,65.0,973.0,1.0
82,Harvest,18.1,28.1,66.0,972.5,4.0
83,Harvest,18.2,28.2,67.0,972.0,5.0
84,Harvest,18.3,28.3,68.0,971.5,3.0
85,Harvest,18.4,28.4,69.0,971.0,2.0
86,Harvest,18.5,28.5,70.0,970.5,4.0
87,Harvest,18.6,28.6,71.0,970.0,5.0
88,Harvest,18.7,28.7,72.0,969.5,4.0
89,Harvest,18.8,28.8,73.0,969.0,3.0
90,Harvest,18.9,28.9,74.0,968.5,2.0
91,Harvest,19.0,29.0,65.0,968.0,1.0
92,Harvest,19.1,29.1,66.0,967.5,4.0
93,Harvest,19.2,29.2,67.0,967.0,5.0
94,Harvest,19.3,29.3,68.0,966.5,3.0
95,Harvest,19.4,29.4,69.0,966.0,2.0
96,Harvest,19.5,29.5,70.0,965.5,4.0
97,Harvest,19.6,29.6,71.0,965.0,5.0
98,Harvest,19.7,29.7,72.0,964.5,4.0
99,Harvest,19.8,29.8,73.0,964.0,3.0
100,Harvest,19.9,29.9,74.0,963.5,2.0
101,Harvest,20.0,30.0,65.0,963.0,1.0
102,Harvest,20.1,30.1,66.0,962.5,4.0
103,Harvest,20.2,30.2,67.0,962.0,5.0
104,Harvest,20.3,30.3,68.0,961.5,3.0
105,Harvest,20.4,30.4,69.0,961.0,2.0
106,Harvest,20.5,30.5,70.0,960.5,4.0
107,Harvest,20.6,30.6,71.0,960.0,5.0
108,Harvest,20.7,30.7,72.0,959.5,4.0
109,Harvest,20.8,30.8,73.0,959.0,3.0
110,Harvest,20.9,30.9,74.0,958.5,2.0
111,Harvest,21.0,31.0,65.0,958.0,1.0
112,Harvest,21.1,31.1,66.0,957.5,4.0
113,Harvest,21.2,31.2,67.0,957.0,5.0
114,Harvest,21.3,31.3,68.0,956.5,3.0
115,Harvest,21.4,31.4,69.0,956.0,2.0
116,Harvest,21.5,31.5,70.0,955.5,4.0
117,Harvest,21.6,31.6,71.0,955.0,5.0
118,Harvest,21.7,31.7,72.0,954.5,4.0
119,Harvest,21.8,31.8,73.0,954.0,3.0
120,Harvest,21.9,31.9,74.0,953.5,2.0
