Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,15.0,30.0,80.0,1015.0,5.0
2,Seedling,15.1,30.1,81.0,1014.5,6.0
3,Seedling,15.2,30.2,82.0,1014.0,4.5
4,Seedling,15.3,30.3,83.0,1013.5,5.5
5,Seedling,15.4,30.4,84.0,1013.0,4.0
6,Seedling,15.5,30.5,85.0,1012.5,3.5
7,Seedling,15.6,30.6,86.0,1012.0,5.0
8,Seedling,15.7,30.7,87.0,1011.5,4.0
9,Seedling,15.8,30.8,88.0,1011.0,6.0
10,Seedling,15.9,30.9,89.0,1010.5,5.5
11,Vegetative,16.0,31.0,80.0,1010.0,4.0
12,Vegetative,16.1,31.1,81.0,1009.5,6.5
13,Vegetative,16.2,31.2,82.0,1009.0,5.0
14,Vegetative,16.3,31.3,83.0,1008.5,4.0
15,Vegetative,16.4,31.4,84.0,1008.0,6.0
16,Vegetative,16.5,31.5,85.0,1007.5,5.5
17,Vegetative,16.6,31.6,86.0,1007.0,4.0
18,Vegetative,16.7,31.7,87.0,1006.5,6.0
19,Vegetative,16.8,31.8,88.0,1006.0,5.5
20,Vegetative,16.9,31.9,89.0,1005.5,4.0
21,Tillering,17.0,32.0,80.0,1005.0,3.5
22,Tillering,17.1,32.1,81.0,1004.5,5.5
23,Tillering,17.2,32.2,82.0,1004.0,4.5
24,Tillering,17.3,32.3,83.0,1003.5,6.0
25,Tillering,17.4,32.4,84.0,1003.0,5.0
26,Tillering,17.5,32.5,85.0,1002.5,4.0
27,Tillering,17.6,32.6,86.0,1002.0,6.5
28,Tillering,17.7,32.7,87.0,1001.5,5.5
29,Tillering,17.8,32.8,88.0,1001.0,4.0
30,Tillering,17.9,32.9,89.0,1000.5,6.0
31,Flowering,18.0,33.0,80.0,1000.0,5.0
32,Flowering,18.1,33.1,81.0,999.5,4.0
33,Flowering,18.2,33.2,82.0,999.0,6.0
34,Flowering,18.3,33.3,83.0,998.5,5.5
35,Flowering,18.4,33.4,84.0,998.0,4.5
36,Flowering,18.5,33.5,85.0,997.5,6.0
37,Flowering,18.6,33.6,86.0,997.0,5.0
38,Flowering,18.7,33.7,87.0,996.5,4.0
39,Flowering,18.8,33.8,88.0,996.0,6.5
40,Flowering,18.9,33.9,89.0,995.5,5.5
41,Fruiting,19.0,34.0,80.0,995.0,4.0
42,Fruiting,19.1,34.1,81.0,994.5,6.0
43,Fruiting,19.2,34.2,82.0,994.0,5.0
44,Fruiting,19.3,34.3,83.0,993.5,4.5
45,Fruiting,19.4,34.4,84.0,993.0,6.5
46,Fruiting,19.5,34.5,85.0,992.5,5.0
47,Fruiting,19.6,34.6,86.0,992.0,4.0
48,Fruiting,19.7,34.7,87.0,991.5,6.0
49,Fruiting,19.8,34.8,88.0,991.0,5.5
50,Fruiting,19.9,34.9,89.0,990.5,4.0
51,Mature,20.0,35.0,80.0,990.0,3.5
52,Mature,20.1,35.1,81.0,989.5,5.5
53,Mature,20.2,35.2,82.0,989.0,4.0
54,Mature,20.3,35.3,83.0,988.5,6.0
55,Mature,20.4,35.4,84.0,988.0,5.0
56,Mature,20.5,35.5,85.0,987.5,4.5
57,Mature,20.6,35.6,86.0,987.0,6.0
58,Mature,20.7,35.7,87.0,986.5,5.5
59,Mature,20.8,35.8,88.0,986.0,4.0
60,Mature,20.9,35.9,89.0,985.5,6.0
61,Mature,21.0,36.0,80.0,985.0,5.0
62,Mature,21.1,36.1,81.0,984.5,4.0
63,Mature,21.2,36.2,82.0,984.0,6.0
64,Mature,21.3,36.3,83.0,983.5,5.5
65,Mature,21.4,36.4,84.0,983.0,4.0
66,Mature,21.5,36.5,85.0,982.5,6.5
67,Mature,21.6,36.6,86.0,982.0,5.0
68,Mature,21.7,36.7,87.0,981.5,4.0
69,Mature,21.8,36.8,88.0,981.0,6.0
70,Mature,21.9,36.9,89.0,980.5,5.5
71,Mature,22.0,37.0,80.0,980.0,4.5
72,Mature,22.1,37.1,81.0,979.5,5.0
73,Mature,22.2,37.2,82.0,979.0,6.0
74,Mature,22.3,37.3,83.0,978.5,5.5
75,Mature,22.4,37.4,84.0,978.0,4.0
76,Mature,22.5,37.5,85.0,977.5,6.5
77,Mature,22.6,37.6,86.0,977.0,5.0
78,Mature,22.7,37.7,87.0,976.5,4.0
79,Mature,22.8,37.8,88.0,976.0,6.0
80,Mature,22.9,37.9,89.0,975.5,5.5
81,Mature,23.0,38.0,80.0,975.0,4.0
82,Mature,23.1,38.1,81.0,974.5,5.0
83,Mature,23.2,38.2,82.0,974.0,6.0
84,Mature,23.3,38.3,83.0,973.5,5.5
85,Mature,23.4,38.4,84.0,973.0,4.0
86,Mature,23.5,38.5,85.0,972.5,6.5
87,Mature,23.6,38.6,86.0,972.0,5.0
