Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,20.0,30.0,80.0,1015.0,5.0
2,Seedling,20.1,30.1,81.0,1014.5,6.0
3,Seedling,20.2,30.2,82.0,1014.0,4.5
4,Seedling,20.3,30.3,83.0,1013.5,5.5
5,Seedling,20.4,30.4,84.0,1013.0,4.0
6,Seedling,20.5,30.5,85.0,1012.5,3.5
7,Seedling,20.6,30.6,86.0,1012.0,5.0
8,Seedling,20.7,30.7,87.0,1011.5,4.0
9,Seedling,20.8,30.8,88.0,1011.0,6.0
10,Seedling,20.9,30.9,89.0,1010.5,5.5
11,Vegetative,21.0,31.0,80.0,1010.0,4.0
12,Vegetative,21.1,31.1,81.0,1009.5,6.5
13,Vegetative,21.2,31.2,82.0,1009.0,5.0
14,Vegetative,21.3,31.3,83.0,1008.5,4.0
15,Vegetative,21.4,31.4,84.0,1008.0,6.0
16,Vegetative,21.5,31.5,85.0,1007.5,5.5
17,Vegetative,21.6,31.6,86.0,1007.0,4.0
18,Vegetative,21.7,31.7,87.0,1006.5,6.0
19,Vegetative,21.8,31.8,88.0,1006.0,5.5
20,Vegetative,21.9,31.9,89.0,1005.5,4.0
21,Tapping,22.0,32.0,80.0,1005.0,3.5
22,Tapping,22.1,32.1,81.0,1004.5,5.5
23,Tapping,22.2,32.2,82.0,1004.0,4.5
24,Tapping,22.3,32.3,83.0,1003.5,6.0
25,Tapping,22.4,32.4,84.0,1003.0,5.0
26,Tapping,22.5,32.5,85.0,1002.5,4.0
27,Tapping,22.6,32.6,86.0,1002.0,6.5
28,Tapping,22.7,32.7,87.0,1001.5,5.5
29,Tapping,22.8,32.8,88.0,1001.0,4.0
30,Tapping,22.9,32.9,89.0,1000.5,6.0
31,Tapping,23.0,33.0,80.0,1000.0,5.0
32,Tapping,23.1,33.1,81.0,999.5,4.0
33,Tapping,23.2,33.2,82.0,999.0,6.0
34,Tapping,23.3,33.3,83.0,998.5,5.5
35,Tapping,23.4,33.4,84.0,998.0,4.0
36,Tapping,23.5,33.5,85.0,997.5,6.0
37,Tapping,23.6,33.6,86.0,997.0,5.0
38,Tapping,23.7,33.7,87.0,996.5,4.0
39,Tapping,23.8,33.8,88.0,996.0,6.5
40,Tapping,23.9,33.9,89.0,995.5,5.5
41,Tapping,24.0,34.0,80.0,995.0,4.0
42,Tapping,24.1,34.1,81.0,994.5,6.0
43,Tapping,24.2,34.2,82.0,994.0,5.0
44,Tapping,24.3,34.3,83.0,993.5,4.5
45,Tapping,24.4,34.4,84.0,993.0,6.0
46,Tapping,24.5,34.5,85.0,992.5,5.0
47,Tapping,24.6,34.6,86.0,992.0,4.0
48,Tapping,24.7,34.7,87.0,991.5,6.0
49,Tapping,24.8,34.8,88.0,991.0,5.5
50,Tapping,24.9,34.9,89.0,990.5,4.0
51,Tapping,25.0,35.0,80.0,990.0,3.5
52,Tapping,25.1,35.1,81.0,989.5,5.5
53,Tapping,25.2,35.2,82.0,989.0,4.0
54,Tapping,25.3,35.3,83.0,988.5,6.0
55,Tapping,25.4,35.4,84.0,988.0,5.0
56,Tapping,25.5,35.5,85.0,987.5,4.5
57,Tapping,25.6,35.6,86.0,987.0,6.0
58,Tapping,25.7,35.7,87.0,986.5,5.5
59,Tapping,25.8,35.8,88.0,986.0,4.0
60,Tapping,25.9,35.9,89.0,985.5,6.0
61,Expansion,26.0,36.0,80.0,985.0,5.0
62,Expansion,26.1,36.1,81.0,984.5,4.0
