Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,5.0,10.0,60.0,1015.0,1.0
2,Seedling,5.1,10.1,61.0,1014.5,0.5
3,Seedling,5.2,10.2,62.0,1014.0,0.0
4,Seedling,5.3,10.3,63.0,1013.5,0.0
5,Seedling,5.4,10.4,64.0,1013.0,0.2
6,Seedling,5.5,10.5,65.0,1012.5,0.0
7,Seedling,5.6,10.6,66.0,1012.0,0.0
8,Seedling,5.7,10.7,67.0,1011.5,0.5
9,Seedling,5.8,10.8,68.0,1011.0,0.0
10,Seedling,5.9,10.9,69.0,1010.5,0.0
11,Seedling,6.0,11.0,70.0,1010.0,0.1
12,Seedling,6.1,11.1,71.0,1009.5,0.0
13,Seedling,6.2,11.2,72.0,1009.0,0.0
14,Seedling,6.3,11.3,73.0,1008.5,0.2
15,Seedling,6.4,11.4,74.0,1008.0,0.0
16,Seedling,6.5,11.5,75.0,1007.5,0.1
17,Seedling,6.6,11.6,76.0,1007.0,0.0
18,Seedling,6.7,11.7,77.0,1006.5,0.0
19,Seedling,6.8,11.8,78.0,1006.0,0.5
20,Seedling,6.9,11.9,79.0,1005.5,0.0
21,Vegetative,7.0,12.0,60.0,1005.0,0.0
22,Vegetative,7.1,12.1,61.0,1004.5,0.1
23,Vegetative,7.2,12.2,62.0,1004.0,0.0
24,Vegetative,7.3,12.3,63.0,1003.5,0.0
25,Vegetative,7.4,12.4,64.0,1003.0,0.2
26,Vegetative,7.5,12.5,65.0,1002.5,0.0
27,Vegetative,7.6,12.6,66.0,1002.0,0.1
28,Vegetative,7.7,12.7,67.0,1001.5,0.0
29,Vegetative,7.8,12.8,68.0,1001.0,0.0
30,Vegetative,7.9,12.9,69.0,1000.5,0.1
31,Vegetative,8.0,13.0,70.0,1000.0,0.0
32,Vegetative,8.1,13.1,71.0,999.5,0.0
33,Vegetative,8.2,13.2,72.0,999.0,0.2
34,Vegetative,8.3,13.3,73.0,998.5,0.0
35,Vegetative,8.4,13.4,74.0,998.0,0.1
36,Vegetative,8.5,13.5,75.0,997.5,0.0
37,Vegetative,8.6,13.6,76.0,997.0,0.0
38,Vegetative,8.7,13.7,77.0,996.5,0.1
39,Vegetative,8.8,13.8,78.0,996.0,0.0
40,Vegetative,8.9,13.9,79.0,995.5,0.0
41,Tillering,9.0,14.0,60.0,995.0,0.0
42,Tillering,9.1,14.1,61.0,994.5,0.1
43,Tillering,9.2,14.2,62.0,994.0,0.0
44,Tillering,9.3,14.3,63.0,993.5,0.0
45,Tillering,9.4,14.4,64.0,993.0,0.2
46,Tillering,9.5,14.5,65.0,992.5,0.0
47,Tillering,9.6,14.6,66.0,992.0,0.1
48,Tillering,9.7,14.7,67.0,991.5,0.0
49,Tillering,9.8,14.8,68.0,991.0,0.0
50,Tillering,9.9,14.9,69.0,990.5,0.1
51,Tillering,10.0,15.0,70.0,990.0,0.0
52,Tillering,10.1,15.1,71.0,989.5,0.0
53,Tillering,10.2,15.2,72.0,989.0,0.2
54,Tillering,10.3,15.3,73.0,988.5,0.0
55,Tillering,10.4,15.4,74.0,988.0,0.1
56,Tillering,10.5,15.5,75.0,987.5,0.0
57,Tillering,10.6,15.6,76.0,987.0,0.0
58,Tillering,10.7,15.7,77.0,986.5,0.1
59,Tillering,10.8,15.8,78.0,986.0,0.0
60,Tillering,10.9,15.9,79.0,985.5,0.0
61,Heading,11.0,16.0,60.0,985.0,0.0
62,Heading,11.1,16.1,61.0,984.5,0.1
63,Heading,11.2,16.2,62.0,984.0,0.0
64,Heading,11.3,16.3,63.0,983.5,0.0
65,Heading,11.4,16.4,64.0,983.0,0.2
66,Heading,11.5,16.5,65.0,982.5,0.0
67,Heading,11.6,16.6,66.0,982.0,0.1
68,Heading,11.7,16.7,67.0,981.5,0.0
69,Heading,11.8,16.8,68.0,981.0,0.0
70,Heading,11.9,16.9,69.0,980.5,0.1
71,Heading,12.0,17.0,70.0,980.0,0.0
72,Heading,12.1,17.1,71.0,979.5,0.0
73,Heading,12.2,17.2,72.0,979.0,0.2
74,Heading,12.3,17.3,73.0,978.5,0.0
75,Heading,12.4,17.4,74.0,978.0,0.1
76,Heading,12.5,17.5,75.0,977.5,0.0
77,Heading,12.6,17.6,76.0,977.0,0.0
78,Heading,12.7,17.7,77.0,976.5,0.1
79,Heading,12.8,17.8,78.0,976.0,0.0
80,Flowering,12.9,17.9,70.0,975.5,0.0
81,Flowering,13.0,18.0,71.0,975.0,0.1
82,Flowering,13.1,18.1,72.0,974.5,0.0
83,Flowering,13.2,18.2,73.0,974.0,0.0
84,Flowering,13.3,18.3,74.0,973.5,0.2
85,Flowering,13.4,18.4,75.0,973.0,0.0
86,Flowering,13.5,18.5,76.0,972.5,0.1
87,Flowering,13.6,18.6,77.0,972.0,0.0
88,Flowering,13.7,18.7,78.0,971.5,0.0
89,Flowering,13.8,18.8,79.0,971.0,0.1
90,Flowering,13.9,18.9,80.0,970.5,0.0
91,Flowering,14.0,19.0,81.0,970.0,0.0
92,Flowering,14.1,19.1,82.0,969.5,0.2
93,Flowering,14.2,19.2,83.0,969.0,0.0
94,Flowering,14.3,19.3,84.0,968.5,0.1
95,Flowering,14.4,19.4,85.0,968.0,0.0
96,Flowering,14.5,19.5,86.0,967.5,0.0
97,Flowering,14.6,19.6,87.0,967.0,0.1
98,Flowering,14.7,19.7,88.0,966.5,0.0
99,Flowering,14.8,19.8,89.0,966.0,0.0
100,Flowering,14.9,19.9,90.0,965.5,0.1
101,Grain Filling,15.0,20.0,70.0,965.0,0.0
102,Grain Filling,15.1,20.1,71.0,964.5,0.1
103,Grain Filling,15.2,20.2,72.0,964.0,0.0
104,Grain Filling,15.3,20.3,73.0,963.5,0.0
105,Grain Filling,15.4,20.4,74.0,963.0,0.2
106,Grain Filling,15.5,20.5,75.0,962.5,0.0
107,Grain Filling,15.6,20.6,76.0,962.0,0.1
108,Grain Filling,15.7,20.7,77.0,961.5,0.0
109,Grain Filling,15.8,20.8,78.0,961.0,0.0
110,Grain Filling,15.9,20.9,79.0,960.5,0.1
111,Grain Filling,16.0,21.0,80.0,960.0,0.0
112,Grain Filling,16.1,21.1,81.0,959.5,0.0
113,Grain Filling,16.2,21.2,82.0,959.0,0.2
114,Grain Filling,16.3,21.3,83.0,958.5,0.0
115,Grain Filling,16.4,21.4,84.0,958.0,0.1
116,Grain Filling,16.5,21.5,85.0,957.5,0.0
117,Grain Filling,16.6,21.6,86.0,957.0,0.0
118,Grain Filling,16.7,21.7,87.0,956.5,0.1
119,Grain Filling,16.8,21.8,88.0,956.0,0.0
120,Mature,16.9,21.9,89.0,955.5,0.0
