Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Planting,10.0,15.0,60.0,1015.0,5.0
2,Planting,10.5,15.5,61.0,1014.5,4.5
3,Planting,11.0,16.0,62.0,1014.0,3.0
4,Planting,11.5,16.5,63.0,1013.5,2.0
5,Planting,12.0,17.0,64.0,1013.0,0.5
6,Planting,12.5,17.5,65.0,1012.5,0.0
7,Planting,13.0,18.0,66.0,1012.0,0.0
8,Planting,13.5,18.5,67.0,1011.5,0.0
9,Planting,14.0,19.0,68.0,1011.0,0.0
10,Planting,14.5,19.5,69.0,1010.5,0.0
11,Growth,15.0,20.0,60.0,1010.0,0.0
12,Growth,15.5,20.5,61.0,1009.5,0.1
13,Growth,16.0,21.0,62.0,1009.0,0.0
14,Growth,16.5,21.5,63.0,1008.5,0.0
15,Growth,17.0,22.0,64.0,1008.0,0.2
16,Growth,17.5,22.5,65.0,1007.5,0.0
17,Growth,18.0,23.0,66.0,1007.0,0.1
18,Growth,18.5,23.5,67.0,1006.5,0.0
19,Growth,19.0,24.0,68.0,1006.0,0.0
20,Growth,19.5,24.5,69.0,1005.5,0.0
21,Growth,20.0,25.0,70.0,1005.0,0.0
22,Growth,20.5,25.5,71.0,1004.5,0.1
23,Growth,21.0,26.0,72.0,1004.0,0.0
24,Growth,21.5,26.5,73.0,1003.5,0.0
25,Growth,22.0,27.0,74.0,1003.0,0.1
26,Growth,22.5,27.5,75.0,1002.5,0.0
27,Growth,23.0,28.0,76.0,1002.0,0.0
28,Growth,23.5,28.5,77.0,1001.5,0.0
29,Growth,24.0,29.0,78.0,1001.0,0.0
30,Growth,24.5,29.5,79.0,1000.5,0.0
31,Growth,25.0,30.0,60.0,1000.0,0.0
32,Growth,25.5,30.5,61.0,999.5,0.1
33,Growth,26.0,31.0,62.0,999.0,0.0
34,Growth,26.5,31.5,63.0,998.5,0.0
35,Growth,27.0,32.0,64.0,998.0,0.2
36,Growth,27.5,32.5,65.0,997.5,0.0
37,Growth,28.0,33.0,66.0,997.0,0.1
38,Growth,28.5,33.5,67.0,996.5,0.0
39,Growth,29.0,34.0,68.0,996.0,0.0
40,Growth,29.5,34.5,69.0,995.5,0.0
41,Growth,30.0,35.0,70.0,995.0,0.0
42,Growth,30.5,35.5,71.0,994.5,0.1
43,Growth,31.0,36.0,72.0,994.0,0.0
44,Growth,31.5,36.5,73.0,993.5,0.0
45,Growth,32.0,37.0,74.0,993.0,0.1
46,Growth,32.5,37.5,75.0,992.5,0.0
47,Growth,33.0,38.0,76.0,992.0,0.0
48,Growth,33.5,38.5,77.0,991.5,0.0
49,Growth,34.0,39.0,78.0,991.0,0.0
50,Growth,34.5,39.5,79.0,990.5,0.0
51,Growth,35.0,40.0,60.0,990.0,0.0
52,Growth,35.5,40.5,61.0,989.5,0.1
53,Growth,36.0,41.0,62.0,989.0,0.0
54,Growth,36.5,41.5,63.0,988.5,0.0
55,Growth,37.0,42.0,64.0,988.0,0.2
56,Growth,37.5,42.5,65.0,987.5,0.0
57,Growth,38.0,43.0,66.0,987.0,0.1
58,Growth,38.5,43.5,67.0,986.5,0.0
59,Growth,39.0,44.0,68.0,986.0,0.0
60,Growth,39.5,44.5,69.0,985.5,0.0
61,Growth,40.0,45.0,70.0,985.0,0.0
62,Growth,40.5,45.5,71.0,984.5,0.1
63,Growth,41.0,46.0,72.0,984.0,0.0
64,Growth,41.5,46.5,73.0,983.5,0.0
65,Growth,42.0,47.0,74.0,983.0,0.1
66,Growth,42.5,47.5,75.0,982.5,0.0
67,Growth,43.0,48.0,76.0,982.0,0.0
68,Growth,43.5,48.5,77.0,981.5,0.0
69,Growth,44.0,49.0,78.0,981.0,0.0
70,Growth,44.5,49.5,79.0,980.5,0.0
71,Flowering,45.0,50.0,60.0,980.0,0.0
72,Flowering,45.5,50.5,61.0,979.5,0.1
73,Flowering,46.0,51.0,62.0,979.0,0.0
74,Flowering,46.5,51.5,63.0,978.5,0.0
75,Flowering,47.0,52.0,64.0,978.0,0.2
76,Flowering,47.5,52.5,65.0,977.5,0.0
77,Flowering,48.0,53.0,66.0,977.0,0.1
78,Flowering,48.5,53.5,67.0,976.5,0.0
79,Flowering,49.0,54.0,68.0,976.0,0.0
80,Flowering,49.5,54.5,69.0,975.5,0.1
81,Flowering,50.0,55.0,70.0,975.0,0.0
82,Flowering,50.5,55.5,71.0,974.5,0.0
83,Flowering,51.0,56.0,72.0,974.0,0.0
84,Flowering,51.5,56.5,73.0,973.5,0.1
85,Flowering,52.0,57.0,74.0,973.0,0.0
86,Flowering,52.5,57.5,75.0,972.5,0.0
87,Flowering,53.0,58.0,76.0,972.0,0.0
88,Flowering,53.5,58.5,77.0,971.5,0.0
89,Flowering,54.0,59.0,78.0,971.0,0.0
90,Mature,54.5,59.5,79.0,970.5,0.0
