Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Planting,20.0,25.0,60.0,1015.0,5.0
2,Planting,20.5,25.5,61.0,1014.5,4.0
3,Planting,21.0,26.0,62.0,1014.0,3.5
4,Planting,21.5,26.5,63.0,1013.5,3.0
5,Planting,22.0,27.0,64.0,1013.0,2.5
6,Planting,22.5,27.5,65.0,1012.5,2.0
7,Planting,23.0,28.0,66.0,1012.0,1.5
8,Planting,23.5,28.5,67.0,1011.5,1.0
9,Planting,24.0,29.0,68.0,1011.0,1.0
10,Planting,24.5,29.5,69.0,1010.5,0.5
11,Growth,25.0,30.0,60.0,1010.0,0.5
12,Growth,25.5,30.5,61.0,1009.5,0.0
13,Growth,26.0,31.0,62.0,1009.0,0.0
14,Growth,26.5,31.5,63.0,1008.5,0.0
15,Growth,27.0,32.0,64.0,1008.0,0.1
16,Growth,27.5,32.5,65.0,1007.5,0.0
17,Growth,28.0,33.0,66.0,1007.0,0.0
18,Growth,28.5,33.5,67.0,1006.5,0.0
19,Growth,29.0,34.0,68.0,1006.0,0.0
20,Growth,29.5,34.5,69.0,1005.5,0.0
21,Growth,30.0,35.0,70.0,1005.0,0.0
22,Growth,30.5,35.5,71.0,1004.5,0.1
23,Growth,31.0,36.0,72.0,1004.0,0.0
24,Growth,31.5,36.5,73.0,1003.5,0.0
25,Growth,32.0,37.0,74.0,1003.0,0.1
26,Growth,32.5,37.5,75.0,1002.5,0.0
27,Growth,33.0,38.0,76.0,1002.0,0.0
28,Growth,33.5,38.5,77.0,1001.5,0.0
29,Growth,34.0,39.0,78.0,1001.0,0.0
30,Growth,34.5,39.5,79.0,1000.5,0.0
31,Growth,35.0,40.0,60.0,1000.0,0.0
32,Growth,35.5,40.5,61.0,999.5,0.1
33,Growth,36.0,41.0,62.0,999.0,0.0
34,Growth,36.5,41.5,63.0,998.5,0.0
35,Growth,37.0,42.0,64.0,998.0,0.1
36,Growth,37.5,42.5,65.0,997.5,0.0
37,Growth,38.0,43.0,66.0,997.0,0.0
38,Growth,38.5,43.5,67.0,996.5,0.0
39,Growth,39.0,44.0,68.0,996.0,0.0
40,Growth,39.5,44.5,69.0,995.5,0.0
41,Growth,40.0,45.0,70.0,995.0,0.0
42,Growth,40.5,45.5,71.0,994.5,0.1
43,Growth,41.0,46.0,72.0,994.0,0.0
