Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,25.0,80,1005,5
2,Germination,21.0,26.0,80,1005,6
3,Germination,20.5,25.5,81,1005,5
4,Germination,21.0,26.0,82,1005,7
5,Germination,20.0,25.0,83,1005,5
6,Germination,20.0,26.0,84,1005,6
7,Germination,21.0,26.5,85,1005,5
8,Germination,21.5,27.0,82,1005,5
9,Germination,22.0,27.5,81,1005,4
10,Germination,22.5,27.0,80,1005,5
11,Early Growth,22.0,27.0,79,1005,6
12,Early Growth,21.0,26.0,78,1005,7
13,Early Growth,22.5,28.0,80,1005,5
14,Early Growth,23.0,28.0,82,1005,6
15,Early Growth,22.0,27.5,81,1005,5
16,Early Growth,22.5,28.5,83,1005,6
17,Early Growth,23.0,29.0,80,1005,7
18,Early Growth,24.0,30.0,81,1005,6
19,Early Growth,24.5,30.5,79,1005,5
20,Early Growth,25.0,31.0,78,1005,6
21,Mid Growth,24.0,29.0,82,1005,5
22,Mid Growth,25.0,30.0,81,1005,6
23,Mid Growth,25.5,30.5,80,1005,5
24,Mid Growth,25.0,31.0,79,1005,6
25,Mid Growth,24.0,29.0,82,1005,5
26,Mid Growth,25.0,30.0,81,1005,6
27,Mid Growth,26.0,31.0,80,1005,5
28,Mid Growth,27.0,31.5,79,1005,7
29,Mid Growth,26.5,31.0,82,1005,6
30,Mid Growth,26.0,30.5,81,1005,5
31,Late Growth,25.0,30.0,80,1005,6
32,Late Growth,26.0,31.0,81,1005,5
33,Late Growth,27.0,32.0,82,1005,6
34,Late Growth,27.5,32.0,80,1005,7
35,Late Growth,27.0,31.5,79,1005,6
36,Late Growth,26.5,31.0,82,1005,5
37,Late Growth,27.0,32.0,81,1005,6
38,Late Growth,27.0,32.0,82,1005,5
39,Late Growth,27.5,32.5,80,1005,6
40,Late Growth,28.0,32.0,81,1005,5
41,Late Growth,28.5,32.5,79,1005,6
42,Late Growth,28.0,32.0,80,1005,5
43,Late Growth,28.5,32.5,82,1005,6
44,Late Growth,29.0,32.0,81,1005,5
45,Late Growth,29.5,32.5,80,1005,6
46,Late Growth,29.0,32.0,79,1005,5
47,Late Growth,29.0,32.0,82,1005,6
48,Late Growth,29.5,32.0,81,1005,5
49,Late Growth,30.0,32.5,78,1005,6
50,Late Growth,30.0,32.0,80,1005,5
51,Late Growth,30.5,32.5,81,1005,6
52,Late Growth,30.5,32.0,82,1005,5
53,Late Growth,30.0,32.0,79,1005,6
54,Late Growth,30.0,32.5,80,1005,7
55,Late Growth,31.0,33.0,81,1005,6
56,Late Growth,31.0,33.0,82,1005,5
57,Late Growth,31.5,33.0,78,1005,6
58,Late Growth,31.5,32.5,80,1005,5
59,Late Growth,32.0,33.5,81,1005,6
60,Late Growth,32.0,33.0,79,1005,5
61,Late Growth,32.5,34.0,80,1005,6
62,Late Growth,32.5,33.0,82,1005,5
63,Late Growth,32.0,33.0,78,1005,6
64,Late Growth,32.0,33.5,79,1005,7
65,Late Growth,32.0,33.0,80,1005,6
66,Late Growth,32.5,33.5,81,1005,5
67,Late Growth,32.5,34.0,82,1005,6
68,Late Growth,33.0,34.0,78,1005,5
69,Late Growth,32.5,34.0,80,1005,6
70,Late Growth,32.0,33.5,81,1005,5
71,Late Growth,32.0,34.0,82,1005,6
72,Late Growth,32.0,34.0,79,1005,7
73,Late Growth,32.5,34.0,80,1005,6
74,Late Growth,32.0,33.5,81,1005,5
75,Late Growth,32.5,34.0,82,1005,6
76,Late Growth,32.0,33.0,78,1005,7
77,Late Growth,32.5,34.0,80,1005,6
78,Late Growth,32.5,34.0,81,1005,5
79,Late Growth,32.5,34.0,82,1005,6
80,Late Growth,32.0,33.0,79,1005,7
81,Late Growth,32.0,34.0,80,1005,6
82,Late Growth,32.0,34.0,81,1005,5
83,Late Growth,32.5,34.0,82,1005,6
84,Late Growth,32.5,34.0,78,1005,7
85,Late Growth,32.5,34.0,80,1005,6
86,Late Growth,32.5,34.0,81,1005,5
87,Late Growth,32.5,34.0,82,1005,6
