Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,10.0,30.0,50.0,1015.0,5.0
2,Germination,11.0,31.0,55.0,1014.5,6.0
3,Germination,12.0,32.0,60.0,1014.0,4.5
4,Germination,12.5,32.5,65.0,1013.5,3.5
5,Germination,13.0,33.0,60.0,1013.0,5.5
6,Germination,13.5,33.5,55.0,1012.5,7.0
7,Germination,14.0,34.0,70.0,1012.0,8.0
8,Germination,14.5,34.5,65.0,1011.5,6.0
9,Growth,15.0,35.0,60.0,1011.0,5.0
10,Growth,15.5,35.5,65.0,1010.5,7.5
11,Growth,16.0,36.0,70.0,1010.0,4.0
12,Growth,16.5,36.5,75.0,1009.5,6.5
13,Growth,17.0,37.0,60.0,1009.0,5.5
14,Growth,17.5,37.5,65.0,1008.5,6.0
15,Growth,18.0,38.0,70.0,1008.0,5.0
16,Growth,18.5,38.5,75.0,1007.5,8.0
17,Growth,19.0,39.0,80.0,1007.0,7.5
18,Growth,19.5,39.5,60.0,1006.5,4.0
19,Growth,20.0,40.0,65.0,1006.0,5.0
20,Growth,20.5,40.5,70.0,1005.5,6.0
21,Growth,21.0,41.0,75.0,1005.0,7.0
22,Growth,21.5,41.5,80.0,1004.5,4.5
23,Growth,22.0,42.0,65.0,1004.0,5.0
24,Growth,22.5,42.5,70.0,1003.5,6.0
25,Growth,23.0,43.0,75.0,1003.0,7.5
26,Growth,23.5,43.5,80.0,1002.5,4.0
27,Growth,24.0,44.0,60.0,1002.0,6.0
28,Growth,24.5,44.5,65.0,1001.5,5.5
29,Growth,25.0,45.0,70.0,1001.0,6.5
30,Growth,25.5,45.5,75.0,1000.5,7.5
31,Growth,26.0,46.0,80.0,1000.0,4.5
32,Growth,26.5,46.5,60.0,999.5,5.0
33,Growth,27.0,47.0,65.0,999.0,6.0
34,Growth,27.5,47.5,70.0,998.5,5.5
35,Growth,28.0,48.0,75.0,998.0,6.5
36,Growth,28.5,48.5,80.0,997.5,4.5
37,Growth,29.0,49.0,65.0,997.0,5.0
38,Growth,29.5,49.5,70.0,996.5,6.0
39,Growth,30.0,50.0,75.0,996.0,7.0
40,Growth,30.5,50.5,80.0,995.5,4.0
41,Growth,31.0,51.0,60.0,995.0,5.5
42,Growth,31.5,51.5,65.0,994.5,6.0
43,Growth,32.0,52.0,70.0,994.0,5.0
44,Growth,32.5,52.5,75.0,993.5,4.5
45,Growth,33.0,53.0,80.0,993.0,6.0
46,Growth,33.5,53.5,65.0,992.5,5.0
47,Growth,34.0,54.0,70.0,992.0,6.5
48,Growth,34.5,54.5,75.0,991.5,7.0
49,Growth,35.0,55.0,80.0,991.0,4.0
50,Growth,35.5,55.5,60.0,990.5,5.5
51,Growth,36.0,56.0,65.0,990.0,6.0
52,Growth,36.5,56.5,70.0,989.5,7.5
53,Growth,37.0,57.0,75.0,989.0,4.5
54,Growth,37.5,57.5,80.0,988.5,5.0
55,Growth,38.0,58.0,65.0,988.0,6.0
56,Growth,38.5,58.5,70.0,987.5,5.5
57,Growth,39.0,59.0,75.0,987.0,4.0
58,Growth,39.5,59.5,80.0,986.5,5.0
59,Growth,40.0,60.0,60.0,986.0,6.0
60,Growth,40.5,60.5,65.0,985.5,7.0
61,Growth,41.0,61.0,70.0,985.0,4.0
62,Growth,41.5,61.5,75.0,984.5,5.0
63,Growth,42.0,62.0,80.0,984.0,6.0
64,Growth,42.5,62.5,65.0,983.5,5.5
65,Growth,43.0,63.0,70.0,983.0,4.0
66,Growth,43.5,63.5,75.0,982.5,5.0
67,Growth,44.0,64.0,80.0,982.0,6.0
68,Growth,44.5,64.5,60.0,981.5,4.5
69,Growth,45.0,65.0,65.0,981.0,5.5
70,Growth,45.5,65.5,70.0,980.5,6.0
71,Growth,46.0,66.0,75.0,980.0,7.0
72,Growth,46.5,66.5,80.0,979.5,4.0
73,Growth,47.0,67.0,65.0,979.0,5.0
74,Growth,47.5,67.5,70.0,978.5,6.0
75,Growth,48.0,68.0,75.0,978.0,5.5
76,Growth,48.5,68.5,80.0,977.5,4.0
77,Growth,49.0,69.0,60.0,977.0,5.0
78,Growth,49.5,69.5,65.0,976.5,6.0
79,Growth,50.0,70.0,70.0,976.0,7.0
80,Growth,50.5,70.5,75.0,975.5,4.0
81,Growth,51.0,71.0,80.0,975.
