Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,10.0,30.0,70.0,1015.0,3.0
2,Germination,10.5,30.5,75.0,1014.5,4.0
3,Germination,11.0,31.0,80.0,1014.0,2.5
4,Germination,11.5,31.5,70.0,1013.5,5.0
5,Germination,12.0,32.0,75.0,1013.0,6.0
6,Germination,12.5,32.5,80.0,1012.5,4.0
7,Germination,13.0,33.0,70.0,1012.0,3.5
8,Germination,13.5,33.5,75.0,1011.5,5.5
9,Growth,14.0,34.0,80.0,1011.0,6.5
10,Growth,14.5,34.5,70.0,1010.5,5.0
11,Growth,15.0,35.0,75.0,1010.0,4.0
12,Growth,15.5,35.5,80.0,1009.5,3.5
13,Growth,16.0,36.0,70.0,1009.0,5.0
14,Growth,16.5,36.5,75.0,1008.5,6.0
15,Growth,17.0,37.0,80.0,1008.0,4.5
16,Growth,17.5,37.5,70.0,1007.5,3.0
17,Growth,18.0,38.0,75.0,1007.0,5.0
18,Growth,18.5,38.5,80.0,1006.5,6.0
19,Growth,19.0,39.0,70.0,1006.0,4.5
20,Growth,19.5,39.5,75.0,1005.5,5.5
21,Growth,20.0,40.0,80.0,1005.0,6.0
22,Growth,20.5,40.5,70.0,1004.5,4.0
23,Growth,21.0,41.0,75.0,1004.0,3.5
24,Growth,21.5,41.5,80.0,1003.5,5.0
25,Growth,22.0,42.0,70.0,1003.0,6.0
26,Growth,22.5,42.5,75.0,1002.5,4.5
27,Growth,23.0,43.0,80.0,1002.0,5.5
28,Growth,23.5,43.5,70.0,1001.5,6.0
29,Growth,24.0,44.0,75.0,1001.0,3.5
30,Growth,24.5,44.5,80.0,1000.5,4.0
31,Growth,25.0,45.0,70.0,1000.0,5.0
32,Growth,25.5,45.5,75.0,999.5,4.5
33,Growth,26.0,46.0,80.0,999.0,6.0
34,Growth,26.5,46.5,70.0,998.5,5.5
35,Growth,27.0,47.0,75.0,998.0,6.5
36,Growth,27.5,47.5,80.0,997.5,3.0
