Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,5.0,15.0,85.0,1015.0,5.0
2,Germination,5.0,15.5,80.0,1014.5,4.0
3,Germination,6.0,16.0,75.0,1014.0,3.5
4,Germination,6.0,16.5,70.0,1013.5,2.0
5,Germination,7.0,17.0,75.0,1013.0,3.0
6,Germination,7.0,17.5,80.0,1012.5,4.0
7,Germination,8.0,18.0,85.0,1012.0,5.0
8,Growth,8.0,18.5,80.0,1011.5,3.5
9,Growth,8.5,19.0,75.0,1011.0,2.0
10,Growth,9.0,19.5,80.0,1010.5,4.0
11,Growth,9.0,20.0,85.0,1010.0,5.0
12,Growth,9.5,20.5,70.0,1009.5,6.0
13,Growth,10.0,21.0,75.0,1009.0,3.0
14,Growth,10.0,21.5,80.0,1008.5,2.5
15,Growth,10.5,22.0,85.0,1008.0,4.0
16,Growth,10.5,22.5,70.0,1007.5,3.0
17,Growth,11.0,23.0,75.0,1007.0,2.0
18,Growth,11.0,23.5,80.0,1006.5,3.5
19,Growth,11.5,24.0,85.0,1006.0,5.0
20,Growth,11.5,24.5,70.0,1005.5,4.0
21,Growth,12.0,25.0,75.0,1005.0,2.0
22,Growth,12.0,25.5,80.0,1004.5,3.0
23,Growth,12.5,26.0,85.0,1004.0,5.0
24,Growth,12.5,26.5,70.0,1003.5,6.0
25,Growth,13.0,27.0,75.0,1003.0,4.0
26,Growth,13.0,27.5,80.0,1002.5,5.0
27,Growth,13.5,28.0,85.0,1002.0,3.5
28,Growth,13.5,28.5,70.0,1001.5,2.0
29,Growth,14.0,29.0,75.0,1001.0,3.0
30,Growth,14.0,29.5,80.0,1000.5,4.0
31,Growth,14.5,30.0,85.0,1000.0,5.0
32,Growth,14.5,30.5,70.0,999.5,6.0
33,Growth,15.0,31.0,75.0,999.0,4.0
34,Growth,15.0,31.5,80.0,998.5,5.0
35,Growth,15.5,32.0,85.0,998.0,3.5
36,Growth,15.5,32.5,70.0,997.5,2.0
37,Growth,16.0,33.0,75.0,997.0,3.0
38,Growth,16.0,33.5,80.0,996.5,4.0
39,Growth,16.5,34.0,85.0,996.0,5.0
40,Growth,16.5,34.5,70.0,995.5,6.0
41,Growth,17.0,35.0,75.0,995.0,4.0
42,Growth,17.0,35.5,80.0,994.5,5.0
43,Growth,17.5,36.0,85.0,994.0,3.5
44,Growth,17.5,36.5,70.0,993.5,2.0
45,Growth,18.0,37.0,75.0,993.0,3.0
46,Growth,18.0,37.5,80.0,992.5,4.0
47,Growth,18.5,38.0,85.0,992.0,5.0
48,Growth,18.5,38.5,70.0,991.5,6.0
49,Growth,19.0,39.0,75.0,991.0,4.0
50,Growth,19.0,39.5,80.0,990.5,5.0
51,Growth,19.5,40.0,85.0,990.0,3.5
52,Growth,19.5,40.5,70.0,989.5,2.0
53,Growth,20.0,41.0,75.0,989.0,3.0
54,Growth,20.0,41.5,80.0,988.5,4.0
55,Growth,20.5,42.0,85.0,988.0,5.0
56,Growth,20.5,42.5,70.0,987.5,6.0
57,Growth,21.0,43.0,75.0,987.0,4.0
58,Growth,21.0,43.5,80.0,986.5,5.0
59,Growth,21.5,44.0,85.0,986.0,3.5
60,Growth,21.5,44.5,70.0,985.5,2.0
61,Growth,22.0,45.0,75.0,985.0,3.0
62,Growth,22.0,45.5,80.0,984.5,4.0
63,Growth,22.5,46.0,85.0,984.0,5.0
64,Growth,22.5,46.5,70.0,983.5,6.0
65,Growth,23.0,47.0,75.0,983.0,4.0
66,Growth,23.0,47.5,80.0,982.5,5.0
67,Growth,23.5,48.0,85.0,982.0,3.5
68,Growth,23.5,48.5,70.0,981.5,2.0
69,Growth,24.0,49.0,75.0,981.0,3.0
70,Growth,24.0,49.5,80.0,980.5,4.0
71,Growth,24.5,50.0,85.0,980.0,5.0
72,Growth,24.5,50.5,70.0,979.5,6.0
73,Growth,25.0,51.0,75.0,979.0,4.0
74,Growth,25.0,51.5,80.0,978.5,5.0
75,Growth,25.5,52.0,85.0,978.0,3.5
76,Growth,25.5,52.5,70.0,977.5,2.0
77,Growth,26.0,53.0,75.0,977.0,3.0
78,Growth,26.0,53.5,80.0,976.5,4.0
79,Growth,26.5,54.0,85.0,976.0,5.0
80,Growth,26.5,54.5,70.0,975.5,6.0
81,Growth,27.0,55.0,75.0,975.0,4.0
82,Growth,27.0,55.5,80.0,974.5,5.0
83,Growth,27.5,56.0,85.0,974.0,3.5
84,Growth,27.5,56.5,70.0,973.5,2.0
85,Growth,28.0,57.0,75.0,973.0,3.0
86,Growth,28.0,57.5,80.0,972.5,4.0
87,Growth,28.5,58.0,85.0,972.0,5.0
88,Growth,28.5,58.5,70.0,971.5,6.0
89,Growth,29.0,59.0,75.0,971.0,4.0
90,Growth,29.0,59.5,80.0,970.5,5.0
91,Growth,29.5,60.0,85.0,970.0,3.5
92,Growth,29.5,60.5,70.0,969.5,2.0
93,Growth,30.0,61.0,75.0,969.0,3.0
94,Growth,30.0,61.5,80.0,968.5,4.0
95,Growth,30.5,62.0,85.0,968.0,5.0
96,Growth,30.5,62.5,70.0,967.5,6.0
97,Growth,31.0,63.0,75.0,967.0,4.0
98,Growth,31.0,63.5,80.0,966.5,5.0
99,Growth,31.5,64.0,85.0,966.0,3.5
100,Growth,31.5,64.5,70.0,965.5,2.0
101,Growth,32.0,65.0,75.0,965.0,3.0
102,Growth,32.0,65.5,80.0,964.5,4.0
103,Growth,32.5,66.0,85.0,964.0,5.0
104,Growth,32.5,66.5,70.0,963.5,6.0
105,Growth,33.0,67.0,75.0,963.0,4.0
106,Growth,33.0,67.5,80.0,962.5,5.0
107,Growth,33.5,68.0,85.0,962.0,3.5
108,Growth,33.5,68.5,70.0,961.5,2.0
109,Growth,34.0,69.0,75.0,961.0,3.0
110,Growth,34.0,69.5,80.0,960.5,4.0
111,Growth,34.5,70.0,85.0,960.0,5.0
112,Growth,34.5,70.5,70.0,959.5,6.0
113,Growth,35.0,71.0,75.0,959.0,4.0
114,Growth,35.0,71.5,80.0,958.5,5.0
115,Growth,35.5,72.0,85.0,958.0,3.5
116,Growth,35.5,72.5,70.0,957.5,2.0
117,Growth,36.0,73.0,75.0,957.0,3.0
118,Growth,36.0,73.5,80.0,956.5,4.0
119,Growth,36.5,74.0,85.0,956.0,5.0
120,Growth,36.5,74.5,70.0,955.5,6.0
