Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,10.5,16.0,82.0,1017.5,1.0
2,Germination,11.0,16.4,80.5,1018.0,1.2
3,Germination,10.2,15.8,83.1,1016.9,0.9
4,Germination,10.7,16.2,81.0,1017.4,1.4
5,Germination,11.3,16.7,79.8,1016.8,1.6
6,Germination,10.6,16.1,81.5,1017.1,0.8
7,Germination,10.9,16.5,80.1,1018.3,1.1
8,Germination,11.4,17.0,78.6,1016.7,1.5
9,Germination,10.3,16.0,82.2,1017.9,1.2
10,Germination,10.8,16.6,80.4,1016.5,1.7
11,Germination,11.2,16.8,79.5,1018.2,1.0
12,Germination,10.5,16.3,81.3,1017.0,1.4
13,Germination,10.7,16.5,80.2,1017.8,1.6
14,Germination,11.0,17.1,79.0,1016.4,1.3
15,Germination,10.9,16.7,80.0,1016.9,1.5
16,Vegetative,11.8,17.8,76.2,1015.8,0.9
17,Vegetative,12.2,18.3,75.0,1014.6,0.7
18,Vegetative,11.5,17.5,77.1,1016.2,0.4
19,Vegetative,11.9,17.9,75.8,1015.0,0.6
20,Vegetative,12.4,18.5,74.5,1014.2,0.8
21,Vegetative,11.6,17.7,76.6,1015.4,1.2
22,Vegetative,11.3,17.1,78.0,1016.0,0.5
23,Vegetative,12.1,18.4,74.9,1014.8,0.3
24,Vegetative,11.9,17.9,75.5,1015.6,0.7
25,Vegetative,12.5,18.8,74.2,1014.4,0.2
26,Vegetative,11.7,17.8,76.4,1016.0,0.9
27,Vegetative,11.5,17.5,77.0,1016.7,0.5
28,Vegetative,12.3,18.6,75.0,1014.9,0.4
29,Vegetative,12.6,18.9,73.8,1014.1,0.6
30,Vegetative,11.8,17.7,76.3,1015.5,0.2
31,Vegetative,12.2,18.3,74.7,1016.3,0.7
32,Vegetative,12.0,17.9,75.3,1015.2,0.4
33,Vegetative,12.4,18.5,74.0,1014.5,0.3
34,Vegetative,11.9,17.8,75.9,1015.9,0.2
35,Vegetative,11.7,17.6,76.4,1016.6,0.6
36,Vegetative,12.5,18.7,73.9,1014.8,0.1
37,Vegetative,12.3,18.2,74.5,1015.3,0.4
38,Vegetative,11.6,17.3,77.2,1016.4,0.5
39,Vegetative,12.1,18.0,75.6,1015.1,0.3
40,Vegetative,12.6,18.9,73.7,1014.3,0.6
41,Vegetative,11.8,17.5,76.5,1016.1,0.4
42,Vegetative,12.2,18.4,74.8,1015.6,0.5
43,Vegetative,11.9,17.9,75.4,1015.0,0.3
44,Vegetative,12.4,18.7,74.2,1014.6,0.1
45,Vegetative,12.0,17.9,75.7,1015.4,0.2
46,Vegetative,12.7,19.0,73.5,1014.2,0.4
47,Vegetative,11.7,17.6,76.3,1016.2,0.3
48,Vegetative,12.2,18.2,74.7,1015.5,0.1
49,Vegetative,11.9,17.9,75.6,1015.8,0.4
50,Vegetative,12.4,18.6,74.1,1014.9,0.2
51,Vegetative,11.5,17.5,77.0,1016.4,0.3
52,Vegetative,12.1,18.3,74.9,1015.2,0.1
53,Vegetative,12.6,18.9,73.8,1014.4,0.6
54,Vegetative,12.3,18.2,75.1,1015.7,0.4
55,Vegetative,11.7,17.6,76.5,1016.3,0.2
56,Vegetative,12.4,18.7,74.3,1014.9,0.3
57,Vegetative,12.5,18.8,74.0,1014.6,0.1
58,Vegetative,12.2,18.1,74.9,1015.8,0.2
59,Vegetative,11.9,17.8,75.8,1015.0,0.4
60,Vegetative,12.0,17.9,75.5,1015.9,0.3
61,Flowering,14.5,22.0,63.0,1012.2,0.2
62,Flowering,15.0,22.5,61.5,1011.9,0.1
63,Flowering,14.2,21.8,64.0,1013.3,0.3
64,Flowering,14.7,22.1,62.9,1012.5,0.2
65,Flowering,14.5,21.9,63.5,1012.1,0.1
66,Flowering,15.1,22.6,61.8,1011.7,0.4
67,Flowering,14.9,22.3,62.5,1012.3,0.2
68,Flowering,14.3,21.7,64.1,1013.2,0.3
69,Flowering,14.8,22.2,63.2,1012.0,0.1
70,Flowering,15.2,22.7,61.2,1011.5,0.0
71,Flowering,14.6,21.9,63.5,1012.8,0.1
72,Flowering,15.0,22.5,61.9,1011.9,0.0
73,Flowering,14.3,21.8,64.0,1013.1,0.2
74,Flowering,14.9,22.3,62.4,1012.4,0.1
75,Flowering,15.3,22.8,61.0,1011.6,0.2
76,Flowering,14.7,21.9,63.3,1012.2,0.1
77,Flowering,14.2,21.7,64.1,1013.4,0.0
78,Flowering,14.8,22.2,63.0,1012.5,0.2
79,Flowering,15.1,22.6,61.8,1011.9,0.0
80,Flowering,14.9,22.3,62.5,1012.1,0.1
81,Flowering,14.6,21.9,63.4,1012.9,0.2
82,Flowering,15.0,22.5,61.9,1011.7,0.0
83,Flowering,14.4,21.8,64.0,1013.2,0.1
84,Flowering,14.7,22.0,63.5,1012.3,0.2
85,Grain Filling,17.0,25.5,50.2,1009.4,0.1
86,Grain Filling,17.3,25.9,49.0,1008.7,0.0
87,Grain Filling,16.8,24.9,51.5,1010.1,0.2
88,Grain Filling,17.1,25.2,50.5,1009.3,0.0
89,Grain Filling,17.5,25.7,48.9,1008.6,0.0
90,Grain Filling,16.7,24.8,51.8,1010.2,0.3
91,Grain Filling,17.2,25.4,49.9,1009.7,0.1
92,Grain Filling,16.9,24.9,51.0,1009.5,0.0
93,Grain Filling,17.6,25.8,48.5,1008.4,0.2
94,Grain Filling,17.0,25.0,50.7,1009.8,0.1
95,Grain Filling,17.3,25.6,49.2,1008.9,0.0
96,Grain Filling,17.1,25.2,50.3,1009.1,0.0
97,Grain Filling,17.4,25.5,49.6,1008.5,0.2
