Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,28.0,70.0,1012.0,5.0
2,Germination,20.5,28.5,68.0,1011.8,4.5
3,Germination,20.2,28.2,69.0,1012.2,6.0
4,Germination,20.0,28.0,67.0,1011.5,5.0
5,Germination,20.4,28.4,66.0,1011.7,4.0
6,Germination,20.1,28.1,70.0,1012.0,5.5
7,Germination,20.5,28.5,65.0,1011.9,3.5
8,Germination,20.3,28.3,68.0,1012.1,4.5
9,Germination,20.2,28.2,69.0,1011.6,5.0
10,Germination,20.4,28.4,67.0,1011.8,3.0
11,Seedling,21.0,29.0,65.0,1011.5,2.5
12,Seedling,21.2,29.2,64.0,1011.3,2.0
13,Seedling,21.1,29.1,66.0,1011.8,3.0
14,Seedling,21.0,29.0,63.0,1011.4,2.5
15,Seedling,21.3,29.3,62.0,1011.1,1.5
16,Seedling,21.1,29.1,64.0,1011.6,2.0
17,Seedling,21.2,29.2,61.0,1011.3,1.0
18,Seedling,21.0,29.0,65.0,1011.5,2.0
19,Vegetative,22.0,30.0,60.0,1010.8,1.0
20,Vegetative,22.2,30.2,59.0,1010.6,1.5
21,Vegetative,22.1,30.1,61.0,1010.9,0.5
22,Vegetative,22.0,30.0,58.0,1010.5,1.0
23,Vegetative,22.3,30.3,57.0,1010.3,0.0
24,Vegetative,22.1,30.1,59.5,1010.7,0.5
25,Vegetative,22.2,30.2,56.0,1010.2,0.0
26,Vegetative,22.0,30.0,58.5,1010.5,1.0
27,Vegetative,22.3,30.3,55.0,1010.1,0.0
28,Vegetative,22.1,30.1,57.0,1010.3,0.5
29,Flowering,23.0,31.0,55.0,1009.5,0.0
30,Flowering,23.2,31.2,54.0,1009.3,0.0
31,Flowering,23.1,31.1,56.0,1009.8,0.0
32,Flowering,23.0,31.0,53.0,1009.1,0.0
33,Flowering,23.3,31.3,52.0,1009.0,0.0
34,Flowering,23.1,31.1,54.5,1009.4,0.0
35,Flowering,23.2,31.2,51.0,1008.9,0.0
36,Flowering,23.0,31.0,53.5,1009.2,0.0
37,Flowering,23.4,31.4,50.0,1008.5,0.0
38,Flowering,23.2,31.2,52.5,1009.1,0.0
39,Fruiting,24.0,32.0,48.0,1008.0,0.0
40,Fruiting,24.2,32.2,47.0,1007.8,0.0
41,Fruiting,24.1,32.1,49.0,1008.2,0.0
42,Fruiting,24.0,32.0,46.0,1007.5,0.0
43,Fruiting,24.3,32.3,45.0,1007.3,0.0
44,Fruiting,24.1,32.1,47.5,1008.0,0.0
45,Fruiting,24.2,32.2,44.0,1007.2,0.0
46,Fruiting,24.4,32.4,43.0,1007.0,0.0
47,Fruiting,24.3,32.3,45.0,1007.5,0.0
48,Fruiting,24.1,32.1,42.0,1006.9,0.0
49,Fruiting,24.5,32.5,41.0,1006.7,0.0
50,Fruiting,24.3,32.3,43.5,1007.0,0.0
51,Fruiting,24.4,32.4,40.0,1006.5,0.0
52,Maturation,24.8,33.0,38.0,1006.0,0.0
53,Maturation,24.6,32.8,39.5,1006.2,0.0
54,Maturation,24.7,32.9,37.0,1006.5,0.0
55,Maturation,24.5,32.7,40.0,1006.0,0.0
56,Maturation,24.9,33.1,36.0,1006.1,0.0
57,Maturation,24.7,32.9,38.5,1005.8,0.0
58,Maturation,24.8,33.0,35.0,1005.9,0.0
59,Maturation,24.5,32.7,37.5,1005.7,0.0
60,Maturation,24.9,33.1,34.0,1005.6,0.0
61,Maturation,24.6,32.8,36.5,1005.5,0.0
62,Maturation,24.8,33.0,33.0,1005.3,0.0
63,Harvesting,25.0,33.5,32.0,1005.1,0.0
64,Harvesting,25.2,33.7,30.5,1004.8,0.0
65,Harvesting,25.1,33.6,31.0,1004.7,0.0
66,Harvesting,25.0,33.5,29.0,1004.5,0.0
67,Harvesting,25.3,33.8,28.0,1004.4,0.0
68,Harvesting,25.1,33.6,30.0,1004.6,0.0
69,Harvesting,25.2,33.7,27.5,1004.3,0.0
70,Harvesting,25.0,33.5,29.0,1004.5,0.0
71,Harvesting,25.4,34.0,26.0,1004.2,0.0
72,Harvesting,25.2,33.8,28.5,1004.3,0.0
73,Harvesting,25.3,33.9,25.0,1004.1,0.0
74,Harvesting,25.5,34.1,24.0,1004.0,0.0
75,Harvesting,25.3,33.9,26.5,1004.2,0.0
76,Harvesting,25.4,34.0,25.0,1004.1,0.0
77,Harvesting,25.6,34.2,23.0,1003.8,0.0
78,Harvesting,25.5,34.1,24.5,1003.7,0.0
79,Harvesting,25.4,34.0,22.0,1003.6,0.0
80,Harvesting,25.7,34.3,23.0,1003.5,0.0
81,Harvesting,25.5,34.1,21.5,1003.4,0.0
82,Harvesting,25.6,34.2,20.0,1003.2,0.0
83,Harvesting,25.4,34.0,22.0,1003.3,0.0
84,Harvesting,25.7,34.3,21.0,1003.1,0.0
85,Harvesting,25.5,34.1,19.5,1003.0,0.0
86,Harvesting,25.8,34.4,20.0,1002.9,0.0
87,Harvesting,25.6,34.2,18.5,1002.8,0.0
88,Harvesting,25.5,34.1,19.0,1002.7,0.0
89,Harvesting,25.9,34.5,17.0,1002.5,0.0
90,Harvesting,25.7,34.3,16.5,1002.4,0.0
