Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,25.0,80.0,1012.0,15.0
2,Germination,20.5,25.5,79.0,1011.5,12.0
3,Germination,20.3,25.2,78.0,1011.0,14.0
4,Germination,20.2,25.1,77.0,1010.8,10.0
5,Germination,20.0,25.0,76.0,1010.5,8.0
6,Germination,20.1,25.3,75.0,1010.2,7.5
7,Germination,20.4,25.6,74.0,1010.0,6.0
8,Germination,20.3,25.4,78.0,1011.0,5.0
9,Germination,20.5,25.5,73.0,1011.2,4.0
10,Germination,20.2,25.1,79.0,1011.5,3.0
11,Seedling,20.6,26.0,72.0,1012.0,2.5
12,Seedling,20.4,25.8,71.0,1011.8,2.0
13,Seedling,20.5,26.2,70.0,1011.6,1.5
14,Seedling,20.6,26.3,69.0,1011.3,1.0
15,Seedling,20.7,26.5,68.0,1011.0,0.5
16,Seedling,20.5,26.2,70.0,1012.0,0.0
17,Seedling,20.8,26.6,67.0,1010.5,0.0
18,Vegetative,21.0,27.0,66.0,1010.0,0.0
19,Vegetative,21.1,27.2,65.0,1009.5,0.0
20,Vegetative,21.0,27.0,64.0,1009.0,0.0
21,Vegetative,21.2,27.3,63.0,1008.8,0.0
22,Vegetative,21.1,27.1,65.5,1009.2,0.0
23,Vegetative,21.0,27.0,62.0,1008.5,0.0
24,Vegetative,21.3,27.5,61.0,1008.0,0.0
25,Vegetative,21.1,27.1,60.0,1007.5,0.0
26,Vegetative,21.2,27.3,59.0,1007.0,0.0
27,Vegetative,21.4,27.6,58.0,1006.5,0.0
28,Flowering,21.5,28.0,57.0,1006.0,0.0
29,Flowering,21.6,28.2,56.0,1005.5,0.0
30,Flowering,21.5,28.0,55.0,1005.0,0.0
31,Flowering,21.4,27.8,54.0,1004.8,0.0
32,Flowering,21.7,28.3,53.0,1004.5,0.0
33,Flowering,21.6,28.1,52.0,1004.2,0.0
34,Flowering,21.5,28.0,51.0,1003.8,0.0
35,Flowering,21.8,28.4,50.0,1003.5,0.0
36,Fruiting,22.0,28.8,49.0,1002.0,0.0
37,Fruiting,22.2,29.0,48.0,1001.5,0.0
38,Fruiting,22.1,28.6,47.0,1001.0,0.0
39,Fruiting,22.0,28.5,46.0,1000.5,0.0
40,Fruiting,22.3,29.1,45.0,1000.0,0.0
41,Fruiting,22.2,28.9,44.0,999.5,0.0
42,Fruiting,22.1,28.7,43.0,999.0,0.0
43,Fruiting,22.4,29.2,42.0,998.8,0.0
44,Fruiting,22.2,28.9,41.0,998.5,0.0
45,Fruiting,22.5,29.3,40.0,998.2,0.0
46,Fruiting,22.4,29.1,39.0,998.0,0.0
47,Fruiting,22.3,29.0,38.0,997.8,0.0
48,Fruiting,22.6,29.4,37.0,997.5,0.0
49,Maturation,22.8,29.6,36.0,997.2,0.0
50,Maturation,22.5,29.3,35.0,996.8,0.0
51,Maturation,22.7,29.5,34.0,996.5,0.0
52,Maturation,22.6,29.4,33.0,996.2,0.0
53,Maturation,22.9,29.8,32.0,996.0,0.0
54,Maturation,22.8,29.6,31.0,995.8,0.0
55,Maturation,22.7,29.5,30.0,995.5,0.0
56,Maturation,22.5,29.3,29.0,995.2,0.0
57,Maturation,22.6,29.4,28.0,995.0,0.0
58,Maturation,22.9,29.8,27.0,994.8,0.0
59,Maturation,22.7,29.6,26.0,994.5,0.0
60,Maturation,22.8,29.7,25.0,994.2,0.0
61,Maturation,23.0,30.0,24.0,994.0,0.0
62,Maturation,22.9,29.8,23.0,993.8,0.0
63,Harvesting,23.2,30.3,22.0,993.5,0.0
64,Harvesting,23.1,30.2,21.0,993.0,0.0
65,Harvesting,23.0,30.0,20.0,992.5,0.0
66,Harvesting,23.3,30.4,19.0,992.0,0.0
67,Harvesting,23.1,30.2,18.5,991.8,0.0
68,Harvesting,23.2,30.3,18.0,991.5,0.0
69,Harvesting,23.0,30.0,17.5,991.3,0.0
70,Harvesting,23.3,30.4,17.0,991.0,0.0
71,Harvesting,23.1,30.2,16.5,990.8,0.0
72,Harvesting,23.2,30.3,16.0,990.6,0.0
73,Harvesting,23.0,30.0,15.5,990.4,0.0
74,Harvesting,23.3,30.4,15.0,990.2,0.0
75,Harvesting,23.1,30.2,14.5,990.0,0.0
76,Harvesting,23.2,30.3,14.0,989.8,0.0
77,Harvesting,23.0,30.0,13.5,989.6,0.0
78,Harvesting,23.3,30.4,13.0,989.5,0.0
79,Harvesting,23.1,30.2,12.5,989.3,0.0
80,Harvesting,23.2,30.3,12.0,989.1,0.0
81,Harvesting,23.0,30.0,11.5,988.9,0.0
82,Harvesting,23.3,30.4,11.0,988.7,0.0
83,Harvesting,23.1,30.2,10.5,988.5,0.0
84,Harvesting,23.2,30.3,10.0,988.3,0.0
85,Harvesting,23.0,30.0,9.5,988.1,0.0
86,Harvesting,23.3,30.4,9.0,987.9,0.0
87,Harvesting,23.1,30.2,8.5,987.7,0.0
88,Harvesting,23.2,30.3,8.0,987.5,0.0
89,Harvesting,23.0,30.0,7.5,987.3,0.0
90,Harvesting,23.3,30.4,7.0,987.1,0.0
