Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,26.0,80.0,1015.0,10.0
2,Germination,20.5,26.5,78.0,1014.5,9.0
3,Germination,21.0,27.0,77.0,1014.0,8.0
4,Germination,20.8,26.8,76.0,1013.5,7.0
5,Germination,20.9,26.9,75.0,1013.0,6.0
6,Germination,20.7,26.7,74.0,1012.5,5.0
7,Germination,20.6,26.6,73.0,1012.0,4.0
8,Germination,20.8,26.8,72.0,1011.5,3.0
9,Germination,21.0,27.0,71.0,1011.0,2.0
10,Germination,20.9,26.9,70.0,1010.5,1.0
11,Seedling,21.5,27.5,69.0,1012.0,1.5
12,Seedling,21.2,27.2,68.0,1011.5,1.0
13,Seedling,21.1,27.1,67.0,1011.0,0.5
14,Seedling,21.3,27.3,66.0,1010.5,0.0
15,Seedling,21.5,27.5,65.0,1010.0,0.0
16,Seedling,21.4,27.4,64.0,1009.5,0.0
17,Seedling,21.6,27.6,63.0,1009.0,0.0
18,Vegetative,21.8,27.8,62.0,1009.0,0.0
19,Vegetative,22.0,28.0,61.0,1008.5,0.0
20,Vegetative,22.1,28.1,60.0,1008.0,0.0
21,Vegetative,22.2,28.2,59.0,1007.5,0.0
22,Vegetative,22.0,28.0,58.0,1007.0,0.0
23,Vegetative,22.3,28.3,57.0,1006.5,0.0
24,Vegetative,22.1,28.1,56.0,1006.0,0.0
25,Vegetative,22.0,28.0,55.0,1005.5,0.0
26,Vegetative,22.4,28.4,54.0,1005.0,0.0
27,Vegetative,22.2,28.2,53.0,1004.5,0.0
28,Vegetative,22.3,28.3,52.0,1004.0,0.0
29,Flowering,22.5,28.5,51.0,1004.0,0.0
30,Flowering,22.6,28.6,50.0,1003.5,0.0
31,Flowering,22.4,28.4,49.0,1003.0,0.0
32,Flowering,22.5,28.5,48.0,1002.8,0.0
33,Flowering,22.7,28.7,47.0,1002.5,0.0
34,Flowering,22.6,28.6,46.0,1002.0,0.0
35,Flowering,22.5,28.5,45.0,1001.5,0.0
36,Fruiting,22.8,28.8,44.0,1001.0,0.0
37,Fruiting,22.9,28.9,43.0,1000.8,0.0
38,Fruiting,22.6,28.6,42.0,1000.5,0.0
39,Fruiting,22.5,28.5,41.0,1000.2,0.0
40,Fruiting,22.9,28.9,40.0,1000.0,0.0
41,Fruiting,22.8,28.8,39.0,999.8,0.0
42,Fruiting,22.6,28.6,38.0,999.5,0.0
43,Fruiting,22.5,28.5,37.0,999.0,0.0
44,Fruiting,22.9,28.9,36.0,998.8,0.0
45,Fruiting,22.6,28.6,35.0,998.5,0.0
46,Fruiting,22.7,28.7,34.0,998.0,0.0
47,Maturation,23.0,29.0,33.0,997.5,0.0
48,Maturation,23.1,29.1,32.0,997.0,0.0
49,Maturation,23.3,29.3,31.0,996.5,0.0
50,Maturation,23.4,29.4,30.0,996.2,0.0
51,Maturation,23.5,29.5,29.0,995.8,0.0
52,Maturation,23.6,29.6,28.0,995.5,0.0
53,Maturation,23.7,29.7,27.0,995.0,0.0
54,Maturation,23.8,29.8,26.0,994.8,0.0
55,Maturation,24.0,30.0,25.0,994.5,0.0
56,Maturation,24.2,30.2,24.0,994.0,0.0
57,Maturation,24.1,30.1,23.0,993.8,0.0
58,Maturation,24.3,30.3,22.0,993.5,0.0
59,Maturation,24.5,30.5,21.0,993.2,0.0
60,Maturation,24.7,30.7,20.0,993.0,0.0
61,Maturation,24.6,30.6,19.0,992.8,0.0
62,Maturation,24.8,30.8,18.0,992.5,0.0
63,Harvesting,25.0,31.0,17.0,992.0,0.0
64,Harvesting,25.1,31.1,16.0,991.5,0.0
65,Harvesting,25.3,31.3,15.0,991.0,0.0
66,Harvesting,25.4,31.4,14.0,990.8,0.0
67,Harvesting,25.2,31.2,13.0,990.5,0.0
68,Harvesting,25.3,31.3,12.0,990.2,0.0
69,Harvesting,25.5,31.5,11.0,990.0,0.0
70,Harvesting,25.4,31.4,10.0,989.8,0.0
71,Harvesting,25.6,31.6,9.0,989.5,0.0
72,Harvesting,25.5,31.5,8.0,989.2,0.0
73,Harvesting,25.4,31.4,7.0,989.0,0.0
74,Harvesting,25.6,31.6,6.0,988.8,0.0
75,Harvesting,25.5,31.5,5.0,988.5,0.0
76,Harvesting,25.3,31.3,4.0,988.2,0.0
77,Harvesting,25.2,31.2,3.0,987.8,0.0
78,Harvesting,25.4,31.4,2.0,987.5,0.0
79,Harvesting,25.5,31.5,1.0,987.2,0.0
80,Harvesting,25.6,31.6,0.0,987.0,0.0
81,Harvesting,25.4,31.4,0.0,986.8,0.0
82,Harvesting,25.3,31.3,0.0,986.5,0.0
83,Harvesting,25.5,31.5,0.0,986.2,0.0
84,Harvesting,25.6,31.6,0.0,985.8,0.0
85,Harvesting,25.4,31.4,0.0,985.5,0.0
86,Harvesting,25.3,31.3,0.0,985.2,0.0
87,Harvesting,25.2,31.2,0.0,985.0,0.0
88,Harvesting,25.5,31.5,0.0,984.5,0.0
89,Harvesting,25.6,31.6,0.0,984.2,0.0
90,Harvesting,25.4,31.4,0.0,983.8,0.0
