Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,15.0,22.0,85.0,1012.0,10.0
2,Germination,15.2,22.2,84.0,1011.5,9.5
3,Germination,15.1,22.1,83.0,1011.0,9.0
4,Germination,15.3,22.3,82.0,1010.5,8.5
5,Germination,15.5,22.5,81.0,1010.0,8.0
6,Germination,15.4,22.4,80.0,1009.5,7.5
7,Germination,15.6,22.6,79.0,1009.0,7.0
8,Germination,15.7,22.7,78.0,1008.5,6.5
9,Germination,15.8,22.8,77.0,1008.0,6.0
10,Germination,15.9,22.9,76.0,1007.5,5.5
11,Seedling,16.0,23.0,75.0,1009.0,5.0
12,Seedling,16.1,23.1,74.0,1008.5,4.5
13,Seedling,16.2,23.2,73.0,1008.0,4.0
14,Seedling,16.3,23.3,72.0,1007.5,3.5
15,Seedling,16.4,23.4,71.0,1007.0,3.0
16,Seedling,16.5,23.5,70.0,1006.5,2.5
17,Vegetative,16.7,23.7,69.0,1006.0,2.0
18,Vegetative,16.8,23.8,68.0,1005.5,1.5
19,Vegetative,17.0,24.0,67.0,1005.0,1.0
20,Vegetative,17.1,24.1,66.0,1004.5,0.5
21,Vegetative,17.2,24.2,65.0,1004.0,0.0
22,Vegetative,17.3,24.3,64.0,1003.5,0.0
23,Vegetative,17.5,24.5,63.0,1003.0,0.0
24,Vegetative,17.6,24.6,62.0,1002.5,0.0
25,Vegetative,17.7,24.7,61.0,1002.0,0.0
26,Vegetative,17.8,24.8,60.0,1001.5,0.0
27,Flowering,18.0,25.0,59.0,1001.0,0.0
28,Flowering,18.1,25.1,58.0,1000.8,0.0
29,Flowering,18.2,25.2,57.0,1000.5,0.0
30,Flowering,18.4,25.4,56.0,1000.0,0.0
31,Flowering,18.5,25.5,55.0,999.8,0.0
32,Flowering,18.6,25.6,54.0,999.5,0.0
33,Flowering,18.7,25.7,53.0,999.0,0.0
34,Flowering,18.9,25.9,52.0,998.8,0.0
35,Fruiting,19.0,26.0,51.0,998.5,0.0
36,Fruiting,19.1,26.1,50.0,998.0,0.0
37,Fruiting,19.2,26.2,49.0,997.5,0.0
38,Fruiting,19.3,26.3,48.0,997.0,0.0
39,Fruiting,19.4,26.4,47.0,996.8,0.0
40,Fruiting,19.5,26.5,46.0,996.5,0.0
41,Fruiting,19.6,26.6,45.0,996.0,0.0
42,Fruiting,19.8,26.8,44.0,995.5,0.0
43,Fruiting,19.9,26.9,43.0,995.0,0.0
44,Fruiting,20.0,27.0,42.0,994.8,0.0
45,Maturation,20.1,27.1,41.0,994.5,0.0
46,Maturation,20.3,27.3,40.0,994.0,0.0
47,Maturation,20.4,27.4,39.0,993.8,0.0
48,Maturation,20.5,27.5,38.0,993.5,0.0
49,Maturation,20.6,27.6,37.0,993.0,0.0
50,Maturation,20.7,27.7,36.0,992.8,0.0
51,Maturation,20.8,27.8,35.0,992.5,0.0
52,Maturation,21.0,28.0,34.0,992.0,0.0
53,Maturation,21.1,28.1,33.0,991.5,0.0
54,Maturation,21.2,28.2,32.0,991.0,0.0
55,Maturation,21.4,28.4,31.0,990.8,0.0
56,Maturation,21.5,28.5,30.0,990.5,0.0
57,Maturation,21.6,28.6,29.0,990.2,0.0
58,Maturation,21.8,28.8,28.0,990.0,0.0
59,Maturation,22.0,29.0,27.0,989.5,0.0
60,Maturation,22.1,29.1,26.0,989.0,0.0
61,Maturation,22.2,29.2,25.0,988.5,0.0
62,Maturation,22.3,29.3,24.0,988.0,0.0
63,Harvesting,22.5,29.5,23.0,987.5,0.0
64,Harvesting,22.6,29.6,22.0,987.0,0.0
65,Harvesting,22.7,29.7,21.0,986.8,0.0
66,Harvesting,22.8,29.8,20.0,986.5,0.0
67,Harvesting,23.0,30.0,19.0,986.2,0.0
68,Harvesting,23.1,30.1,18.0,986.0,0.0
69,Harvesting,23.2,30.2,17.0,985.8,0.0
70,Harvesting,23.3,30.3,16.0,985.5,0.0
71,Harvesting,23.5,30.5,15.0,985.0,0.0
72,Harvesting,23.6,30.6,14.0,984.5,0.0
73,Harvesting,23.7,30.7,13.0,984.0,0.0
74,Harvesting,23.8,30.8,12.0,983.5,0.0
75,Harvesting,24.0,31.0,11.0,983.0,0.0
76,Harvesting,24.1,31.1,10.0,982.5,0.0
77,Harvesting,24.2,31.2,9.0,982.0,0.0
78,Harvesting,24.3,31.3,8.0,981.5,0.0
79,Harvesting,24.5,31.5,7.0,981.0,0.0
80,Harvesting,24.6,31.6,6.0,980.5,0.0
81,Harvesting,24.7,31.7,5.0,980.0,0.0
82,Harvesting,24.8,31.8,4.0,979.5,0.0
83,Harvesting,25.0,32.0,3.0,979.0,0.0
84,Harvesting,25.1,32.1,2.0,978.5,0.0
85,Harvesting,25.2,32.2,1.0,978.0,0.0
86,Harvesting,25.3,32.3,0.0,977.5,0.0
87,Harvesting,25.4,32.4,0.0,977.0,0.0
88,Harvesting,25.5,32.5,0.0,976.5,0.0
89,Harvesting,25.6,32.6,0.0,976.0,0.0
90,Harvesting,25.7,32.7,0.0,975.5,0.0
