Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,18.0,25.0,85.0,1010.0,15.0
2,Germination,18.2,25.2,84.0,1009.5,14.5
3,Germination,18.1,25.1,83.0,1009.0,14.0
4,Germination,18.3,25.3,82.0,1008.5,13.5
5,Germination,18.4,25.4,81.0,1008.0,13.0
6,Germination,18.5,25.5,80.0,1007.5,12.5
7,Germination,18.6,25.6,79.0,1007.0,12.0
8,Germination,18.7,25.7,78.0,1006.5,11.5
9,Germination,18.8,25.8,77.0,1006.0,11.0
10,Germination,18.9,25.9,76.0,1005.5,10.5
11,Seedling,19.0,26.0,75.0,1007.0,10.0
12,Seedling,19.1,26.1,74.0,1006.5,9.5
13,Seedling,19.3,26.3,73.0,1006.0,9.0
14,Seedling,19.4,26.4,72.0,1005.5,8.5
15,Seedling,19.5,26.5,71.0,1005.0,8.0
16,Seedling,19.6,26.6,70.0,1004.5,7.5
17,Vegetative,19.7,26.7,69.0,1004.0,7.0
18,Vegetative,19.8,26.8,68.0,1003.5,6.5
19,Vegetative,20.0,27.0,67.0,1003.0,6.0
20,Vegetative,20.1,27.1,66.0,1002.5,5.5
21,Vegetative,20.2,27.2,65.0,1002.0,5.0
22,Vegetative,20.4,27.4,64.0,1001.5,4.5
23,Vegetative,20.5,27.5,63.0,1001.0,4.0
24,Vegetative,20.6,27.6,62.0,1000.5,3.5
25,Vegetative,20.7,27.7,61.0,1000.0,3.0
26,Vegetative,20.8,27.8,60.0,999.5,2.5
27,Flowering,21.0,28.0,59.0,999.0,2.0
28,Flowering,21.1,28.1,58.0,998.5,1.5
29,Flowering,21.2,28.2,57.0,998.0,1.0
30,Flowering,21.4,28.4,56.0,997.5,0.5
31,Flowering,21.5,28.5,55.0,997.0,0.0
32,Flowering,21.6,28.6,54.0,996.5,0.0
33,Flowering,21.7,28.7,53.0,996.0,0.0
34,Flowering,21.8,28.8,52.0,995.5,0.0
35,Fruiting,22.0,29.0,51.0,995.0,0.0
36,Fruiting,22.1,29.1,50.0,994.8,0.0
37,Fruiting,22.3,29.3,49.0,994.5,0.0
38,Fruiting,22.4,29.4,48.0,994.0,0.0
39,Fruiting,22.5,29.5,47.0,993.5,0.0
40,Fruiting,22.6,29.6,46.0,993.0,0.0
41,Fruiting,22.8,29.8,45.0,992.8,0.0
42,Fruiting,22.9,29.9,44.0,992.5,0.0
43,Fruiting,23.0,30.0,43.0,992.0,0.0
44,Fruiting,23.1,30.1,42.0,991.5,0.0
45,Maturation,23.3,30.3,41.0,991.0,0.0
46,Maturation,23.4,30.4,40.0,990.8,0.0
47,Maturation,23.5,30.5,39.0,990.5,0.0
48,Maturation,23.6,30.6,38.0,990.0,0.0
49,Maturation,23.8,30.8,37.0,989.5,0.0
50,Maturation,23.9,30.9,36.0,989.0,0.0
51,Maturation,24.0,31.0,35.0,988.5,0.0
52,Maturation,24.1,31.1,34.0,988.0,0.0
53,Maturation,24.3,31.3,33.0,987.5,0.0
54,Maturation,24.4,31.4,32.0,987.0,0.0
55,Maturation,24.5,31.5,31.0,986.5,0.0
56,Maturation,24.6,31.6,30.0,986.0,0.0
57,Maturation,24.7,31.7,29.0,985.5,0.0
58,Maturation,24.9,31.9,28.0,985.0,0.0
59,Maturation,25.0,32.0,27.0,984.5,0.0
60,Maturation,25.1,32.1,26.0,984.0,0.0
61,Maturation,25.2,32.2,25.0,983.5,0.0
62,Maturation,25.3,32.3,24.0,983.0,0.0
63,Harvesting,25.5,32.5,23.0,982.5,0.0
64,Harvesting,25.6,32.6,22.0,982.0,0.0
65,Harvesting,25.7,32.7,21.0,981.5,0.0
66,Harvesting,25.8,32.8,20.0,981.0,0.0
67,Harvesting,26.0,33.0,19.0,980.5,0.0
68,Harvesting,26.1,33.1,18.0,980.0,0.0
69,Harvesting,26.2,33.2,17.0,979.5,0.0
70,Harvesting,26.3,33.3,16.0,979.0,0.0
71,Harvesting,26.5,33.5,15.0,978.5,0.0
72,Harvesting,26.6,33.6,14.0,978.0,0.0
73,Harvesting,26.7,33.7,13.0,977.5,0.0
74,Harvesting,26.8,33.8,12.0,977.0,0.0
75,Harvesting,27.0,34.0,11.0,976.5,0.0
76,Harvesting,27.1,34.1,10.0,976.0,0.0
77,Harvesting,27.2,34.2,9.0,975.5,0.0
78,Harvesting,27.3,34.3,8.0,975.0,0.0
79,Harvesting,27.5,34.5,7.0,974.5,0.0
80,Harvesting,27.6,34.6,6.0,974.0,0.0
81,Harvesting,27.7,34.7,5.0,973.5,0.0
82,Harvesting,27.8,34.8,4.0,973.0,0.0
83,Harvesting,28.0,35.0,3.0,972.5,0.0
84,Harvesting,28.1,35.1,2.0,972.0,0.0
85,Harvesting,28.2,35.2,1.0,971.5,0.0
86,Harvesting,28.3,35.3,0.0,971.0,0.0
87,Harvesting,28.4,35.4,0.0,970.5,0.0
88,Harvesting,28.5,35.5,0.0,970.0,0.0
89,Harvesting,28.6,35.6,0.0,969.5,0.0
90,Harvesting,28.7,35.7,0.0,969.0,0.0
