Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,30.0,90.0,1010.0,20.0
2,Germination,20.2,30.2,89.0,1009.5,18.5
3,Germination,20.1,30.1,88.0,1009.0,17.0
4,Germination,20.3,30.3,87.0,1008.5,15.0
5,Germination,20.5,30.5,86.0,1008.0,14.5
6,Germination,20.6,30.6,85.0,1007.5,12.0
7,Germination,20.7,30.7,84.0,1007.0,11.0
8,Germination,20.8,30.8,83.0,1006.5,10.0
9,Germination,20.9,30.9,82.0,1006.0,9.0
10,Germination,21.0,31.0,81.0,1005.5,8.0
11,Seedling,21.2,31.2,80.0,1007.0,7.5
12,Seedling,21.3,31.3,79.0,1006.5,6.5
13,Seedling,21.4,31.4,78.0,1006.0,5.5
14,Seedling,21.5,31.5,77.0,1005.5,5.0
15,Seedling,21.6,31.6,76.0,1005.0,4.5
16,Seedling,21.7,31.7,75.0,1004.5,4.0
17,Vegetative,21.9,31.9,74.0,1004.0,3.5
18,Vegetative,22.0,32.0,73.0,1003.5,3.0
19,Vegetative,22.1,32.1,72.0,1003.0,2.5
20,Vegetative,22.3,32.3,71.0,1002.5,2.0
21,Vegetative,22.4,32.4,70.0,1002.0,1.5
22,Vegetative,22.5,32.5,69.0,1001.5,1.0
23,Vegetative,22.7,32.7,68.0,1001.0,0.5
24,Vegetative,22.8,32.8,67.0,1000.5,0.0
25,Vegetative,22.9,32.9,66.0,1000.0,0.0
26,Vegetative,23.0,33.0,65.0,999.5,0.0
27,Flowering,23.2,33.2,64.0,999.0,0.0
28,Flowering,23.3,33.3,63.0,998.5,0.0
29,Flowering,23.4,33.4,62.0,998.0,0.0
30,Flowering,23.5,33.5,61.0,997.5,0.0
31,Flowering,23.6,33.6,60.0,997.0,0.0
32,Flowering,23.7,33.7,59.0,996.5,0.0
33,Flowering,23.9,33.9,58.0,996.0,0.0
34,Flowering,24.0,34.0,57.0,995.5,0.0
35,Fruiting,24.2,34.2,56.0,995.0,0.0
36,Fruiting,24.3,34.3,55.0,994.8,0.0
37,Fruiting,24.5,34.5,54.0,994.5,0.0
38,Fruiting,24.6,34.6,53.0,994.0,0.0
39,Fruiting,24.7,34.7,52.0,993.5,0.0
40,Fruiting,24.8,34.8,51.0,993.0,0.0
41,Fruiting,25.0,35.0,50.0,992.8,0.0
42,Fruiting,25.1,35.1,49.0,992.5,0.0
43,Fruiting,25.2,35.2,48.0,992.0,0.0
44,Fruiting,25.4,35.4,47.0,991.5,0.0
45,Maturation,25.5,35.5,46.0,991.0,0.0
46,Maturation,25.6,35.6,45.0,990.8,0.0
47,Maturation,25.8,35.8,44.0,990.5,0.0
48,Maturation,25.9,35.9,43.0,990.0,0.0
49,Maturation,26.0,36.0,42.0,989.5,0.0
50,Maturation,26.2,36.2,41.0,989.0,0.0
51,Maturation,26.3,36.3,40.0,988.5,0.0
52,Maturation,26.4,36.4,39.0,988.0,0.0
53,Maturation,26.6,36.6,38.0,987.5,0.0
54,Maturation,26.7,36.7,37.0,987.0,0.0
55,Maturation,26.8,36.8,36.0,986.5,0.0
56,Maturation,27.0,37.0,35.0,986.0,0.0
57,Maturation,27.1,37.1,34.0,985.5,0.0
58,Maturation,27.2,37.2,33.0,985.0,0.0
59,Maturation,27.4,37.4,32.0,984.5,0.0
60,Maturation,27.5,37.5,31.0,984.0,0.0
61,Maturation,27.6,37.6,30.0,983.5,0.0
62,Maturation,27.8,37.8,29.0,983.0,0.0
63,Harvesting,27.9,37.9,28.0,982.5,0.0
64,Harvesting,28.0,38.0,27.0,982.0,0.0
65,Harvesting,28.1,38.1,26.0,981.5,0.0
66,Harvesting,28.3,38.3,25.0,981.0,0.0
67,Harvesting,28.4,38.4,24.0,980.5,0.0
68,Harvesting,28.5,38.5,23.0,980.0,0.0
69,Harvesting,28.6,38.6,22.0,979.5,0.0
70,Harvesting,28.8,38.8,21.0,979.0,0.0
71,Harvesting,28.9,38.9,20.0,978.5,0.0
72,Harvesting,29.0,39.0,19.0,978.0,0.0
73,Harvesting,29.1,39.1,18.0,977.5,0.0
74,Harvesting,29.3,39.3,17.0,977.0,0.0
75,Harvesting,29.4,39.4,16.0,976.5,0.0
76,Harvesting,29.5,39.5,15.0,976.0,0.0
77,Harvesting,29.6,39.6,14.0,975.5,0.0
78,Harvesting,29.7,39.7,13.0,975.0,0.0
79,Harvesting,29.8,39.8,12.0,974.5,0.0
80,Harvesting,30.0,40.0,11.0,974.0,0.0
81,Harvesting,30.1,40.1,10.0,973.5,0.0
82,Harvesting,30.2,40.2,9.0,973.0,0.0
83,Harvesting,30.3,40.3,8.0,972.5,0.0
84,Harvesting,30.4,40.4,7.0,972.0,0.0
85,Harvesting,30.5,40.5,6.0,971.5,0.0
86,Harvesting,30.6,40.6,5.0,971.0,0.0
87,Harvesting,30.7,40.7,4.0,970.5,0.0
88,Harvesting,30.8,40.8,3.0,970.0,0.0
89,Harvesting,30.9,40.9,2.0,969.5,0.0
90,Harvesting,31.0,41.0,1.0,969.0,0.0
