Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,30.0,80.0,1010.0,10.0
2,Germination,20.2,30.2,79.0,1009.5,12.0
3,Germination,20.3,30.3,78.0,1009.0,14.0
4,Germination,20.4,30.4,77.0,1008.5,16.0
5,Germination,20.5,30.5,76.0,1008.0,18.0
6,Germination,20.6,30.6,75.0,1007.5,20.0
7,Germination,20.7,30.7,74.0,1007.0,22.0
8,Germination,20.8,30.8,73.0,1006.5,24.0
9,Germination,21.0,31.0,72.0,1006.0,26.0
10,Germination,21.1,31.1,71.0,1005.5,28.0
11,Seedling,21.2,31.2,70.0,1005.0,30.0
12,Seedling,21.3,31.3,69.0,1005.0,32.0
13,Seedling,21.4,31.4,68.0,1004.5,34.0
14,Seedling,21.5,31.5,67.0,1004.0,36.0
15,Seedling,21.6,31.6,66.0,1003.5,38.0
16,Vegetative,21.7,31.7,65.0,1003.0,40.0
17,Vegetative,21.8,31.8,64.0,1002.5,42.0
18,Vegetative,21.9,31.9,63.0,1002.0,44.0
19,Vegetative,22.0,32.0,62.0,1001.5,46.0
20,Vegetative,22.1,32.1,61.0,1001.0,48.0
21,Vegetative,22.3,32.3,60.0,1000.5,50.0
22,Vegetative,22.4,32.4,59.0,1000.0,52.0
23,Vegetative,22.5,32.5,58.0,999.5,54.0
24,Vegetative,22.6,32.6,57.0,999.0,56.0
25,Vegetative,22.8,32.8,56.0,998.5,58.0
26,Flowering,22.9,32.9,55.0,998.0,60.0
27,Flowering,23.0,33.0,54.0,997.5,62.0
28,Flowering,23.1,33.1,53.0,997.0,64.0
29,Flowering,23.3,33.3,52.0,996.5,66.0
30,Flowering,23.4,33.4,51.0,996.0,68.0
31,Flowering,23.5,33.5,50.0,995.5,70.0
32,Flowering,23.6,33.6,49.0,995.0,72.0
33,Flowering,23.8,33.8,48.0,994.5,74.0
34,Flowering,23.9,33.9,47.0,994.0,76.0
35,Fruiting,24.0,34.0,46.0,993.5,78.0
36,Fruiting,24.1,34.1,45.0,993.0,80.0
37,Fruiting,24.3,34.3,44.0,992.5,82.0
38,Fruiting,24.4,34.4,43.0,992.0,84.0
39,Fruiting,24.5,34.5,42.0,991.5,86.0
40,Fruiting,24.6,34.6,41.0,991.0,88.0
41,Fruiting,24.8,34.8,40.0,990.5,90.0
42,Fruiting,24.9,34.9,39.0,990.0,92.0
43,Fruiting,25.0,35.0,38.0,989.5,94.0
44,Fruiting,25.1,35.1,37.0,989.0,96.0
45,Maturation,25.3,35.3,36.0,988.5,98.0
46,Maturation,25.4,35.4,35.0,988.0,100.0
47,Maturation,25.5,35.5,34.0,987.5,102.0
48,Maturation,25.7,35.7,33.0,987.0,104.0
49,Maturation,25.8,35.8,32.0,986.5,106.0
50,Maturation,25.9,35.9,31.0,986.0,108.0
51,Maturation,26.0,36.0,30.0,985.5,110.0
52,Maturation,26.2,36.2,29.0,985.0,112.0
53,Maturation,26.3,36.3,28.0,984.5,114.0
54,Maturation,26.4,36.4,27.0,984.0,116.0
55,Maturation,26.6,36.6,26.0,983.5,118.0
56,Maturation,26.7,36.7,25.0,983.0,120.0
57,Maturation,26.8,36.8,24.0,982.5,122.0
58,Maturation,27.0,37.0,23.0,982.0,124.0
59,Maturation,27.1,37.1,22.0,981.5,126.0
60,Maturation,27.2,37.2,21.0,981.0,128.0
61,Maturation,27.4,37.4,20.0,980.5,130.0
62,Maturation,27.5,37.5,19.0,980.0,132.0
63,Maturation,27.6,37.6,18.0,979.5,134.0
64,Harvesting,27.8,37.8,17.0,979.0,136.0
65,Harvesting,27.9,37.9,16.0,978.5,138.0
66,Harvesting,28.0,38.0,15.0,978.0,140.0
67,Harvesting,28.1,38.1,14.0,977.5,142.0
68,Harvesting,28.3,38.3,13.0,977.0,144.0
69,Harvesting,28.4,38.4,12.0,976.5,146.0
70,Harvesting,28.5,38.5,11.0,976.0,148.0
71,Harvesting,28.6,38.6,10.0,975.5,150.0
72,Harvesting,28.7,38.7,9.0,975.0,152.0
73,Harvesting,28.8,38.8,8.0,974.5,154.0
74,Harvesting,29.0,39.0,7.0,974.0,156.0
75,Harvesting,29.1,39.1,6.0,973.5,158.0
76,Harvesting,29.2,39.2,5.0,973.0,160.0
77,Harvesting,29.3,39.3,4.0,972.5,162.0
78,Harvesting,29.5,39.5,3.0,972.0,164.0
79,Harvesting,29.6,39.6,2.0,971.5,166.0
80,Harvesting,29.7,39.7,1.0,971.0,168.0
81,Harvesting,29.8,39.8,0.0,970.5,170.0
82,Harvesting,29.9,39.9,0.0,970.0,172.0
83,Harvesting,30.0,40.0,0.0,969.5,174.0
84,Harvesting,30.1,40.1,0.0,969.0,176.0
85,Harvesting,30.3,40.3,0.0,968.5,178.0
86,Harvesting,30.4,40.4,0.0,968.0,180.0
87,Harvesting,30.5,40.5,0.0,967.5,182.0
88,Harvesting,30.6,40.6,0.0,967.0,184.0
89,Harvesting,30.7,40.7,0.0,966.5,186.0
90,Harvesting,30.8,40.8,0.0,966.0,188.0
