Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,15.0,25.0,80.0,1012.0,5.0
2,Germination,15.1,25.1,79.0,1011.5,6.0
3,Germination,15.2,25.2,78.0,1011.0,7.0
4,Germination,15.3,25.3,77.0,1010.5,8.0
5,Germination,15.5,25.5,76.0,1010.0,9.0
6,Germination,15.6,25.6,75.0,1009.5,10.0
7,Germination,15.7,25.7,74.0,1009.0,11.0
8,Germination,15.8,25.8,73.0,1008.5,12.0
9,Germination,16.0,26.0,72.0,1008.0,13.0
10,Germination,16.1,26.1,71.0,1007.5,14.0
11,Seedling,16.3,26.3,70.0,1007.0,15.0
12,Seedling,16.4,26.4,69.0,1006.5,16.0
13,Seedling,16.5,26.5,68.0,1006.0,17.0
14,Seedling,16.6,26.6,67.0,1005.5,18.0
15,Seedling,16.8,26.8,66.0,1005.0,19.0
16,Vegetative,16.9,26.9,65.0,1004.5,20.0
17,Vegetative,17.0,27.0,64.0,1004.0,21.0
18,Vegetative,17.1,27.1,63.0,1003.5,22.0
19,Vegetative,17.3,27.3,62.0,1003.0,23.0
20,Vegetative,17.4,27.4,61.0,1002.5,24.0
21,Vegetative,17.5,27.5,60.0,1002.0,25.0
22,Vegetative,17.7,27.7,59.0,1001.5,26.0
23,Vegetative,17.8,27.8,58.0,1001.0,27.0
24,Vegetative,17.9,27.9,57.0,1000.5,28.0
25,Vegetative,18.0,28.0,56.0,1000.0,29.0
26,Flowering,18.2,28.2,55.0,999.5,30.0
27,Flowering,18.3,28.3,54.0,999.0,31.0
28,Flowering,18.4,28.4,53.0,998.5,32.0
29,Flowering,18.5,28.5,52.0,998.0,33.0
30,Flowering,18.7,28.7,51.0,997.5,34.0
31,Flowering,18.8,28.8,50.0,997.0,35.0
32,Flowering,19.0,29.0,49.0,996.5,36.0
33,Flowering,19.1,29.1,48.0,996.0,37.0
34,Flowering,19.2,29.2,47.0,995.5,38.0
35,Fruiting,19.3,29.3,46.0,995.0,39.0
36,Fruiting,19.5,29.5,45.0,994.5,40.0
37,Fruiting,19.6,29.6,44.0,994.0,41.0
38,Fruiting,19.7,29.7,43.0,993.5,42.0
39,Fruiting,19.8,29.8,42.0,993.0,43.0
40,Fruiting,20.0,30.0,41.0,992.5,44.0
41,Fruiting,20.1,30.1,40.0,992.0,45.0
42,Fruiting,20.2,30.2,39.0,991.5,46.0
43,Fruiting,20.4,30.4,38.0,991.0,47.0
44,Fruiting,20.5,30.5,37.0,990.5,48.0
45,Maturation,20.6,30.6,36.0,990.0,49.0
46,Maturation,20.7,30.7,35.0,989.5,50.0
47,Maturation,20.8,30.8,34.0,989.0,51.0
48,Maturation,21.0,31.0,33.0,988.5,52.0
49,Maturation,21.1,31.1,32.0,988.0,53.0
50,Maturation,21.3,31.3,31.0,987.5,54.0
51,Maturation,21.4,31.4,30.0,987.0,55.0
52,Maturation,21.5,31.5,29.0,986.5,56.0
53,Maturation,21.7,31.7,28.0,986.0,57.0
54,Maturation,21.8,31.8,27.0,985.5,58.0
55,Maturation,22.0,32.0,26.0,985.0,59.0
56,Maturation,22.1,32.1,25.0,984.5,60.0
57,Maturation,22.2,32.2,24.0,984.0,61.0
58,Maturation,22.4,32.4,23.0,983.5,62.0
59,Maturation,22.5,32.5,22.0,983.0,63.0
60,Maturation,22.6,32.6,21.0,982.5,64.0
61,Maturation,22.8,32.8,20.0,982.0,65.0
62,Maturation,22.9,32.9,19.0,981.5,66.0
63,Maturation,23.0,33.0,18.0,981.0,67.0
64,Harvesting,23.2,33.2,17.0,980.5,68.0
65,Harvesting,23.3,33.3,16.0,980.0,69.0
66,Harvesting,23.5,33.5,15.0,979.5,70.0
67,Harvesting,23.6,33.6,14.0,979.0,71.0
68,Harvesting,23.7,33.7,13.0,978.5,72.0
69,Harvesting,23.8,33.8,12.0,978.0,73.0
70,Harvesting,24.0,34.0,11.0,977.5,74.0
71,Harvesting,24.1,34.1,10.0,977.0,75.0
72,Harvesting,24.3,34.3,9.0,976.5,76.0
73,Harvesting,24.4,34.4,8.0,976.0,77.0
74,Harvesting,24.5,34.5,7.0,975.5,78.0
75,Harvesting,24.7,34.7,6.0,975.0,79.0
76,Harvesting,24.8,34.8,5.0,974.5,80.0
77,Harvesting,24.9,34.9,4.0,974.0,81.0
78,Harvesting,25.0,35.0,3.0,973.5,82.0
79,Harvesting,25.2,35.2,2.0,973.0,83.0
80,Harvesting,25.3,35.3,1.0,972.5,84.0
81,Harvesting,25.5,35.5,0.0,972.0,85.0
82,Harvesting,25.6,35.6,0.0,971.5,86.0
83,Harvesting,25.7,35.7,0.0,971.0,87.0
84,Harvesting,25.8,35.8,0.0,970.5,88.0
85,Harvesting,26.0,36.0,0.0,970.0,89.0
86,Harvesting,26.1,36.1,0.0,969.5,90.0
87,Harvesting,26.3,36.3,0.0,969.0,91.0
88,Harvesting,26.4,36.4,0.0,968.5,92.0
89,Harvesting,26.5,36.5,0.0,968.0,93.0
90,Harvesting,26.6,36.6,0.0,967.5,94.0
