Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,30.0,80.0,1012.0,10.0
2,Germination,20.1,30.1,79.0,1011.5,11.0
3,Germination,20.2,30.2,78.0,1011.0,12.0
4,Germination,20.3,30.3,77.0,1010.5,13.0
5,Germination,20.5,30.5,76.0,1010.0,14.0
6,Germination,20.6,30.6,75.0,1009.5,15.0
7,Germination,20.7,30.7,74.0,1009.0,16.0
8,Germination,20.8,30.8,73.0,1008.5,17.0
9,Germination,21.0,31.0,72.0,1008.0,18.0
10,Germination,21.1,31.1,71.0,1007.5,19.0
11,Seedling,21.2,31.2,70.0,1007.0,20.0
12,Seedling,21.3,31.3,69.0,1006.5,21.0
13,Seedling,21.5,31.5,68.0,1006.0,22.0
14,Seedling,21.6,31.6,67.0,1005.5,23.0
15,Seedling,21.8,31.8,66.0,1005.0,24.0
16,Vegetative,21.9,31.9,65.0,1004.5,25.0
17,Vegetative,22.0,32.0,64.0,1004.0,26.0
18,Vegetative,22.1,32.1,63.0,1003.5,27.0
19,Vegetative,22.3,32.3,62.0,1003.0,28.0
20,Vegetative,22.4,32.4,61.0,1002.5,29.0
21,Vegetative,22.5,32.5,60.0,1002.0,30.0
22,Vegetative,22.7,32.7,59.0,1001.5,31.0
23,Vegetative,22.8,32.8,58.0,1001.0,32.0
24,Vegetative,23.0,33.0,57.0,1000.5,33.0
25,Vegetative,23.1,33.1,56.0,1000.0,34.0
26,Flowering,23.3,33.3,55.0,999.5,35.0
27,Flowering,23.4,33.4,54.0,999.0,36.0
28,Flowering,23.5,33.5,53.0,998.5,37.0
29,Flowering,23.6,33.6,52.0,998.0,38.0
30,Flowering,23.8,33.8,51.0,997.5,39.0
31,Flowering,23.9,33.9,50.0,997.0,40.0
32,Flowering,24.0,34.0,49.0,996.5,41.0
33,Flowering,24.2,34.2,48.0,996.0,42.0
34,Flowering,24.3,34.3,47.0,995.5,43.0
35,Fruiting,24.4,34.4,46.0,995.0,44.0
36,Fruiting,24.6,34.6,45.0,994.5,45.0
37,Fruiting,24.7,34.7,44.0,994.0,46.0
38,Fruiting,24.8,34.8,43.0,993.5,47.0
39,Fruiting,25.0,35.0,42.0,993.0,48.0
40,Fruiting,25.1,35.1,41.0,992.5,49.0
41,Fruiting,25.2,35.2,40.0,992.0,50.0
42,Fruiting,25.4,35.4,39.0,991.5,51.0
43,Fruiting,25.5,35.5,38.0,991.0,52.0
44,Fruiting,25.6,35.6,37.0,990.5,53.0
45,Maturation,25.8,35.8,36.0,990.0,54.0
46,Maturation,25.9,35.9,35.0,989.5,55.0
47,Maturation,26.0,36.0,34.0,989.0,56.0
48,Maturation,26.2,36.2,33.0,988.5,57.0
49,Maturation,26.3,36.3,32.0,988.0,58.0
50,Maturation,26.5,36.5,31.0,987.5,59.0
51,Maturation,26.6,36.6,30.0,987.0,60.0
52,Maturation,26.7,36.7,29.0,986.5,61.0
53,Maturation,26.9,36.9,28.0,986.0,62.0
54,Maturation,27.0,37.0,27.0,985.5,63.0
55,Maturation,27.1,37.1,26.0,985.0,64.0
56,Maturation,27.3,37.3,25.0,984.5,65.0
57,Maturation,27.4,37.4,24.0,984.0,66.0
58,Maturation,27.5,37.5,23.0,983.5,67.0
59,Maturation,27.6,37.6,22.0,983.0,68.0
60,Maturation,27.8,37.8,21.0,982.5,69.0
61,Maturation,27.9,37.9,20.0,982.0,70.0
62,Maturation,28.0,38.0,19.0,981.5,71.0
63,Maturation,28.2,38.2,18.0,981.0,72.0
64,Harvesting,28.3,38.3,17.0,980.5,73.0
65,Harvesting,28.4,38.4,16.0,980.0,74.0
66,Harvesting,28.6,38.6,15.0,979.5,75.0
67,Harvesting,28.7,38.7,14.0,979.0,76.0
68,Harvesting,28.8,38.8,13.0,978.5,77.0
69,Harvesting,29.0,39.0,12.0,978.0,78.0
70,Harvesting,29.1,39.1,11.0,977.5,79.0
71,Harvesting,29.2,39.2,10.0,977.0,80.0
72,Harvesting,29.4,39.4,9.0,976.5,81.0
73,Harvesting,29.5,39.5,8.0,976.0,82.0
74,Harvesting,29.6,39.6,7.0,975.5,83.0
75,Harvesting,29.7,39.7,6.0,975.0,84.0
76,Harvesting,29.8,39.8,5.0,974.5,85.0
77,Harvesting,30.0,40.0,4.0,974.0,86.0
78,Harvesting,30.1,40.1,3.0,973.5,87.0
79,Harvesting,30.2,40.2,2.0,973.0,88.0
80,Harvesting,30.4,40.4,1.0,972.5,89.0
81,Harvesting,30.5,40.5,0.0,972.0,90.0
82,Harvesting,30.6,40.6,0.0,971.5,91.0
83,Harvesting,30.8,40.8,0.0,971.0,92.0
84,Harvesting,30.9,40.9,0.0,970.5,93.0
85,Harvesting,31.0,41.0,0.0,970.0,94.0
86,Harvesting,31.1,41.1,0.0,969.5,95.0
87,Harvesting,31.3,41.3,0.0,969.0,96.0
88,Harvesting,31.4,41.4,0.0,968.5,97.0
89,Harvesting,31.5,41.5,0.0,968.0,98.0
90,Harvesting,31.6,41.6,0.0,967.5,99.0
