Day,Growth Stage,Min Temp (°C),Max Temp (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,12.0,22.0,85.0,1012.0,10.0
2,Germination,12.1,22.1,84.0,1011.5,11.0
3,Germination,12.2,22.2,83.0,1011.0,12.0
4,Germination,12.3,22.3,82.0,1010.5,13.0
5,Germination,12.4,22.4,81.0,1010.0,14.0
6,Germination,12.5,22.5,80.0,1009.5,15.0
7,Germination,12.6,22.6,79.0,1009.0,16.0
8,Germination,12.7,22.7,78.0,1008.5,17.0
9,Germination,12.8,22.8,77.0,1008.0,18.0
10,Germination,13.0,23.0,76.0,1007.5,19.0
11,Seedling,13.1,23.1,75.0,1007.0,20.0
12,Seedling,13.2,23.2,74.0,1006.5,21.0
13,Seedling,13.3,23.3,73.0,1006.0,22.0
14,Seedling,13.4,23.4,72.0,1005.5,23.0
15,Seedling,13.5,23.5,71.0,1005.0,24.0
16,Vegetative,13.6,23.6,70.0,1004.5,25.0
17,Vegetative,13.8,23.8,69.0,1004.0,26.0
18,Vegetative,13.9,23.9,68.0,1003.5,27.0
19,Vegetative,14.0,24.0,67.0,1003.0,28.0
20,Vegetative,14.1,24.1,66.0,1002.5,29.0
21,Vegetative,14.3,24.3,65.0,1002.0,30.0
22,Vegetative,14.4,24.4,64.0,1001.5,31.0
23,Vegetative,14.5,24.5,63.0,1001.0,32.0
24,Vegetative,14.6,24.6,62.0,1000.5,33.0
25,Flowering,14.8,24.8,61.0,1000.0,34.0
26,Flowering,14.9,24.9,60.0,999.5,35.0
27,Flowering,15.0,25.0,59.0,999.0,36.0
28,Flowering,15.1,25.1,58.0,998.5,37.0
29,Flowering,15.3,25.3,57.0,998.0,38.0
30,Flowering,15.4,25.4,56.0,997.5,39.0
31,Flowering,15.5,25.5,55.0,997.0,40.0
32,Flowering,15.6,25.6,54.0,996.5,41.0
33,Flowering,15.8,25.8,53.0,996.0,42.0
34,Fruiting,15.9,25.9,52.0,995.5,43.0
35,Fruiting,16.0,26.0,51.0,995.0,44.0
36,Fruiting,16.1,26.1,50.0,994.5,45.0
37,Fruiting,16.2,26.2,49.0,994.0,46.0
38,Fruiting,16.4,26.4,48.0,993.5,47.0
39,Fruiting,16.5,26.5,47.0,993.0,48.0
40,Fruiting,16.6,26.6,46.0,992.5,49.0
41,Fruiting,16.8,26.8,45.0,992.0,50.0
42,Fruiting,16.9,26.9,44.0,991.5,51.0
43,Fruiting,17.0,27.0,43.0,991.0,52.0
44,Fruiting,17.2,27.2,42.0,990.5,53.0
45,Maturation,17.3,27.3,41.0,990.0,54.0
46,Maturation,17.4,27.4,40.0,989.5,55.0
47,Maturation,17.5,27.5,39.0,989.0,56.0
48,Maturation,17.7,27.7,38.0,988.5,57.0
49,Maturation,17.8,27.8,37.0,988.0,58.0
50,Maturation,18.0,28.0,36.0,987.5,59.0
51,Maturation,18.1,28.1,35.0,987.0,60.0
52,Maturation,18.2,28.2,34.0,986.5,61.0
53,Maturation,18.4,28.4,33.0,986.0,62.0
54,Maturation,18.5,28.5,32.0,985.5,63.0
55,Maturation,18.6,28.6,31.0,985.0,64.0
56,Maturation,18.8,28.8,30.0,984.5,65.0
57,Maturation,18.9,28.9,29.0,984.0,66.0
58,Maturation,19.0,29.0,28.0,983.5,67.0
59,Maturation,19.2,29.2,27.0,983.0,68.0
60,Maturation,19.3,29.3,26.0,982.5,69.0
61,Maturation,19.5,29.5,25.0,982.0,70.0
62,Maturation,19.6,29.6,24.0,981.5,71.0
63,Maturation,19.7,29.7,23.0,981.0,72.0
64,Harvesting,19.8,29.8,22.0,980.5,73.0
65,Harvesting,20.0,30.0,21.0,980.0,74.0
66,Harvesting,20.1,30.1,20.0,979.5,75.0
67,Harvesting,20.3,30.3,19.0,979.0,76.0
68,Harvesting,20.4,30.4,18.0,978.5,77.0
69,Harvesting,20.5,30.5,17.0,978.0,78.0
70,Harvesting,20.6,30.6,16.0,977.5,79.0
71,Harvesting,20.8,30.8,15.0,977.0,80.0
72,Harvesting,20.9,30.9,14.0,976.5,81.0
73,Harvesting,21.0,31.0,13.0,976.0,82.0
74,Harvesting,21.2,31.2,12.0,975.5,83.0
75,Harvesting,21.3,31.3,11.0,975.0,84.0
76,Harvesting,21.4,31.4,10.0,974.5,85.0
77,Harvesting,21.6,31.6,9.0,974.0,86.0
78,Harvesting,21.7,31.7,8.0,973.5,87.0
79,Harvesting,21.8,31.8,7.0,973.0,88.0
80,Harvesting,22.0,32.0,6.0,972.5,89.0
81,Harvesting,22.1,32.1,5.0,972.0,90.0
82,Harvesting,22.3,32.3,4.0,971.5,91.0
83,Harvesting,22.4,32.4,3.0,971.0,92.0
84,Harvesting,22.5,32.5,2.0,970.5,93.0
85,Harvesting,22.7,32.7,1.0,970.0,94.0
86,Harvesting,22.8,32.8,0.0,969.5,95.0
87,Harvesting,23.0,33.0,0.0,969.0,96.0
88,Harvesting,23.1,33.1,0.0,968.5,97.0
89,Harvesting,23.2,33.2,0.0,968.0,98.0
90,Harvesting,23.4,33.4,0.0,967.5,99.0
