Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,5.0,15.0,70.0,1013.0,5.0
2,Germination,5.1,15.1,70.5,1012.5,4.0
3,Germination,5.2,15.2,71.0,1012.0,3.0
4,Germination,5.3,15.3,71.5,1011.5,6.0
5,Germination,5.4,15.4,72.0,1011.0,2.0
6,Germination,5.5,15.5,72.5,1010.5,1.0
7,Seedling,6.0,16.0,73.0,1010.0,0.5
8,Seedling,6.1,16.1,73.5,1009.5,0.0
9,Seedling,6.2,16.2,74.0,1009.0,0.0
10,Seedling,6.3,16.3,74.5,1008.5,0.0
11,Seedling,6.4,16.4,75.0,1008.0,0.0
12,Tillering,7.0,17.0,75.5,1007.5,0.0
13,Tillering,7.1,17.1,76.0,1007.0,0.0
14,Tillering,7.2,17.2,76.5,1006.5,0.0
15,Tillering,7.3,17.3,77.0,1006.0,0.0
16,Tillering,7.4,17.4,77.5,1005.5,0.0
17,Tillering,7.5,17.5,78.0,1005.0,0.0
18,Tillering,8.0,18.0,78.5,1004.5,0.0
19,Tillering,8.1,18.1,79.0,1004.0,0.0
20,Tillering,8.2,18.2,79.5,1003.5,0.0
21,Tillering,8.3,18.3,80.0,1003.0,0.0
22,Tillering,8.4,18.4,80.5,1002.5,0.0
23,Jointing,9.0,19.0,81.0,1002.0,0.0
24,Jointing,9.1,19.1,81.5,1001.5,0.0
25,Jointing,9.2,19.2,82.0,1001.0,0.0
26,Jointing,9.3,19.3,82.5,1000.5,0.0
27,Jointing,9.4,19.4,83.0,1000.0,0.0
28,Jointing,9.5,19.5,83.5,999.5,0.0
29,Heading,10.0,20.0,84.0,999.0,0.0
30,Heading,10.1,20.1,84.5,998.5,0.0
31,Heading,10.2,20.2,85.0,998.0,0.0
32,Heading,10.3,20.3,85.5,997.5,0.0
33,Heading,10.4,20.4,86.0,997.0,0.0
34,Heading,10.5,20.5,86.5,996.5,0.0
35,Heading,11.0,21.0,87.0,996.0,0.0
36,Heading,11.1,21.1,87.5,995.5,0.0
37,Heading,11.2,21.2,88.0,995.0,0.0
38,Heading,11.3,21.3,88.5,994.5,0.0
39,Heading,11.4,21.4,89.0,994.0,0.0
40,Heading,11.5,21.5,89.5,993.5,0.0
41,Flowering,12.0,22.0,90.0,993.0,0.0
42,Flowering,12.1,22.1,90.5,992.5,0.0
43,Flowering,12.2,22.2,91.0,992.0,0.0
44,Flowering,12.3,22.3,91.5,991.5,0.0
45,Flowering,12.4,22.4,92.0,991.0,0.0
46,Flowering,12.5,22.5,92.5,990.5,0.0
47,Flowering,13.0,23.0,93.0,990.0,0.0
48,Flowering,13.1,23.1,93.5,989.5,0.0
49,Flowering,13.2,23.2,94.0,989.0,0.0
50,Flowering,13.3,23.3,94.5,988.5,0.0
51,Flowering,13.4,23.4,95.0,988.0,0.0
52,Grain Filling,14.0,24.0,95.5,987.5,0.0
53,Grain Filling,14.1,24.1,96.0,987.0,0.0
54,Grain Filling,14.2,24.2,96.5,986.5,0.0
55,Grain Filling,14.3,24.3,97.0,986.0,0.0
56,Grain Filling,14.4,24.4,97.5,985.5,0.0
57,Grain Filling,14.5,24.5,98.0,985.0,0.0
58,Grain Filling,15.0,25.0,98.5,984.5,0.0
59,Grain Filling,15.1,25.1,99.0,984.0,0.0
60,Grain Filling,15.2,25.2,99.5,983.5,0.0
61,Grain Filling,15.3,25.3,100.0,983.0,0.0
62,Grain Filling,15.4,25.4,100.5,982.5,0.0
63,Grain Filling,15.5,25.5,101.0,982.0,0.0
64,Harvesting,16.0,26.0,101.5,981.5,0.0
65,Harvesting,16.1,26.1,102.0,981.0,0.0
66,Harvesting,16.2,26.2,102.5,980.5,0.0
67,Harvesting,16.3,26.3,103.0,980.0,0.0
68,Harvesting,16.4,26.4,103.5,979.5,0.0
69,Harvesting,16.5,26.5,104.0,979.0,0.0
70,Harvesting,17.0,27.0,104.5,978.5,0.0
71,Harvesting,17.1,27.1,105.0,978.0,0.0
72,Harvesting,17.2,27.2,105.5,977.5,0.0
73,Harvesting,17.3,27.3,106.0,977.0,0.0
74,Harvesting,17.4,27.4,106.5,976.5,0.0
75,Harvesting,17.5,27.5,107.0,976.0,0.0
76,Harvesting,18.0,28.0,107.5,975.5,0.0
77,Harvesting,18.1,28.1,108.0,975.0,0.0
78,Harvesting,18.2,28.2,108.5,974.5,0.0
79,Harvesting,18.3,28.3,109.0,974.0,0.0
80,Harvesting,18.4,28.4,109.5,973.5,0.0
81,Harvesting,18.5,28.5,110.0,973.0,0.0
82,Harvesting,19.0,29.0,110.5,972.5,0.0
83,Harvesting,19.1,29.1,111.0,972.0,0.0
84,Harvesting,19.2,29.2,111.5,971.5,0.0
85,Harvesting,19.3,29.3,112.0,971.0,0.0
86,Harvesting,19.4,29.4,112.5,970.5,0.0
87,Harvesting,19.5,29.5,113.0,970.0,0.0
88,Harvesting,20.0,30.0,113.5,969.5,0.0
89,Harvesting,20.1,30.1,114.0,969.0,0.0
90,Harvesting,20.2,30.2,114.5,968.5,0.0
91,Harvesting,20.3,30.3,115.0,968.0,0.0
92,Harvesting,20.4,30.4,115.5,967.5,0.0
93,Harvesting,20.5,30.5,116.0,967.0,0.0
94,Harvesting,21.0,31.0,116.5,966.5,0.0
95,Harvesting,21.1,31.1,117.0,966.0,0.0
96,Harvesting,21.2,31.2,117.5,965.5,0.0
