Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,5.0,15.0,70.0,1012.0,5.0
2,Seedling,5.1,15.1,71.0,1011.5,6.0
3,Seedling,5.2,15.2,72.0,1011.0,5.0
4,Seedling,5.3,15.3,73.0,1010.5,4.0
5,Seedling,5.4,15.4,74.0,1010.0,3.0
6,Seedling,5.5,15.5,75.0,1009.5,5.0
7,Seedling,5.6,15.6,76.0,1009.0,4.0
8,Seedling,5.7,15.7,77.0,1008.5,6.0
9,Seedling,5.8,15.8,78.0,1008.0,5.0
10,Seedling,5.9,15.9,79.0,1007.5,4.0
11,Vegetative,6.0,16.0,70.0,1007.0,6.0
12,Vegetative,6.1,16.1,71.0,1006.5,5.0
13,Vegetative,6.2,16.2,72.0,1006.0,4.0
14,Vegetative,6.3,16.3,73.0,1005.5,3.0
15,Vegetative,6.4,16.4,74.0,1005.0,5.0
16,Vegetative,6.5,16.5,75.0,1004.5,4.0
17,Vegetative,6.6,16.6,76.0,1004.0,6.0
18,Vegetative,6.7,16.7,77.0,1003.5,5.0
19,Vegetative,6.8,16.8,78.0,1003.0,4.0
20,Vegetative,6.9,16.9,79.0,1002.5,3.0
21,Flowering,7.0,17.0,70.0,1002.0,6.0
22,Flowering,7.1,17.1,71.0,1001.5,5.0
23,Flowering,7.2,17.2,72.0,1001.0,4.0
24,Flowering,7.3,17.3,73.0,1000.5,3.0
25,Flowering,7.4,17.4,74.0,1000.0,5.0
26,Flowering,7.5,17.5,75.0,999.5,4.0
27,Flowering,7.6,17.6,76.0,999.0,6.0
28,Flowering,7.7,17.7,77.0,998.5,5.0
29,Flowering,7.8,17.8,78.0,998.0,4.0
30,Flowering,7.9,17.9,79.0,997.5,3.0
31,Fruiting,8.0,18.0,70.0,997.0,6.0
32,Fruiting,8.1,18.1,71.0,996.5,5.0
33,Fruiting,8.2,18.2,72.0,996.0,4.0
34,Fruiting,8.3,18.3,73.0,995.5,3.0
35,Fruiting,8.4,18.4,74.0,995.0,5.0
36,Fruiting,8.5,18.5,75.0,994.5,4.0
37,Fruiting,8.6,18.6,76.0,994.0,6.0
38,Fruiting,8.7,18.7,77.0,993.5,5.0
39,Fruiting,8.8,18.8,78.0,993.0,4.0
40,Fruiting,8.9,18.9,79.0,992.5,3.0
41,Mature,9.0,19.0,70.0,992.0,6.0
42,Mature,9.1,19.1,71.0,991.5,5.0
43,Mature,9.2,19.2,72.0,991.0,4.0
44,Mature,9.3,19.3,73.0,990.5,3.0
45,Mature,9.4,19.4,74.0,990.0,5.0
46,Mature,9.5,19.5,75.0,989.5,4.0
47,Mature,9.6,19.6,76.0,989.0,6.0
48,Mature,9.7,19.7,77.0,988.5,5.0
49,Mature,9.8,19.8,78.0,988.0,4.0
50,Mature,9.9,19.9,79.0,987.5,3.0
51,Mature,10.0,20.0,70.0,987.0,6.0
52,Mature,10.1,20.1,71.0,986.5,5.0
53,Mature,10.2,20.2,72.0,986.0,4.0
54,Mature,10.3,20.3,73.0,985.5,3.0
55,Mature,10.4,20.4,74.0,985.0,5.0
56,Mature,10.5,20.5,75.0,984.5,4.0
57,Mature,10.6,20.6,76.0,984.0,6.0
58,Mature,10.7,20.7,77.0,983.5,5.0
59,Mature,10.8,20.8,78.0,983.0,4.0
60,Mature,10.9,20.9,79.0,982.5,3.0
61,Mature,11.0,21.0,70.0,982.0,6.0
62,Mature,11.1,21.1,71.0,981.5,5.0
63,Mature,11.2,21.2,72.0,981.0,4.0
64,Mature,11.3,21.3,73.0,980.5,3.0
65,Mature,11.4,21.4,74.0,980.0,5.0
66,Mature,11.5,21.5,75.0,979.5,4.0
67,Mature,11.6,21.6,76.0,979.0,6.0
68,Mature,11.7,21.7,77.0,978.5,5.0
69,Mature,11.8,21.8,78.0,978.0,4.0
70,Mature,11.9,21.9,79.0,977.5,3.0
71,Harvest,12.0,22.0,70.0,977.0,6.0
72,Harvest,12.1,22.1,71.0,976.5,5.0
73,Harvest,12.2,22.2,72.0,976.0,4.0
74,Harvest,12.3,22.3,73.0,975.5,3.0
75,Harvest,12.4,22.4,74.0,975.0,5.0
76,Harvest,12.5,22.5,75.0,974.5,4.0
77,Harvest,12.6,22.6,76.0,974.0,6.0
78,Harvest,12.7,22.7,77.0,973.5,5.0
79,Harvest,12.8,22.8,78.0,973.0,4.0
80,Harvest,12.9,22.9,79.0,972.5,3.0
81,Harvest,13.0,23.0,70.0,972.0,6.0
82,Harvest,13.1,23.1,71.0,971.5,5.0
83,Harvest,13.2,23.2,72.0,971.0,4.0
84,Harvest,13.3,23.3,73.0,970.5,3.0
85,Harvest,13.4,23.4,74.0,970.0,5.0
86,Harvest,13.5,23.5,75.0,969.5,4.0
87,Harvest,13.6,23.6,76.0,969.0,6.0
88,Harvest,13.7,23.7,77.0,968.5,5.0
89,Harvest,13.8,23.8,78.0,968.0,4.0
90,Harvest,13.9,23.9,79.0,967.5,3.0
