Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,5.0,15.0,60.0,1012.0,2.0
2,Seedling,5.1,15.1,61.0,1011.5,3.0
3,Seedling,5.2,15.2,62.0,1011.0,2.5
4,Seedling,5.3,15.3,63.0,1010.5,3.5
5,Seedling,5.4,15.4,64.0,1010.0,2.0
6,Seedling,5.5,15.5,65.0,1009.5,3.0
7,Seedling,5.6,15.6,66.0,1009.0,2.5
8,Seedling,5.7,15.7,67.0,1008.5,3.5
9,Seedling,5.8,15.8,68.0,1008.0,2.0
10,Seedling,5.9,15.9,69.0,1007.5,3.0
11,Vegetative,6.0,16.0,60.0,1007.0,4.0
12,Vegetative,6.1,16.1,61.0,1006.5,3.5
13,Vegetative,6.2,16.2,62.0,1006.0,4.5
14,Vegetative,6.3,16.3,63.0,1005.5,3.0
15,Vegetative,6.4,16.4,64.0,1005.0,2.5
16,Vegetative,6.5,16.5,65.0,1004.5,4.0
17,Vegetative,6.6,16.6,66.0,1004.0,3.0
18,Vegetative,6.7,16.7,67.0,1003.5,4.5
19,Vegetative,6.8,16.8,68.0,1003.0,3.5
20,Vegetative,6.9,16.9,69.0,1002.5,2.0
21,Flowering,7.0,17.0,60.0,1002.0,4.0
22,Flowering,7.1,17.1,61.0,1001.5,3.5
23,Flowering,7.2,17.2,62.0,1001.0,4.5
24,Flowering,7.3,17.3,63.0,1000.5,3.0
25,Flowering,7.4,17.4,64.0,1000.0,2.5
26,Flowering,7.5,17.5,65.0,999.5,4.0
27,Flowering,7.6,17.6,66.0,999.0,3.0
28,Flowering,7.7,17.7,67.0,998.5,4.5
29,Flowering,7.8,17.8,68.0,998.0,3.5
30,Flowering,7.9,17.9,69.0,997.5,2.0
31,Fruiting,8.0,18.0,60.0,997.0,4.0
32,Fruiting,8.1,18.1,61.0,996.5,3.5
33,Fruiting,8.2,18.2,62.0,996.0,4.5
34,Fruiting,8.3,18.3,63.0,995.5,3.0
35,Fruiting,8.4,18.4,64.0,995.0,2.5
36,Fruiting,8.5,18.5,65.0,994.5,4.0
37,Fruiting,8.6,18.6,66.0,994.0,3.0
38,Fruiting,8.7,18.7,67.0,993.5,4.5
39,Fruiting,8.8,18.8,68.0,993.0,3.5
40,Fruiting,8.9,18.9,69.0,992.5,2.0
41,Mature,9.0,19.0,60.0,992.0,4.0
42,Mature,9.1,19.1,61.0,991.5,3.5
43,Mature,9.2,19.2,62.0,991.0,4.5
44,Mature,9.3,19.3,63.0,990.5,3.0
45,Mature,9.4,19.4,64.0,990.0,2.5
46,Mature,9.5,19.5,65.0,989.5,4.0
47,Mature,9.6,19.6,66.0,989.0,3.0
48,Mature,9.7,19.7,67.0,988.5,4.5
49,Mature,9.8,19.8,68.0,988.0,3.5
50,Mature,9.9,19.9,69.0,987.5,2.0
51,Mature,10.0,20.0,60.0,987.0,4.0
52,Mature,10.1,20.1,61.0,986.5,3.5
53,Mature,10.2,20.2,62.0,986.0,4.5
54,Mature,10.3,20.3,63.0,985.5,3.0
55,Mature,10.4,20.4,64.0,985.0,2.5
56,Mature,10.5,20.5,65.0,984.5,4.0
57,Mature,10.6,20.6,66.0,984.0,3.0
58,Mature,10.7,20.7,67.0,983.5,4.5
59,Mature,10.8,20.8,68.0,983.0,3.5
60,Mature,10.9,20.9,69.0,982.5,2.0
61,Mature,11.0,21.0,60.0,982.0,4.0
62,Mature,11.1,21.1,61.0,981.5,3.5
63,Mature,11.2,21.2,62.0,981.0,4.5
64,Mature,11.3,21.3,63.0,980.5,3.0
65,Mature,11.4,21.4,64.0,980.0,2.5
66,Mature,11.5,21.5,65.0,979.5,4.0
67,Mature,11.6,21.6,66.0,979.0,3.0
68,Mature,11.7,21.7,67.0,978.5,4.5
