Day,Growth Stage,Min Temperature (°C),Max Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Seedling,10.0,20.0,70.0,1015.0,5.0
2,Seedling,10.1,20.1,71.0,1014.5,4.5
3,Seedling,10.2,20.2,72.0,1014.0,5.5
4,Seedling,10.3,20.3,73.0,1013.5,3.0
5,Seedling,10.4,20.4,74.0,1013.0,4.0
6,Seedling,10.5,20.5,75.0,1012.5,5.0
7,Seedling,10.6,20.6,76.0,1012.0,4.5
8,Seedling,10.7,20.7,77.0,1011.5,3.0
9,Seedling,10.8,20.8,78.0,1011.0,5.5
10,Seedling,10.9,20.9,79.0,1010.5,4.0
11,Vegetative,11.0,21.0,70.0,1010.0,6.0
12,Vegetative,11.1,21.1,71.0,1009.5,4.5
13,Vegetative,11.2,21.2,72.0,1009.0,5.5
14,Vegetative,11.3,21.3,73.0,1008.5,4.0
15,Vegetative,11.4,21.4,74.0,1008.0,3.5
16,Vegetative,11.5,21.5,75.0,1007.5,5.0
17,Vegetative,11.6,21.6,76.0,1007.0,4.0
18,Vegetative,11.7,21.7,77.0,1006.5,6.0
19,Vegetative,11.8,21.8,78.0,1006.0,5.5
20,Vegetative,11.9,21.9,79.0,1005.5,4.0
21,Flowering,12.0,22.0,70.0,1005.0,3.5
22,Flowering,12.1,22.1,71.0,1004.5,5.0
23,Flowering,12.2,22.2,72.0,1004.0,4.5
24,Flowering,12.3,22.3,73.0,1003.5,6.0
25,Flowering,12.4,22.4,74.0,1003.0,5.0
26,Flowering,12.5,22.5,75.0,1002.5,4.0
27,Flowering,12.6,22.6,76.0,1002.0,3.5
28,Flowering,12.7,22.7,77.0,1001.5,5.5
29,Flowering,12.8,22.8,78.0,1001.0,4.0
30,Flowering,12.9,22.9,79.0,1000.5,3.0
31,Fruiting,13.0,23.0,70.0,1000.0,5.0
32,Fruiting,13.1,23.1,71.0,999.5,4.5
33,Fruiting,13.2,23.2,72.0,999.0,6.0
34,Fruiting,13.3,23.3,73.0,998.5,5.0
35,Fruiting,13.4,23.4,74.0,998.0,4.0
36,Fruiting,13.5,23.5,75.0,997.5,3.5
37,Fruiting,13.6,23.6,76.0,997.0,5.5
38,Fruiting,13.7,23.7,77.0,996.5,4.0
39,Fruiting,13.8,23.8,78.0,996.0,3.0
40,Fruiting,13.9,23.9,79.0,995.5,5.0
41,Mature,14.0,24.0,70.0,995.0,4.5
42,Mature,14.1,24.1,71.0,994.5,6.0
43,Mature,14.2,24.2,72.0,994.0,5.0
44,Mature,14.3,24.3,73.0,993.5,4.0
45,Mature,14.4,24.4,74.0,993.0,3.5
46,Mature,14.5,24.5,75.0,992.5,5.5
47,Mature,14.6,24.6,76.0,992.0,4.0
48,Mature,14.7,24.7,77.0,991.5,3.0
49,Mature,14.8,24.8,78.0,991.0,5.0
50,Mature,14.9,24.9,79.0,990.5,4.5
51,Mature,15.0,25.0,70.0,990.0,6.0
52,Mature,15.1,25.1,71.0,989.5,5.0
53,Mature,15.2,25.2,72.0,989.0,4.0
54,Mature,15.3,25.3,73.0,988.5,3.5
55,Mature,15.4,25.4,74.0,988.0,5.5
56,Mature,15.5,25.5,75.0,987.5,4.0
57,Mature,15.6,25.6,76.0,987.0,3.0
58,Mature,15.7,25.7,77.0,986.5,5.0
59,Mature,15.8,25.8,78.0,986.0,4.5
60,Mature,15.9,25.9,79.0,985.5,3.0
61,Mature,16.0,26.0,70.0,985.0,5.0
62,Mature,16.1,26.1,71.0,984.5,4.0
63,Mature,16.2,26.2,72.0,984.0,3.5
64,Mature,16.3,26.3,73.0,983.5,5.5
65,Mature,16.4,26.4,74.0,983.0,4.0
66,Mature,16.5,26.5,75.0,982.5,3.0
67,Mature,16.6,26.6,76.0,982.0,5.0
68,Mature,16.7,26.7,77.0,981.5,4.5
69,Mature,16.8,26.8,78.0,981.0,3.0
70,Mature,16.9,26.9,79.0,980.5,5.0
71,Harvest,17.0,27.0,70.0,980.0,4.5
72,Harvest,17.1,27.1,71.0,979.5,6.0
73,Harvest,17.2,27.2,72.0,979.0,5.0
74,Harvest,17.3,27.3,73.0,978.5,4.0
75,Harvest,17.4,27.4,74.0,978.0,3.5
76,Harvest,17.5,27.5,75.0,977.5,5.5
77,Harvest,17.6,27.6,76.0,977.0,4.0
78,Harvest,17.7,27.7,77.0,976.5,3.0
79,Harvest,17.8,27.8,78.0,976.0,5.0
80,Harvest,17.9,27.9,79.0,975.5,4.5
81,Harvest,18.0,28.0,70.0,975.0,6.0
82,Harvest,18.1,28.1,71.0,974.5,5.0
83,Harvest,18.2,28.2,72.0,974.0,4.0
84,Harvest,18.3,28.3,73.0,973.5,3.5
85,Harvest,18.4,28.4,74.0,973.0,5.5
86,Harvest,18.5,28.5,75.0,972.5,4.0
87,Harvest,18.6,28.6,76.0,972.0,3.0
88,Harvest,18.7,28.7,77.0,971.5,5.0
89,Harvest,18.8,28.8,78.0,971.0,4.5
90,Harvest,18.9,28.9,79.0,970.5,3.0
