Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Planting,10.0,20.0,50.0,1015.0,5.0
2,Planting,10.5,20.5,51.0,1014.5,4.0
3,Planting,11.0,21.0,52.0,1014.0,3.5
4,Planting,11.5,21.5,53.0,1013.5,3.0
5,Planting,12.0,22.0,54.0,1013.0,2.5
6,Planting,12.5,22.5,55.0,1012.5,2.0
7,Planting,13.0,23.0,56.0,1012.0,1.5
8,Planting,13.5,23.5,57.0,1011.5,1.0
9,Planting,14.0,24.0,58.0,1011.0,1.0
10,Planting,14.5,24.5,59.0,1010.5,0.5
11,Growth,15.0,25.0,50.0,1010.0,0.5
12,Growth,15.5,25.5,51.0,1009.5,0.0
13,Growth,16.0,26.0,52.0,1009.0,0.0
14,Growth,16.5,26.5,53.0,1008.5,0.0
15,Growth,17.0,27.0,54.0,1008.0,0.1
16,Growth,17.5,27.5,55.0,1007.5,0.0
17,Growth,18.0,28.0,56.0,1007.0,0.0
18,Growth,18.5,28.5,57.0,1006.5,0.0
19,Growth,19.0,29.0,58.0,1006.0,0.0
20,Growth,19.5,29.5,59.0,1005.5,0.0
21,Growth,20.0,30.0,60.0,1005.0,0.0
22,Growth,20.5,30.5,61.0,1004.5,0.1
23,Growth,21.0,31.0,62.0,1004.0,0.0
24,Growth,21.5,31.5,63.0,1003.5,0.0
25,Growth,22.0,32.0,64.0,1003.0,0.1
26,Growth,22.5,32.5,65.0,1002.5,0.0
27,Growth,23.0,33.0,66.0,1002.0,0.0
28,Growth,23.5,33.5,67.0,1001.5,0.0
29,Growth,24.0,34.0,68.0,1001.0,0.0
30,Growth,24.5,34.5,69.0,1000.5,0.0
31,Growth,25.0,35.0,60.0,1000.0,0.0
32,Growth,25.5,35.5,61.0,999.5,0.1
33,Growth,26.0,36.0,62.0,999.0,0.0
34,Growth,26.5,36.5,63.0,998.5,0.0
35,Growth,27.0,37.0,64.0,998.0,0.1
36,Growth,27.5,37.5,65.0,997.5,0.0
37,Growth,28.0,38.0,66.0,997.0,0.0
38,Growth,28.5,38.5,67.0,996.5,0.0
39,Growth,29.0,39.0,68.0,996.0,0.0
40,Growth,29.5,39.5,69.0,995.5,0.0
41,Growth,30.0,40.0,60.0,995.0,0.0
42,Growth,30.5,40.5,61.0,994.5,0.1
43,Growth,31.0,41.0,62.0,994.0,0.0
44,Growth,31.5,41.5,63.0,993.5,0.0
45,Growth,32.0,42.0,64.0,993.0,0.1
46,Growth,32.5,42.5,65.0,992.5,0.0
47,Growth,33.0,43.0,66.0,992.0,0.0
48,Growth,33.5,43.5,67.0,991.5,0.0
49,Growth,34.0,44.0,68.0,991.0,0.0
50,Growth,34.5,44.5,69.0,990.5,0.0
51,Growth,35.0,45.0,60.0,990.0,0.0
52,Growth,35.5,45.5,61.0,989.5,0.1
53,Growth,36.0,46.0,62.0,989.0,0.0
54,Growth,36.5,46.5,63.0,988.5,0.0
55,Growth,37.0,47.0,64.0,988.0,0.2
56,Growth,37.5,47.5,65.0,987.5,0.0
57,Growth,38.0,48.0,66.0,987.0,0.1
58,Growth,38.5,48.5,67.0,986.5,0.0
59,Growth,39.0,49.0,68.0,986.0,0.0
60,Growth,39.5,49.5,69.0,985.5,0.0
61,Flowering,40.0,50.0,60.0,985.0,0.0
62,Flowering,40.5,50.5,61.0,984.5,0.1
63,Flowering,41.0,51.0,62.0,984.0,0.0
64,Flowering,41.5,51.5,63.0,983.5,0.0
65,Flowering,42.0,52.0,64.0,983.0,0.2
66,Flowering,42.5,52.5,65.0,982.5,0.0
67,Flowering,43.0,53.0,66.0,982.0,0.1
68,Flowering,43.5,53.5,67.0,981.5,0.0
69,Flowering,44.0,54.0,68.0,981.0,0.0
70,Flowering,44.5,54.5,69.0,980.5,0.0
71,Mature,45.0,55.0,60.0,980.0,0.0
72,Mature,45.5,55.5,61.0,979.5,0.0
73,Mature,46.0,56.0,62.0,979.0,0.0
