Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Planting,5.0,15.0,70.0,1015.0,3.0
2,Planting,5.5,15.5,71.0,1014.5,2.5
3,Planting,6.0,16.0,72.0,1014.0,2.0
4,Planting,6.5,16.5,73.0,1013.5,1.5
5,Planting,7.0,17.0,74.0,1013.0,1.0
6,Planting,7.5,17.5,75.0,1012.5,1.0
7,Planting,8.0,18.0,76.0,1012.0,0.5
8,Planting,8.5,18.5,77.0,1011.5,0.5
9,Growth,9.0,19.0,70.0,1011.0,0.0
10,Growth,9.5,19.5,71.0,1010.5,0.0
11,Growth,10.0,20.0,72.0,1010.0,0.0
12,Growth,10.5,20.5,73.0,1009.5,0.0
13,Growth,11.0,21.0,74.0,1009.0,0.1
14,Growth,11.5,21.5,75.0,1008.5,0.0
15,Growth,12.0,22.0,76.0,1008.0,0.1
16,Growth,12.5,22.5,77.0,1007.5,0.0
17,Growth,13.0,23.0,78.0,1007.0,0.0
18,Growth,13.5,23.5,79.0,1006.5,0.0
19,Growth,14.0,24.0,70.0,1006.0,0.0
20,Growth,14.5,24.5,71.0,1005.5,0.0
21,Growth,15.0,25.0,72.0,1005.0,0.0
22,Growth,15.5,25.5,73.0,1004.5,0.0
23,Growth,16.0,26.0,74.0,1004.0,0.1
24,Growth,16.5,26.5,75.0,1003.5,0.0
25,Growth,17.0,27.0,76.0,1003.0,0.0
26,Growth,17.5,27.5,77.0,1002.5,0.0
27,Growth,18.0,28.0,78.0,1002.0,0.0
28,Growth,18.5,28.5,79.0,1001.5,0.0
29,Growth,19.0,29.0,70.0,1001.0,0.0
30,Growth,19.5,29.5,71.0,1000.5,0.0
31,Growth,20.0,30.0,72.0,1000.0,0.1
32,Growth,20.5,30.5,73.0,999.5,0.0
33,Growth,21.0,31.0,74.0,999.0,0.0
34,Growth,21.5,31.5,75.0,998.5,0.0
35,Growth,22.0,32.0,76.0,998.0,0.1
36,Growth,22.5,32.5,77.0,997.5,0.0
37,Growth,23.0,33.0,78.0,997.0,0.0
38,Growth,23.5,33.5,79.0,996.5,0.0
39,Growth,24.0,34.0,70.0,996.0,0.0
40,Growth,24.5,34.5,71.0,995.5,0.0
41,Growth,25.0,35.0,72.0,995.0,0.0
42,Growth,25.5,35.5,73.0,994.5,0.0
43,Growth,26.0,36.0,74.0,994.0,0.1
44,Growth,26.5,36.5,75.0,993.5,0.0
45,Growth,27.0,37.0,76.0,993.0,0.0
46,Growth,27.5,37.5,77.0,992.5,0.0
47,Growth,28.0,38.0,78.0,992.0,0.0
48,Growth,28.5,38.5,79.0,991.5,0.0
49,Growth,29.0,39.0,70.0,991.0,0.0
50,Growth,29.5,39.5,71.0,990.5,0.1
51,Growth,30.0,40.0,72.0,990.0,0.0
52,Growth,30.5,40.5,73.0,989.5,0.0
53,Growth,31.0,41.0,74.0,989.0,0.0
54,Growth,31.5,41.5,75.0,988.5,0.1
55,Growth,32.0,42.0,76.0,988.0,0.0
56,Growth,32.5,42.5,77.0,987.5,0.0
57,Growth,33.0,43.0,78.0,987.0,0.0
58,Growth,33.5,43.5,79.0,986.5,0.0
59,Growth,34.0,44.0,70.0,986.0,0.0
60,Mature,34.5,44.5,71.0,985.5,0.0
