Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,15.0,30.0,60.0,1015.0,5.0
2,Germination,15.5,30.5,65.0,1014.5,4.0
3,Germination,16.0,31.0,70.0,1014.0,6.0
4,Germination,16.5,31.5,65.0,1013.5,3.0
5,Germination,17.0,32.0,70.0,1013.0,2.5
6,Germination,17.5,32.5,75.0,1012.5,5.0
7,Germination,18.0,33.0,60.0,1012.0,4.0
8,Germination,18.5,33.5,65.0,1011.5,3.5
9,Growth,19.0,34.0,70.0,1011.0,6.0
10,Growth,19.5,34.5,65.0,1010.5,4.5
11,Growth,20.0,35.0,70.0,1010.0,5.0
12,Growth,20.5,35.5,75.0,1009.5,3.0
13,Growth,21.0,36.0,60.0,1009.0,6.5
14,Growth,21.5,36.5,65.0,1008.5,5.5
15,Growth,22.0,37.0,70.0,1008.0,4.0
16,Growth,22.5,37.5,75.0,1007.5,3.5
17,Growth,23.0,38.0,60.0,1007.0,5.0
18,Growth,23.5,38.5,65.0,1006.5,6.0
19,Growth,24.0,39.0,70.0,1006.0,4.0
20,Growth,24.5,39.5,75.0,1005.5,3.5
21,Growth,25.0,40.0,60.0,1005.0,5.0
22,Growth,25.5,40.5,65.0,1004.5,4.0
23,Growth,26.0,41.0,70.0,1004.0,6.5
24,Growth,26.5,41.5,75.0,1003.5,5.0
25,Growth,27.0,42.0,60.0,1003.0,4.0
26,Growth,27.5,42.5,65.0,1002.5,5.5
27,Growth,28.0,43.0,70.0,1002.0,6.0
28,Growth,28.5,43.5,75.0,1001.5,4.0
29,Growth,29.0,44.0,60.0,1001.0,5.0
30,Growth,29.5,44.5,65.0,1000.5,6.5
31,Growth,30.0,45.0,70.0,1000.0,4.5
32,Growth,30.5,45.5,75.0,999.5,5.0
33,Growth,31.0,46.0,60.0,999.0,3.5
34,Growth,31.5,46.5,65.0,998.5,4.0
35,Growth,32.0,47.0,70.0,998.0,5.5
36,Growth,32.5,47.5,75.0,997.5,6.0
37,Growth,33.0,48.0,60.0,997.0,4.0
38,Growth,33.5,48.5,65.0,996.5,5.0
39,Growth,34.0,49.0,70.0,996.0,6.5
40,Growth,34.5,49.5,75.0,995.5,5.0
41,Growth,35.0,50.0,60.0,995.0,4.0
42,Growth,35.5,50.5,65.0,994.5,3.0
43,Growth,36.0,51.0,70.0,994.0,5.0
44,Growth,36.5,51.5,75.0,993.5,6.0
45,Growth,37.0,52.0,60.0,993.0,4.5
46,Growth,37.5,52.5,65.0,992.5,5.5
47,Growth,38.0,53.0,70.0,992.0,6.0
48,Growth,38.5,53.5,75.0,991.5,4.0
49,Growth,39.0,54.0,60.0,991.0,5.0
50,Growth,39.5,54.5,65.0,990.5,6.5
51,Growth,40.0,55.0,70.0,990.0,4.5
52,Growth,40.5,55.5,75.0,989.5,5.0
53,Growth,41.0,56.0,60.0,989.0,6.0
54,Growth,41.5,56.5,65.0,988.5,5.0
55,Growth,42.0,57.0,70.0,988.0,4.0
56,Growth,42.5,57.5,75.0,987.5,5.5
57,Growth,43.0,58.0,60.0,987.0,6.0
58,Growth,43.5,58.5,65.0,986.5,4.5
59,Growth,44.0,59.0,70.0,986.0,5.0
60,Growth,44.5,59.5,75.0,985.5,6.0
61,Growth,45.0,60.0,60.0,985.0,4.0
62,Growth,45.5,60.5,65.0,984.5,5.5
63,Growth,46.0,61.0,70.0,984.0,6.5
64,Growth,46.5,61.5,75.0,983.5,5.0
65,Growth,47.0,62.0,60.0,983.0,4.0
66,Growth,47.5,62.5,65.0,982.5,5.5
67,Growth,48.0,63.0,70.0,982.0,6.0
68,Growth,48.5,63.5,75.0,981.5,4.0
69,Growth,49.0,64.0,60.0,981.0,5.0
70,Growth,49.5,64.5,65.0,980.5,6.0
71,Growth,50.0,65.0,70.0,980.0,4.5
72,Growth,50.5,65.5,75.0,979.5,5.0
73,Growth,51.0,66.0,60.0,979.0,6.0
74,Growth,51.5,66.5,65.0,978.5,4.0
75,Growth,52.0,67.0,70.0,978.0,5.5
76,Growth,52.5,67.5,75.0,977.5,6.0
77,Growth,53.0,68.0,60.0,977.0,4.5
78,Growth,53.5,68.5,65.0,976.5,5.0
79,Growth,54.0,69.0,70.0,976.0,6.0
80,Growth,54.5,69.5,75.0,975.5,4.0
81,Maturation,55.0,70.0,60.0,975.0,5.0
82,Maturation,55.5,70.5,65.0,974.5,6.5
83,Maturation,56.0,71.0,70.0,974.0,4.0
84,Maturation,56.5,71.5,75.0,973.5,5.0
85,Maturation,57.0,72.0,60.0,973.0,6.0
86,Maturation,57.5,72.5,65.0,972.5,4.5
87,Maturation,58.0,73.0,70.0,972.0,5.0
88,Maturation,58.5,73.5,75.0,971.5,6.0
89,Maturation,59.0,74.0,60.0,971.0,4.0
90,Maturation,59.5,74.5,65.0,970.5,5.5
