Day,Growth Stage,Minimum Temperature (°C),Maximum Temperature (°C),Humidity (%),Pressure (hPa),Precipitation (mm)
1,Germination,20.0,30.0,70.0,1015.0,10.0
2,Germination,20.5,30.5,75.0,1014.5,8.0
3,Germination,21.0,31.0,80.0,1014.0,6.0
4,Germination,21.5,31.5,75.0,1013.5,7.0
5,Germination,22.0,32.0,70.0,1013.0,5.0
6,Germination,22.5,32.5,75.0,1012.5,4.0
7,Germination,23.0,33.0,80.0,1012.0,6.5
8,Growth,23.5,33.5,75.0,1011.5,7.0
9,Growth,24.0,34.0,70.0,1011.0,8.0
10,Growth,24.5,34.5,75.0,1010.5,6.0
11,Growth,25.0,35.0,80.0,1010.0,4.5
12,Growth,25.5,35.5,75.0,1009.5,5.0
13,Growth,26.0,36.0,70.0,1009.0,6.0
14,Growth,26.5,36.5,75.0,1008.5,4.0
15,Growth,27.0,37.0,80.0,1008.0,7.5
16,Growth,27.5,37.5,75.0,1007.5,8.0
17,Growth,28.0,38.0,70.0,1007.0,6.5
18,Growth,28.5,38.5,75.0,1006.5,5.5
19,Growth,29.0,39.0,80.0,1006.0,4.0
20,Growth,29.5,39.5,75.0,1005.5,6.0
21,Growth,30.0,40.0,70.0,1005.0,7.0
22,Growth,30.5,40.5,75.0,1004.5,8.5
23,Growth,31.0,41.0,80.0,1004.0,6.0
24,Growth,31.5,41.5,75.0,1003.5,4.5
25,Growth,32.0,42.0,70.0,1003.0,5.0
26,Growth,32.5,42.5,75.0,1002.5,6.5
27,Growth,33.0,43.0,80.0,1002.0,4.0
28,Growth,33.5,43.5,75.0,1001.5,5.0
29,Growth,34.0,44.0,70.0,1001.0,7.0
30,Growth,34.5,44.5,75.0,1000.5,6.0
31,Growth,35.0,45.0,80.0,1000.0,8.0
32,Growth,35.5,45.5,75.0,999.5,4.5
33,Growth,36.0,46.0,70.0,999.0,5.0
34,Growth,36.5,46.5,75.0,998.5,6.5
35,Growth,37.0,47.0,80.0,998.0,7.0
36,Growth,37.5,47.5,75.0,997.5,5.5
37,Growth,38.0,48.0,70.0,997.0,4.0
38,Growth,38.5,48.5,75.0,996.5,6.0
39,Growth,39.0,49.0,80.0,996.0,5.5
40,Growth,39.5,49.5,75.0,995.5,4.0
41,Growth,40.0,50.0,70.0,995.0,6.0
42,Growth,40.5,50.5,75.0,994.5,7.0
43,Growth,41.0,51.0,80.0,994.0,5.0
44,Growth,41.5,51.5,75.0,993.5,6.5
45,Growth,42.0,52.0,70.0,993.0,4.5
46,Growth,42.5,52.5,75.0,992.5,5.0
47,Growth,43.0,53.0,80.0,992.0,6.0
48,Growth,43.5,53.5,75.0,991.5,4.0
49,Growth,44.0,54.0,70.0,991.0,5.0
50,Growth,44.5,54.5,75.0,990.5,6.5
51,Growth,45.0,55.0,80.0,990.0,7.0
52,Growth,45.5,55.5,75.0,989.5,4.0
53,Growth,46.0,56.0,70.0,989.0,5.5
54,Growth,46.5,56.5,75.0,988.5,6.0
55,Growth,47.0,57.0,80.0,988.0,7.5
56,Growth,47.5,57.5,75.0,987.5,4.0
57,Growth,48.0,58.0,70.0,987.0,5.0
58,Growth,48.5,58.5,75.0,986.5,6.0
59,Growth,49.0,59.0,80.0,986.0,5.5
60,Growth,49.5,59.5,75.0,985.5,4.0
61,Growth,50.0,60.0,70.0,985.0,6.5
62,Growth,50.5,60.5,75.0,984.5,7.0
63,Growth,51.0,61.0,80.0,984.0,5.0
64,Growth,51.5,61.5,75.0,983.5,6.5
65,Growth,52.0,62.0,70.0,983.0,4.0
66,Growth,52.5,62.5,75.0,982.5,5.0
67,Growth,53.0,63.0,80.0,982.0,6.0
68,Growth,53.5,63.5,75.0,981.5,7.0
69,Growth,54.0,64.0,70.0,981.0,4.5
70,Growth,54.5,64.5,75.0,980.5,5.5
71,Growth,55.0,65.0,80.0,980.0,6.0
72,Growth,55.5,65.5,75.0,979.5,4.0
73,Growth,56.0,66.0,70.0,979.0,5.0
74,Growth,56.5,66.5,75.0,978.5,6.5
75,Growth,57.0,67.0,80.0,978.0,5.0
76,Growth,57.5,67.5,75.0,977.5,4.0
77,Growth,58.0,68.0,70.0,977.0,6.0
78,Growth,58.5,68.5,75.0,976.5,5.5
79,Growth,59.0,69.0,80.0,976.0,4.0
80,Growth,59.5,69.5,75.0,975.5,6.5
81,Growth,60.0,70.0,70.0,975.0,7.0
82,Growth,60.5,70.5,75.0,974.5,5.0
83,Growth,61.0,71.0,80.0,974.0,6.0
84,Growth,61.5,71.5,75.0,973.5,4.0
85,Growth,62.0,72.0,70.0,973.0,5.0
86,Growth,62.5,72.5,75.0,972.5,6.0
87,Growth,63.0,73.0,80.0,972.0,4.5
88,Growth,63.5,73.5,75.0,971.5,5.5
89,Growth,64.0,74.0,70.0,971.0,6.0
90,Growth,64.5,74.5,75.0,970.5,7.0
91,Growth,65.0,75.0,80.0,970.0,4.0
