Crop Name,Crop Type,Water Requirements,Watering Schedule,Temperature,Soil Type,Humidity,Sunshine Hours,Wind Speed,Soil pH Level,Planting Dates,Harvesting Dates,Irrigation Schedules,Fertilizer Schedules
Rice,Staple,500-800,Daily,25-30,Loamy,70-80,6-8,15-25,5.5-7.0,May-June,September-October,Weekly,Every 4-6 weeks
Wheat,Staple,300-500,Weekly,15-20,Loamy,50-60,6-8,10-20,6.0-7.0,October-November,May-June,Every 2-3 weeks,Every 6-8 weeks
Maize (Corn),Cereal,500-700,Weekly,20-30,Loamy,60-70,8-10,10-20,5.8-7.0,April-May,August-September,Every 1-2 weeks,Every 4-6 weeks
Barley,Cereal,400-600,Weekly,15-25,Loamy,50-60,6-8,10-15,6.0-7.0,October-November,June-July,Every 2-3 weeks,Every 6-8 weeks
Sorghum (Jowar),Cereal,300-500,Weekly,25-35,Loamy,50-60,8-10,15-20,6.0-7.5,June-July,November-December,Every 1-2 weeks,Every 4-6 weeks
Pearl Millet (Bajra),Cereal,200-400,Weekly,25-35,Loamy,50-60,8-10,15-20,6.0-7.0,June-July,November-December,Every 1-2 weeks,Every 4-6 weeks
Finger Millet (Ragi),Cereal,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,5.8-6.5,July-August,January-February,Every 1-2 weeks,Every 4-6 weeks
Oats,Cereal,300-500,Weekly,15-20,Loamy,50-60,6-8,10-15,6.0-7.0,September-October,May-June,Every 2-3 weeks,Every 6-8 weeks
Rye,Cereal,400-600,Weekly,10-15,Loamy,60-70,6-8,15-20,6.0-7.0,August-September,May-June,Every 2-3 weeks,Every 6-8 weeks
Chickpeas (Chana),Legume,200-400,Weekly,20-30,Loamy,50-60,6-8,10-15,6.0-7.0,October-November,March-April,Every 2-3 weeks,Every 6-8 weeks
Lentils (Masoor),Legume,200-300,Weekly,20-25,Loamy,50-60,6-8,10-15,6.0-7.0,October-November,March-April,Every 2-3 weeks,Every 6-8 weeks
Pigeon Pea (Toor Dal),Legume,300-500,Weekly,25-30,Loamy,60-70,6-8,10-15,6.0-7.0,June-July,March-April,Every 1-2 weeks,Every 4-6 weeks
Green Gram (Moong),Legume,200-400,Weekly,25-30,Loamy,60-70,8-10,10-15,6.0-7.0,June-July,October-November,Every 1-2 weeks,Every 4-6 weeks
Black Gram (Urad),Legume,200-400,Weekly,25-30,Loamy,60-70,6-8,10-15,6.0-7.0,June-July,October-November,Every 1-2 weeks,Every 4-6 weeks
Kidney Beans (Rajma),Legume,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,May-June,September-October,Every 1-2 weeks,Every 4-6 weeks
Bengal Gram (Chana Dal),Legume,200-400,Weekly,20-30,Loamy,50-60,6-8,10-15,6.0-7.0,October-November,March-April,Every 2-3 weeks,Every 6-8 weeks
Groundnut (Peanuts),Legume,400-600,Weekly,25-35,Loamy,50-60,6-8,10-15,6.0-7.0,May-June,September-October,Every 1-2 weeks,Every 4-6 weeks
Soybean,Legume,300-500,Weekly,20-30,Loamy,60-70,8-10,10-15,6.0-7.0,May-June,October-November,Every 1-2 weeks,Every 4-6 weeks
Sunflower,Oilseed,400-600,Weekly,20-30,Loamy,60-70,8-10,15-20,6.0-7.0,April-May,August-September,Every 1-2 weeks,Every 4-6 weeks
Sesame,Oilseed,200-400,Weekly,25-35,Loamy,50-60,6-8,10-15,6.0-7.0,June-July,November-December,Every 1-2 weeks,Every 4-6 weeks
Mustard,Oilseed,300-500,Weekly,15-25,Loamy,60-70,6-8,10-15,6.0-7.0,October-November,March-April,Every 2-3 weeks,Every 6-8 weeks
Safflower,Oilseed,200-400,Weekly,20-30,Loamy,50-60,8-10,10-15,6.0-7.0,April-May,September-October,Every 1-2 weeks,Every 4-6 weeks
Castor Oil Plant,Oilseed,300-500,Weekly,25-35,Loamy,50-60,6-8,15-20,6.0-7.0,May-June,October-November,Every 1-2 weeks,Every 4-6 weeks
Tomato,Vegetable,300-500,Weekly,20-30,Loamy,60-70,6-8,10-15,6.0-7.0,March-April,July-August,Every 1-2 weeks,Every 4-6 weeks
Potato,Vegetable,400-600,Weekly,15-20,Loamy,60-70,6-8,10-15,5.5-6.5,September-October,March-April,Every 1-2 weeks,Every 4-6 weeks
Onion,Vegetable,300-500,Weekly,15-25,Loamy,50-60,6-8,10-15,6.0-7.0,October-November,May-June,Every 1-2 weeks,Every 6-8 weeks
Carrot,Vegetable,300-500,Weekly,15-20,Loamy,50-60,6-8,10-15,6.0-7.0,September-October,February-March,Every 1-2 weeks,Every 6-8 weeks
