Year,Month,Day,Min Temp,Max Temp,Min Wind Speed,Max Wind Speed,Pressure,Humidity,Precipitation
2000,1,1,12,24,2.2,2.2,1013,67,0
2000,1,2,13,25,2.3,2.3,1013,65,0
2000,1,3,12,24.2,2.3,2.3,1011,68,0
2000,1,4,11,24,1.9,1.9,1012,68,0
2000,1,5,11,24,2,2,1013,68,0
2000,1,6,11,23,1.7,1.7,1012,64,0
2000,1,7,8,22.6,2.1,2.1,1012,69,0
2000,1,8,9,24,1.8,1.8,1012,72,0
2000,1,9,10,25,1.3,1.3,1012,72,0
2000,1,10,12.2,27.6,1.5,1.5,1011,75,0
2000,1,11,14.4,29,1,1,1011,78,0
2000,1,12,14,29.6,1.2,1.2,1011,81,0
2000,1,13,14.4,30,1.2,1.2,1009,72,0
2000,1,14,17.2,29,1.6,1.6,1008,72,0
2000,1,15,16.4,27.4,1.3,1.3,1010,67,0
2000,1,16,18.4,27,1,1,1012,71,0
2000,1,17,13.7,24,1.4,1.4,1014,64,0
2000,1,18,10.6,23.4,2,2,1014,63,0
2000,1,19,10.4,24.8,1.6,1.6,1010,61,0
2000,1,20,12,28.6,1.7,1.7,1008,64,0
2000,1,21,15,27.4,1.1,1.1,1011,70,0
2000,1,22,18,26.4,1.3,1.3,1011,79,0
2000,1,23,18,27.4,1.2,1.2,1010,81,1
2000,1,24,18,25.2,1.2,1.2,1014,76,0
2000,1,25,17.3,26,1.6,1.6,1016,70,0
2000,1,26,15.3,26.6,1.6,1.6,1015,69,0
2000,1,27,14.4,28.4,1,1,1014,66,0
2000,1,28,14.8,28.8,2.1,2.1,1012,68,0
2000,1,29,15.2,23.4,1.8,1.8,1012,73,0
2000,1,31,11.6,25,1.1,1.1,1015,67,0
2000,2,1,13,27,1.7,1.7,1012,69,0
2000,2,2,16,27.8,1.4,1.4,1012,74,0
2000,2,3,20.3,24.6,1.1,1.1,1013,87,0
2000,2,4,20,27.4,0.8,0.8,1011,81,1
2000,2,5,19.1,29.4,1.8,1.8,1010,78,1
2000,2,6,18.6,23.6,1.4,1.4,1010,83,10
2000,2,7,17.6,29.4,1.1,1.1,1010,80,18.5
2000,2,8,16.6,25.6,1.3,1.3,1010,78,0
2000,2,9,17,24,0.9,0.9,1011,76,0
2000,2,10,18.9,25.8,1.4,1.4,1011,73,0
2000,2,11,18,27,1.8,1.8,1011,75,0
2000,2,12,19.4,29,1.1,1.1,1010,78,30
2000,2,13,18,25.6,1,1,1011,72,0
2000,2,14,19,26.2,1.9,1.9,1012,70,0
2000,2,15,15.8,25,1.9,1.9,1012,62,0
2000,2,16,13.6,25,1.3,1.3,1011,65,0
2000,2,17,15.2,27,1.2,1.2,1008,77,1.5
2000,2,18,16.3,26.6,1.6,1.6,1009,65,1
2000,2,19,15.8,26,1.1,1.1,1010,65,0
2000,2,20,14.4,27.2,1.1,1.1,1010,65,0
2000,2,21,16.6,23,1.2,1.2,1011,81,0
2000,2,22,16.6,27.4,1.5,1.5,1012,68,0
2000,2,23,17,28.4,0.8,0.8,1011,62,0
2000,2,24,18,27.6,1.1,1.1,1012,53,0
2000,2,25,19.9,27,1.2,1.2,1011,47,0
2000,2,26,17.6,25.4,0.9,0.9,1010,51,0
2000,2,27,15,28.4,1.1,1.1,1010,56,0
2000,2,28,16.2,29,1.9,1.9,1011,57,0
2000,3,1,16.3,31.8,1.1,1.1,1007,68,0
2000,3,2,21.4,31,1.4,1.4,1006,64,0
2000,3,3,20.4,31.6,1.5,1.5,1007,72,0
2000,3,4,23.4,32.8,2.2,2.2,1007,75,0
2000,3,5,24.2,33,1.3,1.3,1006,73,0
2000,3,6,24,31.2,1.3,1.3,1006,76,0
2000,3,7,22.8,33,1.6,1.6,1007,82,0
2000,3,8,21.2,34,1.9,1.9,1005,67,0
2000,3,9,21,30.2,1.1,1.1,1005,59,0
2000,3,10,18.2,30.2,1.2,1.2,1007,49,0
2000,3,11,19,32.4,2.3,2.3,1006,69,0
2000,3,12,24,33.4,2.9,2.9,1003,74,0
2000,3,13,25.6,33,2.9,2.9,1003,75,0.5
2000,3,14,25,33.6,1.6,1.6,1005,69,0
