Year,Month,Day,Min Temp,Max Temp,Min Wind Speed,Max Wind Speed,Pressure,Humidity,Precipitation
2010,12,31,12,27,0.9,0.9,1009,76,0
2011,1,1,14,27,2.1,2.1,1008,72,0
2011,1,2,13,25,2.4,2.4,1011,66,0
2011,1,3,11,23,2.2,2.2,1013,68,0
2011,1,4,11,22.2,2,2,1012,76,0
2011,1,5,11,22,1.9,1.9,1011,67,0
2011,1,6,11,24,1.8,1.8,1012,67,0
2011,1,7,11.8,24,2.2,2.2,1012,69,0
2011,1,8,10,24,1.6,1.6,1010,74,0
2011,1,9,12,24.4,1.9,1.9,1010,69,0
2011,1,10,11,24,2.1,2.1,1010,63,0
2011,1,11,9,21,2.1,2.1,1011,72,0
2011,1,12,8,21.2,1.4,1.4,1010,74,0
2011,1,13,8,20.8,1.6,1.6,1011,79,0
2011,1,14,10,23.6,1.3,1.3,1011,81,0
2011,1,15,11,26.2,1.3,1.3,1012,75,0
2011,1,16,16,26,1.9,1.9,1008,73,0
2011,1,17,12,21.4,1.9,1.9,1010,57,0
2011,1,18,9,24,1.5,1.5,1010,60,0
2011,1,19,11,27,1.4,1.4,1010,67,0
2011,1,20,12,25.4,1.8,1.8,1012,65,0
2011,1,21,10,24,1.6,1.6,1013,59,0
2011,1,22,11,25,1.7,1.7,1013,68,0
2011,1,23,12,27,1.5,1.5,1014,66,0
2011,1,24,12,28.4,1.2,1.2,1013,67,0
2011,1,25,14,28,1.3,1.3,1014,69,0
2011,1,26,14,28,1.3,1.3,1015,69,0
2011,1,27,15,27,1.6,1.6,1015,65,0
2011,1,28,13,26,2.2,2.2,1015,62,0
2011,1,30,15,26.2,1.3,1.3,1013,69,0
2011,1,31,18,30,1.9,1.9,1013,67,0
2011,2,1,15.6,27,2.2,2.2,1014,64,0
2011,2,2,13,27,2,2,1014,57,0
2011,2,3,12.6,28,2.1,2.1,1013,60,0
2011,2,4,16,28,1.9,1.9,1012,65,0
2011,2,5,15,28,1.9,1.9,1011,67,0
2011,2,6,14,29,1.5,1.5,1011,67,0
2011,2,7,16,30,1.6,1.6,1009,63,0
2011,2,8,18,33,1.6,1.6,1006,59,0
2011,2,9,19,30,2.5,2.5,1006,65,0
2011,2,10,16.8,28,2.2,2.2,1010,51,0
2011,2,11,15,29,1.9,1.9,1010,55,0
2011,2,12,15,30,1.8,1.8,1009,54,0
2011,2,13,17,30.2,2.3,2.3,1007,61,0
2011,2,14,17,32,1.7,1.7,1007,65,0
2011,2,15,20,35,2.2,2.2,1007,64,0
2011,2,16,22,35,4,4,1008,56,0
2011,2,17,19,29,2.7,2.7,1010,66,0
2011,2,18,17,27,1.9,1.9,1010,66,0
2011,2,19,19.6,29,1.5,1.5,1012,65,2.5
2011,2,20,20,28,1.6,1.6,1013,67,1
2011,2,21,17.6,23,1.9,1.9,1013,76,0.5
2011,2,22,15,29,2,2,1013,64,0
2011,2,23,16,29,2,2,1013,60,0
2011,2,24,15.6,30,2.1,2.1,1011,54,0
2011,2,25,14.6,30,1.8,1.8,1009,60,0
2011,2,26,16,30,1.9,1.9,1010,57,0
2011,2,27,18,30,2.1,2.1,1012,57,0
2011,3,1,14.8,29,2.3,2.3,1011,48,0
2011,3,2,15,31,1.9,1.9,1009,51,0
2011,3,3,16,33,1.5,1.5,1009,51,0
2011,3,4,20,36,2,2,1008,49,0
2011,3,5,20,34.6,1.5,1.5,1007,58,0
2011,3,6,22,32,2.6,2.6,1010,55,0
2011,3,7,21,33,2.5,2.5,1010,40,0
2011,3,8,18.8,34,2.3,2.3,1007,41,0
2011,3,9,22,36,2.8,2.8,1008,48,0
2011,3,10,23,35,2,2,1009,64,0
2011,3,11,20,31.2,2.7,2.7,1009,72,1
2011,3,12,20,32,3,3,1009,62,0.5
2011,3,13,21,32,2.1,2.1,1009,72,0
2011,3,14,22,32,2.1,2.1,1008,74,0
2011,3,15,22,33,1.9,1.9,1008,64,1
2011,3,16,21,33,1.7,1.7,1007,53,0
2011,3,17,20,34,3.9,3.9,1007,67,0
2011,3,18,24,32,5.8,5.8,1005,66,0
2011,3,19,25.4,33.4,6.7,6.7,1002,71,0
2011,3,20,26,34,6.3,6.3,1002,73,0
2011,3,21,25,35,4.7,4.7,1004,72,0
2011,3,22,26,34.2,3.6,3.6,1006,73,0
