Date,Min Temp,Max Temp,Humidity,Pressure,Precipitation
2000-01-01,12.0,24.0,67,1013,0.0
2000-01-02,13.0,25.0,65,1013,0.0
2000-01-03,12.0,24.2,68,1011,0.0
2000-01-04,11.0,24.0,68,1012,0.0
2000-01-05,11.0,24.0,68,1013,0.0
2000-01-06,11.0,23.0,64,1012,0.0
2000-01-07,8.0,22.6,69,1012,0.0
2000-01-08,9.0,24.0,72,1012,0.0
2000-01-09,10.0,25.0,72,1012,0.0
2000-01-10,12.2,27.6,75,1011,0.0
2000-01-11,14.4,29.0,78,1011,0.0
2000-01-12,14.0,29.6,81,1011,0.0
2000-01-13,14.4,30.0,72,1009,0.0
2000-01-14,17.2,29.0,72,1008,0.0
2000-01-15,16.4,27.4,67,1010,0.0
2000-01-16,18.4,27.0,71,1012,0.0
2000-01-17,13.7,24.0,64,1014,0.0
2000-01-18,10.6,23.4,63,1014,0.0
2000-01-19,10.4,24.8,61,1010,0.0
2000-01-20,12.0,28.6,64,1008,0.0
2000-01-21,15.0,27.4,70,1011,0.0
2000-01-22,18.0,26.4,79,1011,0.0
2000-01-23,18.0,27.4,81,1010,1.0
2000-01-24,18.0,25.2,76,1014,0.0
2000-01-25,17.3,26.0,70,1016,0.0
2000-01-26,15.3,26.6,69,1015,0.0
2000-01-27,14.4,28.4,66,1014,0.0
2000-01-28,14.8,28.8,68,1012,0.0
2000-01-29,15.2,23.4,73,1012,0.0
2000-01-31,11.6,25.0,67,1015,0.0
2000-02-01,13.0,27.0,69,1012,0.0
2000-02-02,16.0,27.8,74,1012,0.0
2000-02-03,20.3,24.6,87,1013,0.0
2000-02-04,20.0,27.4,81,1011,1.0
2000-02-05,19.1,29.4,78,1010,1.0
2000-02-06,18.6,23.6,83,1010,10.0
2000-02-07,17.6,29.4,80,1010,18.5
2000-02-08,16.6,25.6,78,1010,0.0
2000-02-09,17.0,24.0,76,1011,0.0
2000-02-10,18.9,25.8,73,1011,0.0
2000-02-11,18.0,27.0,75,1011,0.0
2000-02-12,19.4,29.0,78,1010,30.0
2000-02-13,18.0,25.6,72,1011,0.0
2000-02-14,19.0,26.2,70,1012,0.0
2000-02-15,15.8,25.0,62,1012,0.0
2000-02-16,13.6,25.0,65,1011,0.0
2000-02-17,15.2,27.0,77,1008,1.5
2000-02-18,16.3,26.6,65,1009,1.0
2000-02-19,15.8,26.0,65,1010,0.0
2000-02-20,14.4,27.2,65,1010,0.0
2000-02-21,16.6,23.0,81,1011,0.0
