Year,Month,Day,Min Temp,Max Temp,Min Wind Speed,Max Wind Speed,Pressure,Humidity,Precipitation
2023,7,26,27.8,30.4,0.6,0.6,1001,88,2.3
2023,7,27,27.8,32.8,1.1,1.1,1000,83,3.5
2023,7,28,28,32.4,1.3,1.3,998,85,2
2023,7,29,28.2,30.4,0.7,0.7,997,88,11.5
2023,7,30,28.8,33.8,0.9,0.9,996,81,6.5
2023,7,31,28.8,33.8,0.9,0.9,995,82,42
2023,8,1,27.2,33,0.5,0.5,991,87,107
2023,8,2,26.8,29,1.3,1.3,992,90,23.3
2023,8,3,27.2,31.4,1,1,997,86,2
2023,8,4,29,32,1,1,1000,79,6
2023,8,5,28.8,31.2,1.2,1.2,1001,81,3.5
2023,8,6,27.6,29.2,1.3,1.3,999,90,16.5
2023,8,7,26.7,28.6,0.9,0.9,997,92,52.3
2023,8,8,26.2,30.2,1.2,1.2,999,89,16.8
2023,8,9,26.8,31.6,1,1,1002,86,13.5
2023,8,10,27,29.8,1.2,1.2,1003,88,5.8
2023,8,11,26,32,0.7,0.7,1002,86,17.3
2023,8,12,27.1,31.2,0.8,0.8,1001,91,40.8
2023,8,13,26.8,30,1.3,1.3,1002,89,14.8
2023,8,14,27.2,32.8,0.6,0.6,1003,84,1.3
2023,8,15,28.7,32.8,1.1,1.1,1002,87,11.5
2023,8,16,28,33.4,1,1,1002,87,11.5
2023,8,17,27,29.8,1.2,1.2,1001,90,34.5
2023,8,18,27.1,30.4,1.3,1.3,1000,87,1.5
2023,8,19,27.8,31.8,0.9,0.9,1002,85,2.3
2023,8,20,28,33.2,1,1,1003,78,1
2023,8,21,28.4,33.6,1,1,1002,80,1
2023,8,22,29.4,32,1.1,1.1,1002,83,13.3
2023,8,23,27.4,32.8,1.2,1.2,1001,86,33.3
2023,8,25,26.4,29.4,1.4,1.4,1000,92,37.5
2023,8,26,26.5,29.2,1.8,1.8,1000,92,10.5
2023,8,27,27.1,33.2,0.7,0.7,1000,81,0.5
2023,8,28,29.6,33.8,1.3,1.3,1001,76,0
2023,8,29,28.4,34,1.4,1.4,1001,78,0.5
2023,8,30,28.6,34.2,1.1,1.1,1003,75,1.8
2023,8,31,26.8,34.6,1.1,1.1,1003,87,9.5
2023,9,1,28.5,32.8,0.9,0.9,1003,85,8.3
2023,9,2,27.4,34.4,1.4,1.4,1002,88,62.3
2023,9,3,27,32.6,1.4,1.4,1000,84,20.3
2023,9,4,26.4,29.4,1.3,1.3,999,90,29.5
2023,9,5,26,30.8,0.7,0.7,1000,87,22.5
2023,9,6,28.2,31.8,1.1,1.1,1001,81,15.8
2023,9,7,27,29.4,0.9,0.9,1001,90,28
2023,9,8,26.2,29,1.3,1.3,1003,93,11.8
2023,9,9,27.4,31.8,1.5,1.5,1004,87,1.3
2023,9,10,28.4,33.6,0.9,0.9,1002,81,1.3
2023,9,11,28.8,33.8,0.8,0.8,1002,78,3.8
2023,9,12,27.4,33.2,1,1,1001,86,17
2023,9,13,27.6,31.8,1.2,1.2,1000,86,8.3
2023,9,14,27,28.6,0.5,0.5,1001,93,31
2023,9,15,26.8,29.6,2.5,2.5,1002,92,18
2023,9,16,28,33,0.8,0.8,1002,84,7
2023,9,17,28.2,33.6,1.1,1.1,1002,77,0
2023,9,18,27.2,31.6,0.8,0.8,1003,82,10.8
2023,9,19,26.8,30.6,1.4,1.4,1004,86,18.5
2023,9,20,27,28.4,2.2,2.2,1003,89,31.5
2023,9,21,27,28,0.9,0.9,1005,94,12
2023,9,22,27,29.6,1,1,1006,93,39.3
2023,9,24,26.2,30,0.9,0.9,1005,91,14.8
2023,9,25,26,31,2.1,2.1,1005,90,15.5
2023,9,26,27.6,32.6,1.2,1.2,1006,81,2
2023,9,27,28.4,32.6,1.2,1.2,1005,81,0
2023,9,28,28.6,33.4,1.5,1.5,1004,79,0.8
2023,9,29,26.8,30.8,1.5,1.5,1003,86,32.5
2023,9,30,26.2,28,1.6,1.6,1002,93,42
2023,10,1,26,29.6,0.9,0.9,1002,92,8.3
2023,10,2,26.6,28.6,1.4,1.4,1003,93,10.5
2023,10,3,26.4,28.6,0.9,0.9,1005,92,61
2023,10,4,25.8,28.2,0.5,0.5,1004,96,77.3
2023,10,5,26.8,30,1.5,1.5,1003,91,15.5
2023,10,6,27.2,30.4,0.7,0.7,1004,88,7
2023,10,7,27.2,30.6,1.2,1.2,1006,86,0.5
2023,10,8,27,32.2,1.1,1.1,1007,81,0
2023,10,9,28.8,33.2,0.8,0.8,1007,77,0
2023,10,10,28.6,33.8,1.1,1.1,1008,73,0
2023,10,11,28.4,34.3,1,1,1009,72,0
2023,10,12,29,33.8,1,1,1011,71,0
2023,10,13,26.5,33.2,1.5,1.5,1012,68,0
2023,10,14,26.2,32.4,1.2,1.2,1011,73,0
2023,10,15,26.2,32.6,1.1,1.1,1009,68,0
2023,10,16,26.2,32.6,0.7,0.7,1010,69,0
2023,10,17,26.6,31,0.9,0.9,1010,77,0
2023,10,18,25.8,31.6,0.9,0.9,1011,75,0
2023,10,19,25.5,31.6,0.8,0.8,1012,72,0
2023,10,20,24.4,31.4,1.5,1.5,1013,69,0
2023,10,21,24,31.2,1.1,1.1,1013,67,0
2023,10,22,25.8,31.2,1.6,1.6,1013,71,2.8
2023,10,24,25,29.4,1.1,1.1,1009,88,1.3
2023,10,25,24.6,30,1.3,1.3,1011,82,0.5
2023,10,26,24.8,31,1,1,1012,77,0
2023,10,27,25.2,29.7,0.8,0.8,1012,80,0
2023,10,28,23.8,29.6,1.1,1.1,1012,76,0
2023,10,29,22.4,29.6,1.5,1.5,1012,72,0
2023,10,30,23.4,30,1.1,1.1,1012,72,0
2023,10,31,23.6,30.8,1.6,1.6,1013,74,0
2023,11,1,23.8,31.8,1,1,1014,73,0
2023,11,2,26,31.4,1.4,1.4,1012,71,0
2023,11,3,25.2,31.4,1.1,1.1,1010,73,0.5
2023,11,4,24.2,30.8,0.7,0.7,1011,74,5.5
2023,11,5,24.9,30.6,0.5,0.5,1013,75,0
2023,11,6,24.1,30.4,1.1,1.1,1013,65,0
2023,11,7,21.6,29.6,1.1,1.1,1013,72,0
2023,11,8,22.8,29.2,0.9,0.9,1012,69,0
2023,11,9,22.4,29.6,1.3,1.3,1013,71,0
2023,11,10,22.2,29.4,1,1,1014,71,0
2023,11,11,21.8,29.4,1.3,1.3,1014,73,0
2023,11,12,22.6,29.6,1.2,1.2,1015,74,0
2023,11,13,21.8,29.6,1.3,1.3,1014,71,0
2023,11,14,21.8,29.4,1.4,1.4,1014,70,0
