Year,Month,Day,Min Temp,Max Temp,Min Wind Speed,Max Wind Speed,Pressure,Humidity,Precipitation
2015,3,10,21,33.5,2.1,2.1,1013,53,0
2015,3,11,20,32.1,2.3,2.3,1014,49,0
2015,3,12,19,32,2.1,2.1,1013,48,0
2015,3,13,19,33.2,1.8,1.8,1012,53,0
2015,3,14,22.2,34.4,2,2,1012,57,0
2015,3,15,24,35,2,2,1013,52,0
2015,3,16,23,32,2.5,2.5,1014,52,0
2015,3,17,22,34.2,2,2,1010,56,0
2015,3,18,24,33,2.4,2.4,1009,53,0
2015,3,19,22,32,2.5,2.5,1011,51,0
2015,3,20,21,33,2.2,2.2,1012,51,0
2015,3,21,20,34,1.7,1.7,1011,53,0
2015,3,22,22,35,1.9,1.9,1009,54,0
2015,3,23,22,36,2.2,2.2,1007,48,0
2015,3,24,23,35.4,3,3,1008,62,3
2015,3,25,24.8,35,3.3,3.3,1010,72,1
2015,3,26,25,34.2,3.7,3.7,1012,71,1
2015,3,27,25,34,3.9,3.9,1012,73,0
2015,3,28,25,33,3.5,3.5,1010,73,17
2015,3,29,24.6,34.4,3.5,3.5,1009,72,12
2015,3,30,22,34,4,4,1008,75,1.5
2015,3,31,21.9,31.2,2.4,2.4,1008,77,0.5
2015,4,1,25,34,4.2,4.2,1006,75,1.5
2015,4,2,26,36.4,3.9,3.9,1003,71,0
2015,4,3,26.6,37,3.1,3.1,1001,65,0
2015,4,4,23.4,36.4,4.7,4.7,1001,74,0.5
2015,4,5,24,34,3.5,3.5,1004,79,23
2015,4,6,23.8,33,2.3,2.3,1005,83,6
2015,4,7,22,35,3.2,3.2,1007,79,17.5
2015,4,9,23.8,35,2.3,2.3,1007,60,0.5
2015,4,10,25.8,37,2.6,2.6,1007,61,0
2015,4,11,27.2,36,4.3,4.3,1008,70,0.5
2015,4,12,22,34.2,2.2,2.2,1011,78,18.5
2015,4,13,24,33,1.8,1.8,1011,71,0
2015,4,14,25,34,1.6,1.6,1010,69,0
2015,4,15,26,35,1.8,1.8,1010,63,0
2015,4,16,27,33,1.7,1.7,1010,63,0
2015,4,17,26,35,3,3,1007,61,0.5
2015,4,18,26,35.4,5,5,1004,65,0
2015,4,19,27.4,36,5.1,5.1,1005,70,0
2015,4,20,27,40,4.6,4.6,1006,72,0
2015,4,21,22,36.6,4.9,4.9,1003,68,1
2015,4,22,25,35,5.3,5.3,1002,74,1.5
2015,4,23,23,35.4,3.7,3.7,1005,73,2.5
2015,4,24,23.6,32.4,4.4,4.4,1007,72,16
2015,4,25,21.8,31.2,2.3,2.3,1009,85,23.5
2015,4,26,21,31,1.6,1.6,1010,83,18
2015,4,27,22.4,33,1.9,1.9,1009,72,0.5
2015,4,28,22.4,33.6,2.9,2.9,1007,74,13.5
2015,4,29,22,32,2.7,2.7,1006,76,12.5
2015,4,30,26,35.2,2.9,2.9,1005,74,5
2015,5,1,27.4,37,3.8,3.8,1005,75,0
2015,5,2,25,35,4.1,4.1,1005,72,0
2015,5,3,25,36,3,3,1006,68,0.5
2015,5,4,25,35,3.1,3.1,1007,66,0
2015,5,5,28,37,3.8,3.8,1005,66,0
2015,5,6,29,36.6,4.1,4.1,1003,71,0
